item_code,brand_x,brand_y,manufacturer,id,mrp
33639,pcm syp 60ml,pcm suspension 60ml,Intas Pharmaceuticals Ltd,273369.0,29.92
33750,dolopar syp 120mg 60ml,dolopar 120mg syrup 60ml,Micro Labs Ltd,377501.0,39.64
33940,gutgermina suspension 5ml,gutgermina oral suspension 5ml,Apex Laboratories Pvt Ltd,370234.0,36.3
33396,lactivig fiber powder orange 90gm,lactivig fiber orange powder 90gm,,379067.0,185.0
33484,raiki eye drop 0.02% 3ml,raiki 0.02% eye drop 3ml,Sun Pharmaceutical Industries Ltd,377180.0,495.0
33730,maxvida hphf powder vanilla 400gm,maxvida hphf vanilla powder 400gm,Modi Mundi Pharma Pvt Ltd,384570.0,1130.0
33393,dv k plus 10s,dvk plus capsule 10s,Indchemie Health Specialities Pvt Ltd,182690.0,282.0
33342,ketofly soap 75gm,ketofly soap 75gm,Leeford Healthcare,221173.0,110.0
33389,renerve plus injection 2ml,renerve plus injection 2ml,Strides shasun Ltd,289135.0,122.85
33392,duobrom eye drop 5ml,duobrom eye drops 5ml,Ajanta Pharma Ltd,182186.0,201.0
33394,sebonac face wash 75gm,sebonac face wash 75gm,Glowderma Labs Pvt Ltd,309305.0,245.0
33424,cotaryl 3d cream 50gm,cotaryl 3d cream 50gm,FDC Ltd,378941.0,170.0
33440,trichospire hair growth serum 60ml,trichospire hair growth serum 60ml,Influx Healthcare,385536.0,1990.0
33446,moov strong gel 15gm,moov strong gel 15gm,Reckitt Benckiser (india) Ltd.,377464.0,75.0
33466,cosvate s lotion 30ml,cosvate s lotion 30ml,Oaknet Healthcare Pvt Ltd,158622.0,172.77
33468,zivimox eye drop 5ml,zivimox eye drop 5ml,Zivira Labs Pvt Ltd,348888.0,145.0
33485,planokuf syp 60ml,planokuf syrup 60ml,Shreya Life Sciences Pvt Ltd,277281.0,117.05
33486,clop s nano lotion 20ml,clop s nano lotion 20ml,Liva Healthcare,155248.0,231.55
33505,sucrafil ano cream 20gm,sucrafil ano cream 20gm,Fourrts India Laboratories Pvt Ltd,379816.0,127.0
33511,cicatrix cream 50ml,cicatrix cream 50ml,Kshipra Health Solutions,151658.0,5990.0
33516,digene ultra fizz orange powder 6.25gm,digene ultra fizz orange powder 6.25gm,ABBOTT HEALTHCARE PRIVATE LIMITED,368714.0,10.0
33532,cremadiet plus powder 100gm,cremadiet plus powder 100gm,ABBOTT HEALTHCARE PRIVATE LIMITED,159118.0,203.5
33552,clenia face wash 100ml,clenia face wash 100gm,Ajanta Pharma Ltd,367942.0,485.0
33555,caladryl lotion 65ml,caladryl lotion 65ml,Piramal Healthcare Limited,367515.0,55.63
33653,zendril syrup 100ml,zendril syrup 100ml,ZEN LABS INDIA,346705.0,87.0
33700,polyclav ds dry syp 30ml,polyclav ds dry syrup 30ml,Macleods Pharmaceuticals Pvt Ltd,277999.0,142.5
33721,kamkuff syp 100ml,kamkuff syrup 100ml,,378459.0,99.0
33725,healsenz oint 30gm,healsenz ointment 30gm,Eris Lifesciences Ltd,379845.0,218.9
33726,acnethro soap 100gm,acnethro soap 100gm,Salve Pharmaceuticals Pvt Ltd,102953.0,147.0
33739,lureglo serum 20ml,lureglo serum 20gm,Rockmed Pharma Pvt. Ltd,232337.0,580.0
33772,vantej aqua mouth wash 100ml,vantej aqua mouth wash 100ml,Dr Reddy's Laboratories Ltd,383125.0,150.0
33773,metasone plus cream 15gm,metasone plus cream 15gm,Talent India,239357.0,165.0
33819,eucalyptus oil 15ml,eucalyptus oil 15ml,ASHWIN FINE CHEMICALS,381746.0,200.0
33825,tobaflam eye drop 5ml,tobaflam eye drop 5ml,Cipla Ltd,327067.0,196.31
33851,acunus gel 20ml,acunus gel 20ml,,379124.0,475.0
33853,mucomyst spray 100ml,mucomyst spray 100ml,,379374.0,1440.0
33911,strata xrt gel 20gm,strata xrt gel 20gm,Dr Reddy's Laboratories Ltd,381581.0,3500.0
33915,montina l syrup 30ml,montina l syrup 30ml,Aristo Pharmaceuticals Pvt Ltd,243801.0,43.7
33918,alight plus gel 15gm,alight plus gel 15gm,Leeford Healthcare,108184.0,145.0
33934,abetanate cream 30gm,abetanate cream 30gm,ABETAR HEALTHCARE,366141.0,120.0
33971,hemolit cream 30gm,hemolit cream 30gm,Macleods Pharmaceuticals Pvt Ltd,209407.0,137.5
34014,reshed v solution 5ml,reshed v solution 5ml,,382803.0,895.0
33338,densomin cap 10s,densomin capsule 10s,BIOREX HEALTHCARE,163528.0,165.0
33349,full 365 cap 15s,full 365 capsule 15s,Zuventus Healthcare Ltd,198380.0,118.55
33411,mac rabonik dsr cap 15s,mac rabonik dsr capsule 15s,Eris Lifesciences Pvt Ltd,377526.0,230.58
33415,ocubless cap 10s,ocubless capsule 10s,Centaur Pharmaceuticals Pvt Ltd,259761.0,169.09
33478,statpure a cap 20/75mg 15s,statpure a 20mg/75mg capsule 15s,Mankind Pharma Ltd,380603.0,162.0
33583,carbofol plus cap 10s,carbofol plus capsule 10s,AVROHN PHARMA I LIMITED,379252.0,140.0
33592,neksium d cap 20mg 10s,neksium d 20 capsule sr 10s,Pfizer Ltd,372294.0,81.0
33598,straton cap 10s,straton capsule 10s,AMAZONE PHARMACETICALS PVT LTD,379512.0,495.0
33622,proglumin cap 10s,proglumin capsule 10s,Septalyst Lifesciences Pvt.Ltd.,373513.0,350.0
33692,arorab dsr cap 15s,arorab dsr capsule 15s,Aareen Healthcare Pvt Ltd,366758.0,163.5
33751,prograf cap 0.5mg 10s,prograf 0.5mg capsule 10s,ASTELLAS PHARMA INDIA PVT LTD,281014.0,234.0
33848,lipophage cap 60mg 10s,lipophage 60 capsule 10s,Franco-Indian Pharmaceuticals Pvt Ltd,228690.0,334.5
33850,curcuria softgel cap 10s,curcuria softgel capsule 10s,REYANO LIFE CARE,379685.0,399.0
33866,tuksan cap 10s,tuksan capsule 10s,Excel Waves Formulation,331364.0,530.0
33912,lycorip q10 cap 10s,lycorip q10 capsule 10s,KRP PHARMA,232649.0,590.0
33922,astymin forte cap 30s,astymin forte capsule 30s,Tablets India Limited,366814.0,398.0
33926,rosupack a cap 10/75mg 10s,rosupack a 10mg/75mg capsule 10s,Koye Pharmaceuticals Pvt ltd,293616.0,72.6
33942,shfol plus cap 10s,shfol  plus capsule 10s,SH HEALTHCARE PRIVATE LIMITED,311386.0,199.5
33963,hepagress cap 7s,hepagress capsule 7s,La Renon Healthcare Pvt Ltd,382383.0,525.0
33964,ddr d cap 10s,ddr d capsule 10s,Msn Labs,379524.0,199.0
33974,rapilif d cap 4/0.5mg 10s,rapilif d 4/0.5 capsule 10s,Ipca Laboratories Ltd,286917.0,255.0
33354,vildapride d tab 10/100mg 10s,vildapride d 100mg/10mg tablet 10s,Micro Labs Ltd,377994.0,250
