item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
33397,alphacept cap 8mg 15s,,capsule,alphacept,alphacept 8 15s,1.0,alphacept,alphacept,alphacept,109340.0,alphacept 8 capsule 10s,capsule,alphacept,alphacept 8 10s,alphacept 8 capsule 10s,0.6666666666666667,0.6666666666666667,15,10,1.0,0.0,alphacept capsule 8mg 15s,2.0,mg,,2.0,8,,15s,Lupin Ltd,,,437.8,1,0.6666666666666667
33508,maxgalin cap 75mg 15s,,capsule,maxgalin,maxgalin 75 15s,1.0,maxgalin,maxgalin,maxgalin,235469.0,maxgalin 75 capsule 10s,capsule,maxgalin,maxgalin 75 10s,maxgalin 75 capsule 10s,0.6666666666666667,0.6666666666666667,15,10,1.0,0.0,maxgalin capsule 75mg 15s,2.0,mg,,2.0,75,,15s,Sun Pharmaceutical Industries Ltd,,,277.5,1,0.6666666666666667
33590,microcid cap 25mg 10s,,capsule,microcid,microcid 25 10s,1.0,microcid,microcid,microcid,240721.0,microcid capsule 10s,capsule,microcid,microcid 10s,microcid capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,microcid capsule 25mg 10s,2.0,mg,,2.0,25,,10s,Micro Labs Ltd,,,46,2,0.8164965809277259
33590,microcid cap 25mg 10s,,capsule,microcid,microcid 25 10s,1.0,microcid,microcid,microcid,240722.0,microcid sr capsule 10s,capsule,microcid,microcid 10s,microcid capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,microcid capsule 25mg 10s,2.0,mg,,2.0,25,,10s,Micro Labs Ltd,,,46,2,0.8164965809277259
33975,candiforce cap 200mg 10s,,capsule,candiforce,candiforce 200 10s,1.0,candiforce,candiforce,candiforce,144928.0,candiforce 200 capsule 4s,capsule,candiforce,candiforce 200 4s,candiforce 200 capsule 4s,0.6666666666666667,0.6666666666666667,10,4,1.0,0.0,candiforce capsule 200mg 10s,2.0,mg,,2.0,200,,10s,Mankind Pharma Ltd,,,229.9,3,0.6666666666666667
33975,candiforce cap 200mg 10s,,capsule,candiforce,candiforce 200 10s,1.0,candiforce,candiforce,candiforce,144929.0,candiforce 200 capsule 7s,capsule,candiforce,candiforce 200 7s,candiforce 200 capsule 7s,0.6666666666666667,0.6666666666666667,10,7,1.0,0.0,candiforce capsule 200mg 10s,2.0,mg,,2.0,200,,10s,Mankind Pharma Ltd,,,229.9,3,0.6666666666666667
33975,candiforce cap 200mg 10s,,capsule,candiforce,candiforce 200 10s,1.0,candiforce,candiforce,candiforce,380114.0,candiforce 200mg capsule 7s,capsule,candiforce,candiforce 200 7s,candiforce 200mg capsule 7s,0.6666666666666667,0.6666666666666667,10,7,1.0,0.0,candiforce capsule 200mg 10s,0.0,mg,mg,0.0,200,200,10s,Mankind Pharma Ltd,,,229.9,3,0.6666666666666667
33507,c-hop cap 400mg 10s,,capsule,c hop,c hop 400 10s,1.0,c,c,c,151450.0,c hop 200mg soft gelatin capsule 10s,capsule,c,c hop 200 sg 10s,c hop 200mg sg capsule 10s,0.6708203932499369,0.6708203932499369,10,10,0.0,0.0,c hop capsule 400mg 10s,0.0,mg,mg,1.0,400,200,10s,Corona Remedies Pvt Ltd,,,625,1,0.6708203932499369
33697,zincovit w cap 10s,,capsule,zincovit w,zincovit w 10s,1.0,zincovit,zincovit,zincovit,376513.0,zincovit capsule 10s,capsule,zincovit,zincovit 10s,zincovit capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,zincovit w capsule 10s,2.0,,,2.0,,,10s,Apex Laboratories Pvt Ltd,,,155,1,0.8164965809277259
33864,zyrol sg cap 4s,,capsule,zyrol sg,zyrol sg 4s,1.0,zyrol,zyrol,zyrol,376640.0,zyrol sg softgel capsule 4s,capsule,zyrol,zyrol sg softgel 4s,zyrol sg softgel capsule 4s,0.8660254037844387,0.8660254037844387,4,4,0.0,0.0,zyrol sg capsule 4s,2.0,,,2.0,,,4s,PICTUS PHARMACEUTICALS PVT LTD,,,124,1,0.8660254037844387
