item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
33350,evaparin (inj+cartidge) 1s,,others,evaparin,evaparin injection +cartidge 1s,0,evaparin,evaparin,evaparin,evaparin,190404.0,evaparin injection 3ml,injection,evaparin,evaparin injection 3,evaparin injection 3ml ,0.5773502691896258,0.5773502691896258,0,evaparin injection +cartidge 1s ,2.0,,ml ,1s,Intas Pharmaceuticals Ltd,,,4800,1,,,1,0.5773502691896258
33387,bioderma sebium pore refiner 15ml,,others,bioderma,bioderma sebm pore refiner 15,0,bioderma,bioderma,bioderma,bioderma,127134.0,bioderma sebium pore refiner 30ml,others,bioderma,bioderma sebium pore refiner 30,bioderma sebium pore refiner 30ml ,0.5999999999999999,0.5999999999999999,0,bioderma sebium pore refiner 15ml ,0.0,ml ,ml ,15ml,Bioderma Laboratories,,,799,0,,,1,0.5999999999999999
33391,gi gel syp 200ml,,syrup,gi,gi gel 200,1,gi,gi,gi,gi,378369.0,gi gel oral suspension mint 170ml,others,gi,gi gel oral mint 170,gi gel oral suspension mint 170ml ,0.4082482904638631,0.4082482904638631,0,gi gel syrup 200ml ,0.0,ml ,ml ,200ml,GH. VISION LIFESCIENCES,,,199.9,1,,,1,0.5163977794943222
33425,freeflex emugel 30gm,,others,freeflex,freeflex emugel 30,0,freeflex,freeflex,freeflex,freeflex,383197.0,freeflex emulgel 30gm,others,freeflex,freeflex emulgel 30,freeflex emulgel 30gm ,0.6666666666666667,0.6666666666666667,0,freeflex emugel 30gm ,0.0,gm ,gm ,30gm,Sanofi India Limited,,,390,0,,,1,0.6666666666666667
33426,parasoft soap combipack 4*100gm,,others,parasoft,parasoft soap combipack 4 100,0,parasoft,parasoft,parasoft,parasoft,373139.0,parasoft bar (100gm each) 4gm,others,parasoft,parasoft soap 100 each 4,parasoft soap 100gm each 4gm ,0.7999999999999998,0.7999999999999998,0,parasoft soap combipack 4 100gm ,0.0,gm ,gm ,100gm,Salve Pharmaceuticals Pvt Ltd,,,500,0,,,3,0.7999999999999998
33426,parasoft soap combipack 4*100gm,,others,parasoft,parasoft soap combipack 4 100,0,parasoft,parasoft,parasoft,parasoft,271872.0,parasoft soap 4,others,parasoft,parasoft soap 4,parasoft soap 4 ,0.7745966692414834,0.7999999999999998,0,parasoft soap combipack 4 100gm ,2.0,gm ,,100gm,Salve Pharmaceuticals Pvt Ltd,,,500,0,,,3,0.7745966692414834
33426,parasoft soap combipack 4*100gm,,others,parasoft,parasoft soap combipack 4 100,0,parasoft,parasoft,parasoft,parasoft,362547.0,parasoft soap 100gm,others,parasoft,parasoft soap 100,parasoft soap 100gm ,0.7745966692414834,0.7999999999999998,0,parasoft soap combipack 4 100gm ,0.0,gm ,gm ,100gm,Salve Pharmaceuticals Pvt Ltd,,,500,0,,,3,0.7745966692414834
33457,dolopar syp 250mg 60ml,,syrup,dolopar,dolopar 250 60,1,dolopar,dolopar,dolopar,dolopar,168821.0,dolopar 250 suspension 60ml,others,dolopar,dolopar 250 60,dolopar 250 suspension 60ml ,0.75,0.75,0,dolopar syrup 250mg 60ml ,0.0,ml ,ml ,60ml,Micro Labs Ltd,,,44.35,1,,,3,1.0000000000000002
33457,dolopar syp 250mg 60ml,,syrup,dolopar,dolopar syrup 250 60,1,dolopar,dolopar,dolopar,dolopar,377501.0,dolopar 120mg syrup 60ml,syrup,dolopar,dolopar 120 syrup 60,dolopar 120mg syrup 60ml ,0.75,0.75,0,dolopar syrup 250mg 60ml ,0.0,ml ,ml ,60ml,Micro Labs Ltd,,,44.35,0,,,3,0.75
33457,dolopar syp 250mg 60ml,,syrup,dolopar,dolopar syrup 250 60,1,dolopar,dolopar,dolopar,dolopar,382476.0,dolopar 250mg syrup 120ml,syrup,dolopar,dolopar 250 syrup 120,dolopar 250mg syrup 120ml ,0.75,0.75,0,dolopar syrup 250mg 60ml ,0.0,ml ,ml ,60ml,Micro Labs Ltd,,,44.35,0,,,3,0.75
33481,aziwok xl syp 200mg 30ml,,syrup,aziwok,aziwok syrup 200 30,1,aziwok,aziwok,aziwok,aziwok,121347.0,aziwok  xl 200 liquid 30ml,others,aziwok,aziwok 200 liquid 30,aziwok 200 liquid 30ml ,0.75,0.75,0,aziwok syrup 200mg 30ml ,0.0,ml ,ml ,30ml,Wockhardt Ltd,,,114.58,1,,,1,0.75
