item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
33590,microcid cap 25mg 10s,,capsule,microcid,microcid 25 10s,1.0,microcid,microcid,microcid,240721.0,microcid capsule 10s,capsule,microcid,microcid 10s,microcid capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,microcid capsule 25mg 10s,2.0,mg,,2.0,25,,10s,Micro Labs Ltd,,,46,2,0.8164965809277259
33590,microcid cap 25mg 10s,,capsule,microcid,microcid 25 10s,1.0,microcid,microcid,microcid,240722.0,microcid sr capsule 10s,capsule,microcid,microcid 10s,microcid capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,microcid capsule 25mg 10s,2.0,mg,,2.0,25,,10s,Micro Labs Ltd,,,46,2,0.8164965809277259
33975,candiforce cap 200mg 10s,,capsule,candiforce,candiforce 200 10s,1.0,candiforce,candiforce,candiforce,144928.0,candiforce 200 capsule 4s,capsule,candiforce,candiforce 200 4s,candiforce 200 capsule 4s,0.6666666666666667,0.6666666666666667,10,4,1.0,0.0,candiforce capsule 200mg 10s,2.0,mg,,2.0,200,,10s,Mankind Pharma Ltd,,,229.9,3,0.6666666666666667
33975,candiforce cap 200mg 10s,,capsule,candiforce,candiforce 200 10s,1.0,candiforce,candiforce,candiforce,144929.0,candiforce 200 capsule 7s,capsule,candiforce,candiforce 200 7s,candiforce 200 capsule 7s,0.6666666666666667,0.6666666666666667,10,7,1.0,0.0,candiforce capsule 200mg 10s,2.0,mg,,2.0,200,,10s,Mankind Pharma Ltd,,,229.9,3,0.6666666666666667
33975,candiforce cap 200mg 10s,,capsule,candiforce,candiforce 200 10s,1.0,candiforce,candiforce,candiforce,380114.0,candiforce 200mg capsule 7s,capsule,candiforce,candiforce 200 7s,candiforce 200mg capsule 7s,0.6666666666666667,0.6666666666666667,10,7,1.0,0.0,candiforce capsule 200mg 10s,0.0,mg,mg,0.0,200,200,10s,Mankind Pharma Ltd,,,229.9,3,0.6666666666666667
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219817.0,kapiva ayurveda amla capsule 60s,capsule,kapiva,kapiva ayurveda aa 60s,kapiva ayurveda amla capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219823.0,kapiva ayurveda arjun capsule 60s,capsule,kapiva,kapiva ayurveda arjun 60s,kapiva ayurveda arjun capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219827.0,kapiva ayurveda ashwagandha capsule 60s,capsule,kapiva,kapiva ayurveda ashwagandha 60s,kapiva ayurveda ashwagandha capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219830.0,kapiva ayurveda brahmi capsule 60s,capsule,kapiva,kapiva ayurveda brahmi 60s,kapiva ayurveda brahmi capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219846.0,kapiva ayurveda garcinia capsule 60s,capsule,kapiva,kapiva ayurveda garcinia 60s,kapiva ayurveda garcinia capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219848.0,kapiva ayurveda garlic capsule 60s,capsule,kapiva,kapiva ayurveda garlic 60s,kapiva ayurveda garlic capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219860.0,kapiva ayurveda karela capsule 60s,capsule,kapiva,kapiva ayurveda karela 60s,kapiva ayurveda karela capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219871.0,kapiva ayurveda moringa capsule 60s,capsule,kapiva,kapiva ayurveda moringa 60s,kapiva ayurveda moringa capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219880.0,kapiva ayurveda noni capsule 60s,capsule,kapiva,kapiva ayurveda noni 60s,kapiva ayurveda noni capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219893.0,kapiva ayurveda shilajeet capsule 60s,capsule,kapiva,kapiva ayurveda shilajeet 60s,kapiva ayurveda shilajeet capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219906.0,kapiva ayurveda tulsi capsule 60s,capsule,kapiva,kapiva ayurveda tulsi 60s,kapiva ayurveda tulsi capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33712,kapiva shilajit gold cap 30s,,capsule,kapiva shilajit gold,kapiva shilajit gold 30s,1.0,kapiva shilajit,kapiva,kapiva,219908.0,kapiva ayurveda unpile capsule 60s,capsule,kapiva,kapiva ayurveda unpile 60s,kapiva ayurveda unpile capsule 60s,0.25,0.25,30,60,1.0,0.0,kapiva shilajit gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,449,12,0.25
33899,setu eye relief cap 30s,,capsule,setu eye relief,setu eye relief 30s,1.0,setu eye,setu,setu,310975.0,setu beat it capsule 30s,capsule,setu,setu beat it 30s,setu beat it capsule 30s,0.5,0.5,30,30,0.0,0.0,setu eye relief capsule 30s,2.0,,,2.0,,,30s,SETU NUTRATION PVT LTD,,,1200,2,0.5
33899,setu eye relief cap 30s,,capsule,setu eye relief,setu eye relief 30s,1.0,setu eye,setu,setu,310985.0,setu your gut capsule 30s,capsule,setu,setu your gut 30s,setu your gut capsule 30s,0.5,0.5,30,30,0.0,0.0,setu eye relief capsule 30s,2.0,,,2.0,,,30s,SETU NUTRATION PVT LTD,,,1200,2,0.5
33901,setu mind focus cap 30s,,capsule,setu mind focus,setu mind focus 30s,1.0,setu mind,setu,setu,310975.0,setu beat it capsule 30s,capsule,setu,setu beat it 30s,setu beat it capsule 30s,0.5,0.5,30,30,0.0,0.0,setu mind focus capsule 30s,2.0,,,2.0,,,30s,SETU NUTRATION PVT LTD,,,800,2,0.5
33901,setu mind focus cap 30s,,capsule,setu mind focus,setu mind focus 30s,1.0,setu mind,setu,setu,310985.0,setu your gut capsule 30s,capsule,setu,setu your gut 30s,setu your gut capsule 30s,0.5,0.5,30,30,0.0,0.0,setu mind focus capsule 30s,2.0,,,2.0,,,30s,SETU NUTRATION PVT LTD,,,800,2,0.5
33908,setu tummy probiotic cap 30s,,capsule,setu tummy probiotic,setu tummy probiotic 30s,1.0,setu tummy,setu,setu,310975.0,setu beat it capsule 30s,capsule,setu,setu beat it 30s,setu beat it capsule 30s,0.5,0.5,30,30,0.0,0.0,setu tummy probiotic capsule 30s,2.0,,,2.0,,,30s,SETU NUTRATION PVT LTD,,,800,2,0.5
33908,setu tummy probiotic cap 30s,,capsule,setu tummy probiotic,setu tummy probiotic 30s,1.0,setu tummy,setu,setu,310985.0,setu your gut capsule 30s,capsule,setu,setu your gut 30s,setu your gut capsule 30s,0.5,0.5,30,30,0.0,0.0,setu tummy probiotic capsule 30s,2.0,,,2.0,,,30s,SETU NUTRATION PVT LTD,,,800,2,0.5
33886,pure foods b complex cap 60 s,,capsule,pure foods b complex,pure foods b complex 60 s,1.0,pure foods b,pure foods,pure,282755.0,pure nutrition chitomax capsule 60s,capsule,pure,pure nutrition chitomax 60s,pure nutrition chitomax capsule 60s,0.20412414523193154,0.20412414523193154,,60,1.0,0.0,pure foods b complex capsule 60 s,2.0,,,2.0,,,60s,Rollins International Pvt Pvt,,,750,3,0.20412414523193154
33886,pure foods b complex cap 60 s,,capsule,pure foods b complex,pure foods b complex 60 s,1.0,pure foods b,pure foods,pure,282766.0,pure nutrition endojoint capsule 30s,capsule,pure,pure nutrition endojoint 30s,pure nutrition endojoint capsule 30s,0.20412414523193154,0.20412414523193154,,30,1.0,0.0,pure foods b complex capsule 60 s,2.0,,,2.0,,,60s,Rollins International Pvt Pvt,,,750,3,0.20412414523193154
33886,pure foods b complex cap 60 s,,capsule,pure foods b complex,pure foods b complex 60 s,1.0,pure foods b,pure foods,pure,282767.0,pure nutrition fensugen capsule 60s,capsule,pure,pure nutrition fensugen 60s,pure nutrition fensugen capsule 60s,0.20412414523193154,0.20412414523193154,,60,1.0,0.0,pure foods b complex capsule 60 s,2.0,,,2.0,,,60s,Rollins International Pvt Pvt,,,750,3,0.20412414523193154
