item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
33426,parasoft soap combipack 4*100gm,,others,parasoft,parasoft soap combipack 4 100,0,parasoft,parasoft,parasoft,parasoft,373139.0,parasoft bar (100gm each) 4gm,others,parasoft,parasoft soap 100 each 4,parasoft soap 100gm each 4gm ,0.7999999999999998,0.7999999999999998,0,parasoft soap combipack 4 100gm ,0.0,gm ,gm ,100gm,Salve Pharmaceuticals Pvt Ltd,,,500,0,,,3,0.7999999999999998
33426,parasoft soap combipack 4*100gm,,others,parasoft,parasoft soap combipack 4 100,0,parasoft,parasoft,parasoft,parasoft,271872.0,parasoft soap 4,others,parasoft,parasoft soap 4,parasoft soap 4 ,0.7745966692414834,0.7999999999999998,0,parasoft soap combipack 4 100gm ,2.0,gm ,,100gm,Salve Pharmaceuticals Pvt Ltd,,,500,0,,,3,0.7745966692414834
33426,parasoft soap combipack 4*100gm,,others,parasoft,parasoft soap combipack 4 100,0,parasoft,parasoft,parasoft,parasoft,362547.0,parasoft soap 100gm,others,parasoft,parasoft soap 100,parasoft soap 100gm ,0.7745966692414834,0.7999999999999998,0,parasoft soap combipack 4 100gm ,0.0,gm ,gm ,100gm,Salve Pharmaceuticals Pvt Ltd,,,500,0,,,3,0.7745966692414834
33457,dolopar syp 250mg 60ml,,syrup,dolopar,dolopar 250 60,1,dolopar,dolopar,dolopar,dolopar,168821.0,dolopar 250 suspension 60ml,others,dolopar,dolopar 250 60,dolopar 250 suspension 60ml ,0.75,0.75,0,dolopar syrup 250mg 60ml ,0.0,ml ,ml ,60ml,Micro Labs Ltd,,,44.35,1,,,3,1.0000000000000002
33457,dolopar syp 250mg 60ml,,syrup,dolopar,dolopar syrup 250 60,1,dolopar,dolopar,dolopar,dolopar,377501.0,dolopar 120mg syrup 60ml,syrup,dolopar,dolopar 120 syrup 60,dolopar 120mg syrup 60ml ,0.75,0.75,0,dolopar syrup 250mg 60ml ,0.0,ml ,ml ,60ml,Micro Labs Ltd,,,44.35,0,,,3,0.75
33457,dolopar syp 250mg 60ml,,syrup,dolopar,dolopar syrup 250 60,1,dolopar,dolopar,dolopar,dolopar,382476.0,dolopar 250mg syrup 120ml,syrup,dolopar,dolopar 250 syrup 120,dolopar 250mg syrup 120ml ,0.75,0.75,0,dolopar syrup 250mg 60ml ,0.0,ml ,ml ,60ml,Micro Labs Ltd,,,44.35,0,,,3,0.75
33633,cetrizine syrup 60ml,,syrup,cetrizine,cetrizine syrup 60,1,cetrizine,cetrizine,cetrizine,cetrizine,150535.0,cetrizine 5 mg/ 5 ml 60ml,others,cetrizine,cetrizine 5 / 60,cetrizine 5 mg/ 5 ml 60ml ,0.6666666666666667,0.6666666666666667,0,cetrizine syrup 60ml ,0.0,ml ,ml ,60ml,NUKIND HEALTHCARE PVT LTD,,,43.6,1,,,3,0.6666666666666667
33633,cetrizine syrup 60ml,,syrup,cetrizine,cetrizine syrup 60,1,cetrizine,cetrizine,cetrizine,cetrizine,150537.0,cetrizine syrup 30ml,syrup,cetrizine,cetrizine syrup 30,cetrizine syrup 30ml ,0.6666666666666667,0.6666666666666667,0,cetrizine syrup 60ml ,0.0,ml ,ml ,60ml,NUKIND HEALTHCARE PVT LTD,,,43.6,0,,,3,0.6666666666666667
33633,cetrizine syrup 60ml,,syrup,cetrizine,cetrizine syrup 60,1,cetrizine,cetrizine,cetrizine,cetrizine,382038.0,cetrizine 5mg/5ml syrup 60ml,syrup,cetrizine,cetrizine 5/5 syrup 60,cetrizine 5mg/5ml syrup 60ml ,0.6546536707079772,0.6666666666666667,0,cetrizine syrup 60ml ,1.0,ml ,mg/5ml ,60ml,NUKIND HEALTHCARE PVT LTD,,,43.6,0,,,3,0.6546536707079772
33657,biotique shampoo &conditioner fresh henna 180ml,,others,biotique,biotique shampoo &conditioner fresh henna 180,0,biotique,biotique,biotique,biotique,127781.0,biotique bio henna leaf fresh texture shampoo & conditioner 190ml,others,biotique,biotique bio henna leaf fresh texture shampoo & conditioner 190,biotique bio henna leaf fresh texture shampoo & conditioner 190ml ,0.6804138174397718,0.6804138174397718,0,biotique shampoo &conditioner fresh henna 180ml ,0.0,ml ,ml ,180ml',BIO VEDA ACTION RESERCH COMPNEY,,,165,0,,,2,0.6804138174397718
