item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,pack,manufacturer,catg,subcatg,mrp
33360,neem ayu anti hair fall cap 60s,,capsule,neem ayu anti hair fall,neem ayu anti hair fall 60s,1,neem ayu anti hair,neem ayu anti,neem ayu,60s,MOHINI PHARMACITICULES,,,399
33489,swisse 4xstrength wild fish oil 1800 mg cap 60s,,capsule,swisse 4xstrength wild fish oil,swisse 4xstrength wild fish oil 1800 60s,1,swisse 4xstrength wild fish,swisse 4xstrength wild,swisse 4xstrength,60s,VITEX PHARMACITICULES,,,2449
33490,swisse ultriboost heart health cap 30s,,capsule,swisse ultriboost heart health,swisse ultriboost heart health 30s,1,swisse ultriboost heart,swisse ultriboost,swisse,30s,VITEX PHARMACITICULES,,,1599
33584,dulorene cap 30mg 10s,,capsule,dulorene,dulorene 30 10s,1,dulorene,dulorene,dulorene,10s,La Renon Healthcare Pvt Ltd,,,121
33587,lymzit cap 408mg 10s,,capsule,lymzit,lymzit 408 10s,1,lymzit,lymzit,lymzit,10s,Brinton Pharmaceuticals Pvt Ltd,,,544.22
33674,rosycap gold cap 10/75mg 15s,,capsule,rosy,rosy golds 10/75 15s,2,rosy,rosy,rosy,15s,Akumentis Healthcare Ltd,,,222
33722,vq gold cap 10s,,capsule,vq gold,vq gold 10s,1,vq,vq,vq,10s,,,,495
33747,rosy cap 10mg 15s,,capsule,rosy,rosy 10 15s,1,rosy,rosy,rosy,15s,Akumentis Healthcare Ltd,,,181.5
33884,pure foods omega 3 fish oil cap 60 s,,capsule,pure foods omega 3 fish oil,pure foods omega 3 fish oil 60 s,1,pure foods omega 3 fish,pure foods omega 3,pure foods omega,60s,Rollins International Pvt Pvt,,,1250
33910,ca probret cap 400mg 30s,,capsule,ca probret,ca probret 400 30s,1,ca,ca,ca,30s,WHITE PHARMACEUTICALS,,,14975
