item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,pack,manufacturer,catg,subcatg,mrp
33357,neem ayu ayurvedic anti hair fall kit 1s,,others,neem ayu ayurvedic anti hair fall kit 1s,neem ayu ayurvedic anti hair fall kit 1s,0,neem ayu ayurvedic anti hair fall kit,neem ayu ayurvedic anti hair fall,neem ayu ayurvedic anti hair,neem ayu ayurvedic anti,1s,MOHINI PHARMACITICULES,,,1447
33358,neem ayu ayurvedic anti dandruff kit 1s,,others,neem ayu ayurvedic anti dandruff kit 1s,neem ayu ayurvedic anti dandruff kit 1s,0,neem ayu ayurvedic anti dandruff kit,neem ayu ayurvedic anti dandruff,neem ayu ayurvedic anti,neem ayu ayurvedic,1s,MOHINI PHARMACITICULES,,,1447
33398,lobate gm neo cream 10gm,,others,lobategm neo,lobate neo cream 10,0,lobategm,lobategm,lobategm,lobategm,10gm,ABBOTT HEALTHCARE PRIVATE LIMITED,,,69.82
33431,namhya kashmiri kahwa with saffron 100gm,,others,namhya kashmiri kahwa with saffron,namhya kashmiri kahwa with saffron 100,0,namhya kashmiri kahwa with,namhya kashmiri kahwa,namhya kashmiri,namhya,100gm,NAMHYA FOODS PVT LTD,,,390
33432,namhya periods care tea for pcos & pcod 100gm,,others,namhya periods care,namhya periods care tea for pcos & pcod 100,0,namhya periods,namhya,namhya,namhya,100gm,NAMHYA FOODS PVT LTD,,,589
33433,namhya liver cleanse tea 100gm,,others,namhya liver cleanse,namhya liver cleanse tea 100,0,namhya liver,namhya,namhya,namhya,100gm,NAMHYA FOODS PVT LTD,,,589
33434,namhya thyroid care tea 100gm,,others,namhya thyroid care,namhya thyroid care tea 100,0,namhya thyroid,namhya,namhya,namhya,100gm,NAMHYA FOODS PVT LTD,,,589
33435,namhya diabetic care tea 100gm,,others,namhya diabetic care,namhya diabetic care tea 100,0,namhya diabetic,namhya,namhya,namhya,100gm,NAMHYA FOODS PVT LTD,,,589
33436,namhya ashwagandha powder 100gm,,others,namhya ashwagandha,namhya ashwagandha powder 100,0,namhya,namhya,namhya,namhya,100gm,NAMHYA FOODS PVT LTD,,,189
33437,namhya giloy powder 100gm,,others,namhya giloy,namhya giloy powder 100,0,namhya,namhya,namhya,namhya,100gm,NAMHYA FOODS PVT LTD,,,99
33438,namhya lungs cleance tea 100gm,,others,namhya lungs cleance,namhya lungs cleance tea 100,0,namhya lungs,namhya,namhya,namhya,100gm,NAMHYA FOODS PVT LTD,,,589
33441,mamy poko pants extra absorb m 44s,,others,mamy poko pants extra absorb m 44s,mamy poko pants extra absorb m 44s,0,mamy poko pants extra absorb m,mamy poko pants extra absorb,mamy poko pants extra,mamy poko pants,44s,Unicharm India Pvt.ltd.,,,799
33442,maybelline baby lips cherry kiss spf 11 4gm,,others,maybelline baby lips cherry kiss spf 11,maybelline baby lips cherry kiss spf 11 4,0,maybelline baby lips cherry kiss spf,maybelline baby lips cherry kiss,maybelline baby lips cherry,maybelline baby lips,4gm,Loreal India Pvt.ltd,,,199
33443,omnigain shampoo 200ml,,others,omnigain,omnigain shampoo 200,0,omnigain,omnigain,omnigain,omnigain,200ml,OMNICEUTICS,,,899
33471,lifebuoy germ kill spray 200ml,,others,lifebuoy germ kill,lifebuoy germ kill spray 200,0,lifebuoy germ,lifebuoy,lifebuoy,lifebuoy,200ml,Hindustan Unilever Limited,,,199
33472,lifebuoy germ kill spray total 85ml,,others,lifebuoy germ kill,lifebuoy germ kill spray total 85,0,lifebuoy germ,lifebuoy,lifebuoy,lifebuoy,85ml,Hindustan Unilever Limited,,,99
33473,lifebuoy hand sanitizer total 500ml,,others,lifebuoy hand sanitizer total,lifebuoy hand sanitizer total 500,0,lifebuoy hand sanitizer,lifebuoy hand,lifebuoy,lifebuoy,500ml,Hindustan Unilever Limited,,,250
33474,lifebuoy hand sanitizer total 50ml,,others,lifebuoy hand sanitizer total,lifebuoy hand sanitizer total 50,0,lifebuoy hand sanitizer,lifebuoy hand,lifebuoy,lifebuoy,50ml,Hindustan Unilever Limited,,,25
33497,swisse me biotin gummies beauty 30 s,,others,swisse me biotin gummies beauty 30 s,swisse me biotin gummies beauty 30 s,0,swisse me biotin gummies beauty 30,swisse me biotin gummies beauty,swisse me biotin gummies,swisse me biotin,30s,VITEX PHARMACITICULES,,,799
33498,swisse me melatonin gummies relax & sleep 30 s,,others,swisse me melatonin gummies relax & sleep 30 s,swisse me melatonin gummies relax & sleep 30 s,0,swisse me melatonin gummies relax & sleep 30,swisse me melatonin gummies relax & sleep,swisse me melatonin gummies relax &,swisse me melatonin gummies relax,30s,VITEX PHARMACITICULES,,,799
33499,swisse ultiboost vitamin d 90 s,,others,swisse ultiboost vitamin d 90 s,swisse ultiboost vitamin d 90 s,0,swisse ultiboost vitamin d 90,swisse ultiboost vitamin d,swisse ultiboost vitamin,swisse ultiboost,90s,VITEX PHARMACITICULES,,,1299
33502,swisse ultiboost high strength wild fish oil 60 s,,others,swisse ultiboost high strength wild fish,swisse ultiboost high strength wild fish oil 60 s,0,swisse ultiboost high strength wild,swisse ultiboost high strength,swisse ultiboost high,swisse ultiboost,60s,VITEX PHARMACITICULES,,,999
33515,toneglo face wash 50gm,,others,toneglo face wash,toneglo face wash 50,0,toneglo face,toneglo,toneglo,toneglo,50gm,Intas Pharmaceuticals Ltd,,,215
