item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,pack,manufacturer,catg,subcatg,mrp
33331,fast&up charge fizzy orange blast tab 20s,,tablet,fast&up charge fizzy orange blast,fast&up charge fizzy orange blast 20s,1,fast&up charge fizzy orange,fast&up charge fizzy,fast&up charge,20s,AERONUTRIX SPORTS LTD,,,390
33333,fast&up reload lime & lemon tab 20s,,tablet,fast&up reload lime & lemon,fast&up reload lime & lemon 20s,1,fast&up reload lime &,fast&up reload lime,fast&up reload,20s,AERONUTRIX SPORTS LTD,,,265
33335,fast&up apple cider vinger green apple tab 15s,,tablet,fast&up apple cider vinger green apple,fast&up apple cider vinger green 15s,1,fast&up apple cider vinger green,fast&up apple cider vinger,fast&up apple cider,15s,AERONUTRIX SPORTS LTD,,,350
33336,fast&up melatonin fall asleep strawberry tab 20s,,tablet,fast&up melatonin fall asleep strawberry,fast&up melatonin fall asleep strawberry 20s,1,fast&up melatonin fall asleep,fast&up melatonin fall,fast&up melatonin,20s,AERONUTRIX SPORTS LTD,,,325
33337,chic nutrix glow strawberry & lemon tab 20s,,tablet,chic nutrix glow strawberry & lemon,chic nutrix glow strawberry & lemon 20s,1,chic nutrix glow strawberry &,chic nutrix glow strawberry,chic nutrix glow,20s,AERONUTRIX SPORTS LTD,,,1980
33339,chic nutrix bounce raspberry tab 20s,,tablet,chic nutrix bounce raspberry,chic nutrix bounce raspberry 20s,1,chic nutrix bounce,chic nutrix,chic,20s,AERONUTRIX SPORTS LTD,,,720
33340,fast&up man extend fizzy peach tab 20s,,tablet,fast&up man extend fizzy peach,fast&up man extend fizzy peach 20s,1,fast&up man extend fizzy,fast&up man extend,fast&up man,20s,AERONUTRIX SPORTS LTD,,,460
33448,sureferol chewable tab 30s,,tablet,sureferol chewable,sureferol chewable 30s,1,sureferol,sureferol,sureferol,30s,ASSURE LIFE SCIENCE,,,299
33475,silycholine tab 10s,,tablet,silycholine,silycholine 10s,1,silycholine,silycholine,silycholine,10s,ALVEERA HEALTHCARE,,,245
33491,swisse beauty vegan collagen builder tab 30s,,tablet,swisse beauty vegan collagen builder,swisse beauty vegan collagen builder 30s,1,swisse beauty vegan collagen,swisse beauty vegan,swisse beauty,30s,VITEX PHARMACITICULES,,,1299
33492,swisse beauty biotin+ tab 30 s,,tablet,swisse beauty biotin+,swisse beauty biotin+ 30 s,1,swisse beauty,swisse,swisse,30s,VITEX PHARMACITICULES,,,999
33493,swisse beauty glutathione+ tab 30 s,,tablet,swisse beauty glutathione+,swisse beauty glutathione+ 30 s,1,swisse beauty,swisse,swisse,30s,VITEX PHARMACITICULES,,,1399
