item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
33397,alphacept cap 8mg 15s,,capsule,alphacept,alphacept 8 15s,1.0,alphacept,alphacept,alphacept,109340.0,alphacept 8 capsule 10s,capsule,alphacept,alphacept 8 10s,alphacept 8 capsule 10s,0.6666666666666667,0.6666666666666667,15,10,1.0,0.0,alphacept capsule 8mg 15s,2.0,mg,,2.0,8,,15s,Lupin Ltd,,,437.8,1,0.6666666666666667
33508,maxgalin cap 75mg 15s,,capsule,maxgalin,maxgalin 75 15s,1.0,maxgalin,maxgalin,maxgalin,235469.0,maxgalin 75 capsule 10s,capsule,maxgalin,maxgalin 75 10s,maxgalin 75 capsule 10s,0.6666666666666667,0.6666666666666667,15,10,1.0,0.0,maxgalin capsule 75mg 15s,2.0,mg,,2.0,75,,15s,Sun Pharmaceutical Industries Ltd,,,277.5,1,0.6666666666666667
33507,c-hop cap 400mg 10s,,capsule,c hop,c hop 400 10s,1.0,c,c,c,151450.0,c hop 200mg soft gelatin capsule 10s,capsule,c,c hop 200 sg 10s,c hop 200mg sg capsule 10s,0.6708203932499369,0.6708203932499369,10,10,0.0,0.0,c hop capsule 400mg 10s,0.0,mg,mg,1.0,400,200,10s,Corona Remedies Pvt Ltd,,,625,1,0.6708203932499369
33697,zincovit w cap 10s,,capsule,zincovit w,zincovit w 10s,1.0,zincovit,zincovit,zincovit,376513.0,zincovit capsule 10s,capsule,zincovit,zincovit 10s,zincovit capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,zincovit w capsule 10s,2.0,,,2.0,,,10s,Apex Laboratories Pvt Ltd,,,155,1,0.8164965809277259
33864,zyrol sg cap 4s,,capsule,zyrol sg,zyrol sg 4s,1.0,zyrol,zyrol,zyrol,376640.0,zyrol sg softgel capsule 4s,capsule,zyrol,zyrol sg softgel 4s,zyrol sg softgel capsule 4s,0.8660254037844387,0.8660254037844387,4,4,0.0,0.0,zyrol sg capsule 4s,2.0,,,2.0,,,4s,PICTUS PHARMACEUTICALS PVT LTD,,,124,1,0.8660254037844387
33708,kapiva ashwagandha gold cap 30s,,capsule,kapiva ashwagandha gold,kapiva ashwagandha gold 30s,1.0,kapiva ashwagandha,kapiva,kapiva,219827.0,kapiva ayurveda ashwagandha capsule 60s,capsule,kapiva,kapiva ayurveda ashwagandha 60s,kapiva ayurveda ashwagandha capsule 60s,0.5,0.5,30,60,1.0,0.0,kapiva ashwagandha gold capsule 30s,2.0,,,2.0,,,30s,Adret Retail Pvt. Ltd. (Kapiva),,,299,1,0.5
33806,vito yield softgel cap 10s,,capsule,vito yield softgel,vito yield softgel 10s,1.0,vito yield,vito,vito,339343.0,vito yield soft gelatin capsule 10s,capsule,vito,vito yield sg 10s,vito yield sg capsule 10s,0.75,0.75,10,10,0.0,0.0,vito yield softgel capsule 10s,2.0,,,2.0,,,10s,Nucidem Life Sciences Pvt Ltd,,,650,1,0.75
33361,neem ayu anti dandruff cap 60s,,capsule,neem ayu anti dandruff,neem ayu anti dandruff 60s,1.0,neem ayu anti,neem ayu,neem,382257.0,neem leaf capsule 60s,capsule,neem,neem leaf 60s,neem leaf capsule 60s,0.5163977794943222,0.5163977794943222,60,60,0.0,0.0,neem ayu anti dandruff capsule 60s,2.0,,,2.0,,,60s,MOHINI PHARMACITICULES,,,599,1,0.5163977794943222
33885,pure foods vitamin d3â  cap 60 s,,capsule,pure foods vitamin d3â,pure foods vitamin d3â 60 s,1.0,pure foods vitamin,pure foods,pure,282805.0,pure nutrition vitamin e capsule 60s,capsule,pure,pure nutrition vitamin e 60s,pure nutrition vitamin e capsule 60s,0.3651483716701107,0.3651483716701107,,60,1.0,0.0,pure foods vitamin d3â  capsule 60 s,2.0,,,2.0,,,60s,Rollins International Pvt Pvt,,,499,1,0.3651483716701107
33338,densomin cap 10s,,capsule,densomin,densomin 10s,1.0,densomin,densomin,densomin,163528.0,densomin capsule 10s,capsule,densomin,densomin 10s,densomin capsule 10s,,,,,,0.0,densomin capsule 10s,,,,,,,10s,BIOREX HEALTHCARE,,,165,1,
