item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
33350,evaparin (inj+cartidge) 1s,,others,evaparin,evaparin injection +cartidge 1s,0,evaparin,evaparin,evaparin,evaparin,190404.0,evaparin injection 3ml,injection,evaparin,evaparin injection 3,evaparin injection 3ml ,0.5773502691896258,0.5773502691896258,0,evaparin injection +cartidge 1s ,2.0,,ml ,1s,Intas Pharmaceuticals Ltd,,,4800,1,,,1,0.5773502691896258
33387,bioderma sebium pore refiner 15ml,,others,bioderma,bioderma sebm pore refiner 15,0,bioderma,bioderma,bioderma,bioderma,127134.0,bioderma sebium pore refiner 30ml,others,bioderma,bioderma sebium pore refiner 30,bioderma sebium pore refiner 30ml ,0.5999999999999999,0.5999999999999999,0,bioderma sebium pore refiner 15ml ,0.0,ml ,ml ,15ml,Bioderma Laboratories,,,799,0,,,1,0.5999999999999999
33391,gi gel syp 200ml,,syrup,gi,gi gel 200,1,gi,gi,gi,gi,378369.0,gi gel oral suspension mint 170ml,others,gi,gi gel oral mint 170,gi gel oral suspension mint 170ml ,0.4082482904638631,0.4082482904638631,0,gi gel syrup 200ml ,0.0,ml ,ml ,200ml,GH. VISION LIFESCIENCES,,,199.9,1,,,1,0.5163977794943222
33425,freeflex emugel 30gm,,others,freeflex,freeflex emugel 30,0,freeflex,freeflex,freeflex,freeflex,383197.0,freeflex emulgel 30gm,others,freeflex,freeflex emulgel 30,freeflex emulgel 30gm ,0.6666666666666667,0.6666666666666667,0,freeflex emugel 30gm ,0.0,gm ,gm ,30gm,Sanofi India Limited,,,390,0,,,1,0.6666666666666667
33481,aziwok xl syp 200mg 30ml,,syrup,aziwok,aziwok syrup 200 30,1,aziwok,aziwok,aziwok,aziwok,121347.0,aziwok  xl 200 liquid 30ml,others,aziwok,aziwok 200 liquid 30,aziwok 200 liquid 30ml ,0.75,0.75,0,aziwok syrup 200mg 30ml ,0.0,ml ,ml ,30ml,Wockhardt Ltd,,,114.58,1,,,1,0.75
33554,loreal shampoo total repair 5 damage hair 180ml,,others,loreal,loreal shampoo total repair 5 damage hair 180,0,loreal,loreal,loreal,loreal,230375.0,loreal kids 2 in 1 shampoo 250ml,others,loreal,loreal paediatric 2 in 1 shampoo 250,loreal paediatric 2 in 1 shampoo 250ml ,0.26726124191242434,0.26726124191242434,0,loreal shampoo total repair 5 damage hair 180ml ,0.0,ml ,ml ,180ml',Loreal India Pvt.ltd,,,199,0,,,1,0.26726124191242434
33591,nailrox cream 1% 50gm,,others,nailrox,nailrox cream 1% 50,0,nailrox,nailrox,nailrox,nailrox,248083.0,nailrox cream 50gm,others,nailrox,nailrox cream 50,nailrox cream 50gm ,0.8660254037844387,0.8660254037844387,0,nailrox cream 1% 50gm ,0.0,gm ,gm ,50gm,Intas Pharmaceuticals Ltd,,,229,0,,,1,0.8660254037844387
33639,pcm syp 60ml,,syrup,pcm,pcm 60,1,pcm,pcm,pcm,pcm,273369.0,pcm suspension 60ml,others,pcm,pcm 60,pcm suspension 60ml ,0.6666666666666667,0.6666666666666667,0,pcm syrup 60ml ,0.0,ml ,ml ,60ml,Intas Pharmaceuticals Ltd,,,29.92,1,,,1,0.9999999999999998
33640,paracip 250mg syrup 60ml,,syrup,paracip,paracip 250 syrup 60,1,paracip,paracip,paracip,paracip,271691.0,paracip syrup 60ml,syrup,paracip,paracip syrup 60,paracip syrup 60ml ,0.8660254037844387,0.8660254037844387,0,paracip 250mg syrup 60ml ,0.0,ml ,ml ,60ml,Cipla Ltd,,,44.35,0,,,1,0.8660254037844387
33655,everfresh tears eye drop 10ml,,others,everfresh,everfresh tears eye drops 10,0,everfresh,everfresh,everfresh,everfresh,190479.0,everfresh tears 0.5% eye drop 10ml,others,everfresh,everfresh tears 0.5% eye drops 10,everfresh tears 0.5% eye drops 10ml ,0.8451542547285165,0.8451542547285165,0,everfresh tears eye drops 10ml ,0.0,ml ,ml ,10ml,Alembic Pharmaceuticals Ltd,,,155.23,0,,,1,0.8451542547285165
33677,mesacol cr sachet 2gm,,others,mesacol,mesacol sachet 2,0,mesacol,mesacol,mesacol,mesacol,371751.0,mesacol cr 2gm granules 1gm,others,mesacol,mesacol 2 granules 1000,mesacol 2gm granules 1000mg ,0.5773502691896258,0.5773502691896258,0,mesacol sachet 2gm ,1.0,gm ,mg ,2gm,Sun Pharmaceutical Industries Ltd,,,76,0,,,1,0.5773502691896258
