item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
33344,tofatas xr tab 11mg 10s,,tablet,tofatas,tofatas 11 10s,1.0,tofatas,tofatas,tofatas,375313.0,tofatas tablet 10s,tablet,tofatas,tofatas 10s,tofatas tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,tofatas tablet 11mg 10s,2.0,mg ,,2.0,11,,0,10s,Intas Pharmaceuticals Ltd,,,530,1,0.8164965809277259
33465,amlozaar tab 15s,,tablet,amlozaar,aozaar 15s,1.0,amlozaar,amlozaar,amlozaar,377893.0,amlozaar h tablet 15s,tablet,amlozaar,aozaar h 15s,amlozaar h tablet 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,amlozaar tablet 15s,2.0,,,2.0,,,0,15s,Micro Labs Ltd,,,249,1,0.8164965809277259
33510,zapiz tab 0.5mg 20s,,tablet,zapiz,zapiz 0.5 20s,1.0,zapiz,zapiz,zapiz,345935.0,zapiz 0.5 tablet 10s,tablet,zapiz,zapiz 0.5 10s,zapiz 0.5 tablet 10s,0.75,0.75,20,10,1.0,zapiz tablet 0.5mg 20s,2.0,mg ,,2.0,0.5,,0,20s,Intas Pharmaceuticals Ltd,,,77.5,1,0.75
33518,troxip tab 100mg 10s,,tablet,troxip,troxip 100 10s,1.0,troxip,troxip,troxip,330659.0,troxip tablet 10s,tablet,troxip,troxip 10s,troxip tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,troxip tablet 100mg 10s,2.0,mg ,,2.0,100,,0,10s,Zuventus Healthcare Ltd,,,117.95,1,0.8164965809277259
33594,tilstigmin tab 15mg 10s,,tablet,tilstigmin,tilstiin 15 10s,1.0,tilstigmin,tilstigmin,tilstigmin,326582.0,tilstigmin tablet 10s,tablet,tilstigmin,tilstiin 10s,tilstigmin tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,tilstigmin tablet 15mg 10s,2.0,mg ,,0.0,tilsti,tilsti,0,10s,Aristo Pharmaceuticals Pvt Ltd,,,55.47,1,0.8164965809277259
33636,mypar 500 tab 10s,,tablet,mypar,mypar 500 10s,1.0,mypar,mypar,mypar,247337.0,mypar 500mg tablet 1000s,tablet,mypar,mypar 500 1000s,mypar 500mg tablet 1000s,0.6666666666666667,0.6666666666666667,10,1000,1.0,mypar 500 tablet 10s,2.0,,mg ,2.0,,500,0,10s,Dr Morepen Labs Ltd,,,11.31,1,0.6666666666666667
33671,carvidon mr tab 15s,,tablet,carvidon,carvidon 15s,1.0,carvidon,carvidon,carvidon,146113.0,carvidon  mr tablet 10s,tablet,carvidon,carvidon 10s,carvidon tablet 10s,0.4999999999999999,0.4999999999999999,15,10,1.0,carvidon tablet 15s,2.0,,,2.0,,,0,15s,Micro Labs Ltd,,,234,1,0.4999999999999999
33854,mycolon sr tab 200mg 10s,,tablet,mycolon,mycolon 200 10s,1.0,mycolon,mycolon,mycolon,379896.0,mycolon tablet 10s,tablet,mycolon,mycolon 10s,mycolon tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,mycolon tablet 200mg 10s,2.0,mg ,,2.0,200,,0,10s,WATERLEY PHARMACEUTICALS PVT LTD,,,195,1,0.8164965809277259
33860,sitabite tab 100mg 10s,,tablet,si,si tabletites 100 10s,2.0,si,si,si,311654.0,si fixim 100mg tablet dt 10s,tablet,si,si fixim 100 10s,si fixim 100mg tablet 10s,0.75,0.75,10,10,0.0,si tabletites 100mg 10s,0.0,mg ,mg ,0.0,100,100,0,10s,Corona Remedies Pvt Ltd,,,99,1,0.75
33976,zapiz tab 0.25mg 20s,,tablet,zapiz,zapiz 0.25 20s,1.0,zapiz,zapiz,zapiz,345934.0,zapiz 0.25 tablet 10s,tablet,zapiz,zapiz 0.25 10s,zapiz 0.25 tablet 10s,0.75,0.75,20,10,1.0,zapiz tablet 0.25mg 20s,2.0,mg ,,2.0,0.25,,0,20s,Intas Pharmaceuticals Ltd,,,34.48,1,0.75
33982,kerashine tab 15s,,tablet,kerashine,kerashine 15s,1.0,kerashine,kerashine,kerashine,220984.0,kerashine tablet 10s,tablet,kerashine,kerashine 10s,kerashine tablet 10s,0.4999999999999999,0.4999999999999999,15,10,1.0,kerashine tablet 15s,2.0,,,2.0,,,0,15s,Butson Bioscience,,,15s,1,0.4999999999999999
33990,azulix tab 2mg 15s,,tablet,azulix,azulix 2 15s,1.0,azulix,azulix,azulix,361891.0,azulix 2 mf tablet pr 15s,tablet,azulix,azulix 2 mf 15s,azulix 2 mf tablet 15s,0.8660254037844387,0.8660254037844387,15,15,0.0,azulix tablet 2mg 15s,2.0,mg ,,2.0,2,,0,15s,Torrent Pharmaceuticals Ltd,,,57.23,1,0.8660254037844387
33354,vildapride d tab 10/100mg 10s,,tablet,vildapride d,vildapride d 10/100 10s,1.0,vildapride,vildapride,vildapride,377994.0,vildapride d 100mg/10mg tablet 10s,tablet,vildapride,vildapride d 100/10 10s,vildapride d 100mg/10mg tablet 10s,0.9999999999999998,0.9999999999999998,10,10,0.0,vildapride d tablet 10/100mg 10s,0.0,mg ,mg ,1.0,10/100,100,0,10s,Micro Labs Ltd,,,250,1,0.9999999999999998
33388,tripride forte tab 1mg 15s,,tablet,tripride forte,tripride forte 1 15s,1.0,tripride,tripride,tripride,330197.0,tripride 1 tablet sr 15s,tablet,tripride,tripride 1 15s,tripride 1 tablet 15s,0.8660254037844387,0.8660254037844387,15,15,0.0,tripride forte tablet 1mg 15s,2.0,mg ,,2.0,1,,1,15s,Micro Labs Ltd,,,165,1,0.8660254037844387
33444,sat k2 tab 10s,,tablet,sat k2,sat k2 10s,1.0,sat,sat,sat,374388.0,sat k2 7 tablet 10s,tablet,sat,sat k2 7 10s,sat k2 7 tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,sat k2 tablet 10s,2.0,,,2.0,,,0,10s,SAT PHARMA,,,275,1,0.8660254037844387
33452,moktel woman tab 10s,,tablet,moktel woman,moktel woman 10s,1.0,moktel,moktel,moktel,242916.0,moktel tablet 10s,tablet,moktel,moktel 10s,moktel tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,moktel woman tablet 10s,2.0,,,2.0,,,0,10s,KEPLER HEALTHCARE PVT LTD,,,238,1,0.8164965809277259
33487,ctd mt tab 6.25/25/40mg 10s,,tablet,ctd mt,ctd mt 6.25/25/40 10s,1.0,ctd,ctd,ctd,377974.0,ctd mt 6.25mg/25mg/40mg tablet 10s.,tablet,ctd,ctd mt 6.25/25/40 10s.,ctd mt 6.25mg/25mg/40mg tablet 10s.,1.0,1.0,10,10,0.0,ctd mt tablet 6.25/25/40mg 10s,0.0,mg ,mg ,1.0,6.25/25/40,6.25,0,10s,Ipca Laboratories Ltd,,,110.4,1,1.0
