item_code,brand_x,brand_y,manufacturer,id,mrp
ACT0071,actide 50mcg 1ml inj,actide 50mcg injection 1ml,SAMARTH LIFESCIENCES PVT LTD,378690.0,225.0
ACU0111,acunus 20ml gel,acunus gel 20ml,STRENUOUS HEALTHCARE PVT LTD,379124.0,260.0
ADP0015,adpaxil 260mg 43.4ml inj,adpaxil 260mg injection 43.4ml,ONCARE LIFE SCIENCES CANC,378534.0,10100.0
ADP0016,adpaxil inj - 30mg / 5ml,adpaxil 30mg injection 5ml,ADLEY PHARMACEUTICALS LTD,378535.0,2000.0
ADR0050,adren 1ml inj,adren injection 1ml,HARSON LABORATORIES,382199.0,16.45
ADV0109,advin 50mg/5ml inj,advin 50mg injection 5ml,ADLEY PHARMACEUTICALS LTD,380763.0,16850.0
ALO0086,alosil 30gm cream,alosil cream 30gm,3M INDIA LTD,109256.0,90.0
AMF0013,amflor 100gm paste,amflor toothpaste 100gm,GROUP PHAMRACEUTICALS LTD,110619.0,165.0
AMF0015,amflor 50gm paste,amflor toothpaste 50gm,GROUP PHAMRACEUTICALS LTD,110617.0,94.0
AQU0036,aquabact  75gm soap,aquabact soap 75gm,AJANTA PHARMA LTD,114365.0,72.0
BAV0001,bavencio 200mg/10ml inj,bavencio 200mg injection 10ml,MERCK LTD,380525.0,146800.0
BEV0036,bevacizab 400mg/16ml inj,bevacizab 400mg injection 16ml,ABBOTT INDIA LIMITED,379548.0,48990.0
BON0046,bonliv  225ml syp,bonliv syrup 225ml,ADONIS LABORATORIES PVT LTD,141181.0,82.0
BOT0019,botropase 2ml inj,botropase injection 2ml,JUGGAT PHARMA LTD,141373.0,100.8
BRO0311,bromviz 5ml eye drops,bromviz eye drop 5ml,ALERCON PHARMA PVT LTD,382427.0,85.0
BRY0086,bryxta 300mg/12ml inj,bryxta 300mg injection 12ml,ZYDUS CADILA HEALTHCARE LTD,380557.0,27990.0
CAL0292,calacare 50 ml lotion,calacare lotion 50ml,INTAS PHARMACEUTICALS LTD,143577.0,30.0
CAL0474,calderm 100ml lotion,calderm lotion 100ml,DERMO CARE LABORATORIES,144054.0,97.0
CAN0212,candid 50gm soap,candid soap 50gm,GLENMARK PHARMACEUTICAL LTD,144892.0,71.5
CAR0347,carmozyme 100 ml liq,carmozyme liquid 100ml,MENDEL PHARMA,145838.0,62.6
CAS0007,castor 100ml oil,castor oil 100ml,GARY PHARMACEUTICALS PVT LTD,380844.0,72.0
CAS0008,castor 200ml oil,castor oil 200ml,GARY PHARMACEUTICALS PVT LTD,381290.0,90.0
CHE0200,cherrymint 100ml  syp,cherrymint syrup 100ml,MINT PHARMACEUTICALS PVT LTD,150970.0,65.0
CIT0028,citinova 250mg/2ml inj.,citinova 250mg injection 2ml,IPCA LABORATORIES PVT LTD,153369.0,95.75
CLE0024,clearasil 75gm soap,clearasil soap 75gm,RECKITT BENCKISERINDIALTD,154187.0,19.0
CRE0075,cresp inj - 25mcg/1ml,cresp 25 injection 1,DR REDDY'S LABORATORIES,159198.0,1599.0
CUR0040,curosurf 1.5ml/80mg inj,curosurf 80mg injection 1.5ml,PAVIOUR PHARMA PVT.LTD.,378323.0,12280.0
CUT0062,cutinorm 75gm soap,cutinorm soap 75gm,ADONIS LABORATORIES PVT LTD,376769.0,120.0
CUT0167,cutimax 125gm  cream,cutimax cream 125gm,IPCA LABORATORIES PVT LTD,159985.0,270.0
DEC0269,decmax 4mg/1ml inj,decmax 4mg injection 1ml,GLS PHARMA PVT LTD,381533.0,6.5
DIA0228,diapepsin 200ml syp,diapepsin syrup 200ml,UNICORN BIOSCIENCES PRIVATE LIMITED,165742.0,72.7
DOB0027,dobustat 5ml inj ***,dobustat injection 5ml,SAMARTH LIFESCIENCES PVT LTD,384624.0,287.5
DRE0021,drez 100gm oint,drez ointment 100gm,LEVIN LIFESCIENCES PVT LTD,181312.0,150.0
ECO0074,ecoket 20gm cream,ecoket cream 20gm,ALBATROSS HEALTHCARE PVT LTD,183734.0,60.0
EMB0049,embremma 0.5mg/2ml inj,embremma 0.5mg injection 2ml,EMCURE PHARMACEUTICALS LTD,380390.0,19500.0
END0114,endruff 50ml lotion,endruff lotion 50ml,NULIFE PHARMACEUTICALS PVT LTD,186617.0,51.01
ENO0093,enoxaparin 40mg/0.4ml inj,enoxaparin 40mg injection 0.4ml,SOVEREIGN REMEDIES PVT LTD,186894.0,395.0
ERY0099,erypeg 30mcg/0.3ml inj,erypeg 30mcg injection 0.3ml,INTAS PHARMACEUTICALS LTD,380253.0,3350.0
EVI0020,evion 20gm cream,evion cream 20gm,MERCK LTD,190573.0,58.2
EVI0053,evict 90ml  syp,evict syrup 90ml,ALBERT DAVID LTD,190558.0,92.61
EVI0054,evict 180ml syp,evict syrup 180ml,ALBERT DAVID LTD,190555.0,223.5
EVI0055,evict 400ml syp,evict syrup 400ml,ALBERT DAVID LTD,190560.0,411.6
EZI0002,ezimet 20gm cream,ezimet cream 20gm,CANIXA LIFE SCIENCES PVT LTD,191272.0,80.0
FAC0001,faceclin 10gm gel,faceclin gel 10gm,ABBOTT INDIA LIMITED,191548.0,130.0
FER0362,feriaux 200ml syp,feriaux syrup 200ml,GENIAL,193271.0,115.0
FER0533,feriful xt 150ml syr,feriful syrup 150ml,GAIPHA LABS,193314.0,128.0
FLU0098,flutivate 20gm   cream,flutivate cream 20gm,GLAXO SMITHKLINE PHARMACEUTICALS LTD,379998.0,104.5
FLU0293,fluon 30gm cream,fluon cream 30gm,TORRENT PHARMACEUTICALS LTD,196301.0,60.0
FOS0034,fostitol 200ml syrup,fostitol syrup 200ml,ALKEM LABORATORIES LTD,197694.0,165.0
FUN0029,fungiderm 15gm cream,fungiderm cream 15gm,3M INDIA LTD,198512.0,33.0
GAB0236,gabapax 20gm oint,gabapax ointment 20gm,ALTEUS BIOGENICS PVT LTD,199303.0,273.9
GAZ0014,gazyva 1000mg/40ml inj,gazyva 1000mg injection 40ml,ROCHE DIAGNOSTICS IND PVT LTD,380669.0,373364.0
GEN0032,genozyme 100ml syp,genozyme syrup 100ml,GENO PHARMACEUTICALS LTD,200854.0,41.41
GLA0774,glaede 100ml face wash,glaede face wash 100ml,ASSURE LIFESCIENCES PVT LTD,381053.0,299.0
GOI0001,goizy 30gm gel,goizy gel 30gm,ST.MORRISON PHARMA LTD,204760.0,82.9
GYN0011,gynedol 200ml syp,gynedol syrup 200ml,DWD PHARMACEUTICALS LTD,206023.0,154.0
HAV0005,havpur 0.5ml vaccine,havpur vaccine 0.5ml,CHIRON PANACEA VACCINES PVT LTD,207429.0,1359.0
