item_code,brand_x,brand_y,manufacturer,id,mrp
ACI0007,aciloc 2ml inj,aciloc injection 2ml,ZYDUS CADILA HEALTHCARE LTD,102444.0,
ACN0003,acnelak - 75gm soap,acnelak soap 75gm,MENARINI INDIA LTD,102915.0,
ACN0007,acnicin 15gm gel,acnicin gel 15gm,ALEMBIC LTD,102976.0,
ALC0151,alcarex 5ml eye drops,alcarex eye drop 5ml,AJANTA PHARMA LTD,107290.0,
ALF0022,alfakim 500mg 2ml inj,alfakim 500mg injection 2ml,RANBAXY LABORATORIES,107952.0,
ALI0078,alikuf 100ml syp,alikuf syrup 100ml,ALISIER DRUGS PVT LTD,108190.0,
ALK0026,alkasol 450 ml syp,alkasol syrup 450ml,STADMED PRIVATE LIMITED,108332.0,
ALK0037,alkamax 100ml syrup,alkamax syrup 100ml,OVERSEAS HEALTH CARE PVT LTD,108301.0,
ALO0276,aloben 100ml lotion,aloben lotion 100ml,OLSKI LAB,109048.0,
AMB0006,ambrodil 100ml syp,ambrodil syrup 100ml,ARISTO PHARMACEUTICALS PVT LTD,110311.0,
AMB0010,ambrolite  100ml  syp,ambrolite syrup 100ml,TABLETS INDIA LTD,110353.0,
ANA0033,anafortan 30ml syr,anafortan syrup 30ml,ABBOTT INDIA LIMITED,112605.0,
ANA0095,anaproct 15gm oint,anaproct ointment 15gm,IND SWIFT LTD,112647.0,
ANO0027,anobliss 30gm cream,anobliss cream 30gm,SAMARTH LIFESCIENCES PVT LTD,113252.0,
ANO0044,anorelief 30gm  cream,anorelief cream 30gm,MICRO LABS LTD,113293.0,
ANT0410,antid 300mcg/1ml inj,antid 300mcg/ml injection 1,BHARAT SERUMS & VACCINES LTD,366669.0,
API0006,apimore 200ml syrup,apimore syrup 200ml,COSME FARMA LTD,113999.0,
APT0002,aptivate 175ml syp,aptivate syrup 175ml,LUPIN LABORATORIES LTD,362487.0,
APT0006,aptimust 200ml syp,aptimust syrup 200ml,MANKIND PHARMA PVT LTD,114287.0,
APT0038,apticyp 200ml syr,apticyp syrup 200ml,ULTRACHEM PHARMACEUTICALS,114277.0,
AQS0003,aqsusten 50/2.237ml inj,aqsusten 50 injection 2.237ml,SUN PHARMA LABORATORIES LTD.,366714.0,
AQU0049,aquasoft 150gm cream,aquasoft cream 150gm,AJANTA PHARMA LTD,114420.0,
AQU0106,aquasurge 10ml eye drops,aquasurge eye drop 10ml,IPCA LABORATORIES PVT LTD,114434.0,
ARA0050,ara 10gm opthalmic gel,ara eye gel 10gm,SUNWAYS INDIA PVT LTD,114475.0,
ARA0051,ara 10ml eye drops,ara eye drop 10ml,SUNWAYS INDIA PVT LTD,114474.0,
ART0038,artacil 25mg/2.5ml inj,artacil 25mg/ml injection 2.5ml,NEON LABORATORIES LTD,115686.0,
ART0080,artacil 50mg/5ml inj,artacil 50mg injection 5ml,NEON LABORATORIES LTD,115688.0,
ASS0012,asset 250mg/1ml inj,asset 250mg injection 1,JALTIUS HEALTHCARE PVT LTD,116688.0,
AST0005,asthalin 100ml syp,asthalin syrup 100ml,CIPLA LTD,116842.0,
ATA0046,atarax 100ml anti itch lotion,atarax anti itch lotion 100ml,DR REDDY'S LABORATORIES,117060.0,
ATO0075,atogla 100 gm cream,atogla cream 100gm,CURATIO HEALTH CARE PVT LTD,117701.0,
ATO0166,atonide 20gm gel,atonide gel 20gm,CURATIO HEALTH CARE PVT LTD,117726.0,
ATO0240,atopia 50gm cream,atopia cream 50gm,ZYDUS CADILA HEALTHCARE LTD,117728.0,
AVA0037,avarta 50gm cream,avarta cream 50gm,DR REDDY'S LABORATORIES,118655.0,
AZI0170,azithral xl 200mg 30ml liq,azithral xl 200 liquid 30ml,ALEMBIC LTD,121160.0,
BAC0209,bacantus 100ml syp,bacantus syrup 100ml,3M INDIA LTD,122013.0,
BAN0003,bandy syrup 10ml,bandy suspension 10ml,MANKIND PHARMA PVT LTD,123437.0,
BAS0009,basalog 100iu/ml 3ml inj,basalog 100iu/ml injection 3ml,BIOCON LTD,362068.0,
BEC0018,becosules  120 ml syp,becosules syrup 120ml,PFIZER LTD,124384.0,
BEI0003,beipos 5ml eye drops,beipos eye drop 5ml,LUPIN LABORATORIES LTD,124512.0,
BEN0186,beneficiale 200ml liquid,beneficiale liquid 200ml,SHREYA LIFESCIENCES PVT LTD,124791.0,
BEN0258,benadryl dr 50ml syp,benadryl syrup 50ml,JOHNSON & JOHNSON PVT LTD,124724.0,
BES0001,bestozyme  15ml  drop,bestozyme drop 15ml,BIOLOGICAL E LTD,125390.0,
BET0306,betsalic 25ml lotion,betsalic lotion 25ml,OMEGA PHARMACEUTICALS LTD,125903.0,
BET0501,betoact 5ml eye drops,betoact eye drops 5ml,AJANTA PHARMA LTD,125881.0,
BEV0016,bevon  200ml suspension,bevon suspension 200ml,ZUVENTUS HEALTHCARE LTD,126017.0,
BIF0021,bifilac  50ml dry syp,bifilac dry syrup 50ml,TABLETS INDIA LTD,126343.0,
BLU0036,blukof 100 ml syp,blukof syrup 100ml,ALKEM LABORATORIES LTD,140355.0,
BOT0006,botroclot 10ml topical solution,botroclot topical solution 10ml,JUGGAT PHARMA LTD,141371.0,
BOT0008,botropase 1ml inj,botropase injection 1ml,JUGGAT PHARMA LTD,141372.0,
BRI0045,brimocom 5ml eye drops,brimocom eye drop 5ml,CIPLA LTD,141799.0,
BRI0233,briopt 5ml eye drops,briopt eye drop 5ml,ZYDUS CADILA HEALTHCARE LTD,141857.0,
BRI0269,britiblu 5ml eye drops,britiblu eye drop 5ml,LUPIN LABORATORIES LTD,141895.0,
BRO0209,bromvue 5ml eye drops,bromvue eye drops 5ml,IPCA LABORATORIES PVT LTD,142081.0,
BRO0231,broncosip 100ml syp,broncosip syrup 100ml,CANVARZY HEALTHCARE LTD,142143.0,
CAB0024,caboprost * inj - 125mcg / 1ml,caboprost 125mcg injection 1ml,NEON LABORATORIES LTD,143253.0,
CAL0853,calsive 200ml syp,calsive syrup 200ml,LEEFORD HEALTH CARE LTD,144516.0,
CAL1497,calcirol 100ml syrup,calcirol syrup 100ml,ZYDUS CADILA HEALTHCARE LTD,143931.0,
CAN0060,candifem 30gm vaginal cream,candifem vaginal cream 30gm,MEYER ORGANICS PVT LTD,144924.0,
CAN0279,canfree 15gm gel,canfree gel 15gm,CHEMO HEALTHCARE PVT LTD,145019.0,
CAN0400,candid 30ml lotion,candid lotion 30ml,GLENMARK PHARMACEUTICAL LTD,144884.0,
CAN0436,candid 25ml mouth paint,candid mouth paint 25ml,GLENMARK PHARMACEUTICAL LTD,144887.0,
CAR0431,carnisure 30ml syrup,carnisure syrup 30ml,TORRENT (AZUCA),145877.0,
CAR0987,cartilox 10.45gm sachet,cartilox sachet 10.45gm,DR REDDY'S LABORATORIES,361998.0,
CAT0013,catlon 10ml eye drops,catlon eye drop 10ml,OPTHO REMEDIES PVT LTD,146297.0,
CCS0001,ccs 10ml eye drops,ccs eye drop 10ml,OPTHO REMEDIES PVT LTD,146491.0,
CER0057,cerecetam 100ml syp,cerecetam syrup 100ml,INTAS PHARMACEUTICALS LTD,149917.0,
CER0390,ceratop 100gm cream,ceratop cream 100gm,OAKNET LIFE SCIENCES PVT LTD,149890.0,
CET0371,cetafresh 200ml cleansing lotion,cetafresh cleansing lotion 200ml,CIPLA LTD,150121.0,
CHA0161,charmoist 100ml lotion,charmoist lotion 100ml,ROCKMED PHARMA PVT LTD,150865.0,
CHR0045,chromostat 2ml  inj,chromostat injection 2ml,ADONIS LABORATORIES PVT LTD,151476.0,
CIP0077,cipladine 20gm oint,cipladine ointment 20gm,CIPLA LTD,152492.0,
