item_code,brand_x,brand_y,manufacturer,id,mrp,count
4GC0001,4g cream 15g,4g cream 15gm,ZOIC LIFE SCIENCES,100505.0,,1
ACC0003,accuzon 1gm inj,accuzon 1gm injection 1,MACLEODS PHARMACEUTICALS LTD,101453.0,,1
ACC0046,accuzon 500mg inj,accuzon 500mg injection 1,MACLEODS PHARMACEUTICALS LTD,101456.0,,1
ACC0151,accentrix 10mg/ml inj,accentrix solution for injection 1,NOVARTIS INDIA LTD,101299.0,,1
ACE0291,aceproxyvon 30gm gel,aceproxyvon sp 100mg/325mg/15mg tablet 10s,WOCKHARDT LTD,102020.0,,1
ACI0029,acivir 25mg 10ml i.v inj,acivir iv injection 10 ml 1,CIPLA LTD,102644.0,,1
ACM0024,acmist 50gm moisturizing cream gel,acmist moisturising gel 50gm,BRINTON PHARMACEUTICAL PVT LTD,102856.0,,1
ACN0006,acnesol gel - 20g,acnesol gel 20gm,SYSTOPIC LABORATORIESS PVT LTD,102943.0,,1
ACN0017,acnestar 75gm soap,acnestar s soap 75gm,LG LIFE SCIENCE  INDIA LTD,102951.0,,1
ACN0132,acnedap gel 15g,acnedap gel 15gm,CIPLA LTD,102898.0,,1
ACN0181,acnemoist 60gm crm,acnemoist cream 60gm,CURATIO HEALTH CARE PVT LTD,102921.0,,1
ACT0179,actrapid flexipen 100iu/3ml,actrapid 100 iu/ml flexpen 3ml,ABBOTT INDIA LIMITED,103555.0,,1
ACT0386,actorise 40 inj,actorise 40 injection 0.4ml,CIPLA LTD,103541.0,,1
ACT0413,actorise 60mcg/0.30ml inj,actorise 60 injection 0.3ml,CIPLA LTD,103542.0,,1
ADB0016,adbpo gel 15g,adbpo gel 15gm,VTS LIFE SCIENCES,366288.0,,1
ADD0039,addphos granules,addphos granules 3.2gm,STEADFAST MEDISHIELD PVT LTD,103869.0,,1
ADM0063,ad-moist moisturising cream 100g,ad mela  tx cream 30gm,ZEDTECH PHARMA LLP,103723.0,,1
ADR0002,adrenor 2ml inj,adrenor 4mg injection 2ml,SAMARTH LIFESCIENCES PVT LTD,105666.0,,1
ADR0032,adrenaline 1ml (gopish phar),adrenaline tartrate injection 1ml,GLAXO SMITHKLINE PHARMACEUTICALS LTD,105661.0,,1
ADR0075,adrenaline 1mg/1ml inj,adrenaline tartrate injection 1ml,COPI MEDICARE,105661.0,,1
ADU0042,adult diaper xl,adult diapers 1,ADONIS LABORATORIES PVT LTD,105720.0,,1
