Product Code,Product Name,Pack Size,Company,catg,subcatg,MRP
16274,CALCETIX D3 SACHET,1GM,AVTIX HEALTHCARE,,,47
16301,PANTOTIX 40MG,10TAB,AVTIX HEALTHCARE,,,91.2
12847,LISTERINE F. BRUST 80ML,80ML,JOHNSON & JOHNSON CONSUMER CAR,,,55
319430894,BUDEFEX 0.5MG SUSPENSION,2ML,RANBAXY,,,20.17
21807,7DZOCEF O,10TAB,ADZO LIFESCIENCES,,,225
6537,SUMO TAB,15TAB,ALKEM,,,136
10179,POLYBION INJ.,2ML,PROCTER AND GAMBLE HEALTHCARE LTD,,,7.3
15334,TELMA H TAB,15TAB,Glenmark Pharmaceuticals Ltd,,,290
22307,ACCU CHECK INSTANT 10,10PCS,SURGICAL ITEM,,,425
8510,WATER BOTTLE,,FREE BEE,,,0
14861,TELMA 40 TAB 15TAB,15TAB,Glenmark Pharmaceuticals Ltd,,,101.3
319430895,DUOZ SUSPENSION 2.5ML,2.5ML,RANBAXY,,,35
317730954,PREGABA 75 15CAP,15CAP,TORRENT,,,305.7
30271,DYNAPAR  TAB 15TAB,15TAB,TROIKAA PHARMACEUTICALS LTD,,,106.35
21589,WINGS AID,1TAB,WINGS,,,3
16282,DICLODIME GEL 30GM,30GM,AVTIX HEALTHCARE,,,104.4
28354,ACHOO PAIN OIL 100ML,100ML,BRAWN COSMETICS & HERBALS PVT,,,260
8077,BUDESAL 0.5MG RESPULES,2ML,CIPLA LTD,,,43.92
16975,COSVATE-G CREAM 25GM,25GM,Oaknet Healthcare Pvt Ltd,,,25.97
11131,ACLAIM TOOTHPASTE,70GM,GROUP PHARMACEUTICALS,,,218
11419,BETAMIL GM CREAM,30GM,PROCTER AND GAMBLE HEALTHCARE LTD,,,43.4
8528,TUSQ DX LIQUID,100ML,BLUE CROSS,,,96
14964,FLUKA 150 TAB,1TAB,CIPLA GENRIC,,,13.29
29197,REVITAL (W)FREE(4`S),4TAB,SUN PHARMA OTC,,,1
31008,ACTIVISION CAP,10CAP,PROVIS BIOLABS,,,251
15391,WHISPER REGULAR-29,8,PROCTER AND GAMBLE,,,29
18683,COSVATE-GM++ CREAM,25GM,Oaknet Healthcare Pvt Ltd,,,92.45
16906,DIGENE TAB ASSORTED FLAVOUR,15TAB,ABBOTT INDIA LIMITED,,,21.95
30519,COSVATE G CREAM 30GM,30GM,Oaknet Healthcare Pvt Ltd,,,31.16
318331082,NOVOGERMINA VAIL 5ML,5ML,ALKEM,,,49
8529,TUSQ X PLUS EXPECTORANT,100ML,BLUE CROSS,,,99
16286,FERROTIX XT SUSP.,150ML,AVTIX HEALTHCARE,,,110
29832,ENERZAL ZERO ORANGE 5GM,5GM,FDC LTD.,,,14
24237,CALCITAS D3 SACHET,1GM,INTAS PHARMACEUTICALS,,,41
31147,FANDCAL CAP,10CAP,FRIENDCURE PHARMACEUTICAL,,,89
31148,FANDIA DSR TAB,10TAB,FRIENDCURE PHARMACEUTICAL,,,99
18227,GAS-O-FAST SACHET  5 GM LEMON,5GM,MANKIND,,,10
16397,SENSODYNE FRESH GEL 150GM,150GM,GALAXO SMITH KLINE OTC,,,120
6536,PAN D CAP,15CAP,ALKEM,,,199
16287,FERROTIX XT,10TAB,AVTIX HEALTHCARE,,,119.21
16299,OFANIX OZ,10TAB,AVTIX HEALTHCARE,,,122.01
16810,OTRIVIN OXY FAST RELIEF ADULT N/S,10ML,GALAXO SMITH KLINE OTC,,,96.8
26733,AL-MITY PLUS TAB,15TAB,LUPIN LTD,,,295
16298,OFANIX 200MG,10TAB,AVTIX HEALTHCARE,,,66.29
325131071,ZAPIZ 0.25 20TAB,20TAB,INTAS PHARMACEUTICALS,,,34.48
10129,NASIVION CLASSIC ADULT N/S,10ML,PROCTER AND GAMBLE HEALTHCARE LTD,,,99.1
16303,PANTOTIX LS CAP,10CAP,AVTIX HEALTHCARE,,,160
16279,CORNXIM 200MG,10TAB,AVTIX HEALTHCARE,,,101.46
10178,NASIVION BABY NASAL DROPS,10ML,PROCTER AND GAMBLE HEALTHCARE LTD,,,75.6
11984,CROCIN 650 ADVANCE TAB,15TAB,GALAXO SMITH KLINE OTC,,,29.9
28938,ALORIV SOAP 75GM,75GM,EAST AFRICAN,,,0
31162,ARGINODE SACHET 5GM,5GM,MEDISALVE LIFESCIENCES,,,49
16276,CLAVCORN CV DRY SYP,60ML,AVTIX HEALTHCARE,,,108.15
16605,OTRIVIN PAEDIATRIC NASAL SPRAY,10ML,GALAXO SMITH KLINE OTC,,,48.83
8094,TUSQ D COUGH LOZ. ORANGE,6LOZ,BLUE CROSS,,,49.5
30630,CLARIE D SYP 30ML,30ML,IND SWIFT LABORATORIES LTD,,,138.09
9814,MONTICOPE SUSP 30ML,30ML,MANKIND,,,43
22,PEDICLORYL SYRUP 30ML,30ML,J.B.CHEMICALS & PHARMACEUTICAL,,,120.25
25520,SINAREST SYP 75ML,75ML,CENTAUR PHARMA,,,133.75
1048,MONOCEF O 50 ORAL SUSP,30ML,ARISTO,,,99.95
29439,TOFE 5MG TAB,10TAB,ALKEM,,,429
4854,BRO-ZEDEX SF SYP,100ML,DR. REDDY LABORATORIES LTD,,,150.5
11430,PIZA- D,10TAB,UNIMARK HEALTHCARE LTD,,,79
7327,FLEXTOR SACHET,12GM,AKSIGEN HOSPITAL CARE,,,98
10163,NASIVION S NASAL DROP,10ML,PROCTER AND GAMBLE HEALTHCARE LTD,,,52.9
314031096,RABELOC IT CAP,10TAB,CADILA HEALTHCARE LTD,,,270
16294,LEXINIS SUSP,170ML,AVTIX HEALTHCARE,,,124.4
325130964,ZAPIZ 1MG 15TAB,15TAB,INTAS PHARMACEUTICALS,,,71.4
2818,H-VIT TAB,10TAB,SYSTOPIC,,,55
14755,T-MINIC ORAL DROP,15ML,GALAXO SMITH KLINE OTC,,,93.17
16314,VEZTIX SYP,200ML,AVTIX HEALTHCARE,,,96.1
350531120,GEMSOLINE D3 NANO SHOT  5ML,5ML,MEDLEY PHARMACEUTICALS LTD,,,67.5
339230253,MAJIK GOLD,15TAB,IND SWIFT LABORATORIES LTD,,,163.35
23386,AMOXIRIS CV 625,10TAB,OCURIS PHARMA,,,210
1111,NISE TAB,15TAB,DR. REDDY LABORATORIES LTD,,,108
3454,OMEZ INSTA SACHET,5.9G,DR. REDDY LABORATORIES LTD,,,13.09
29930,VIGANEXT POWDER,1S,MSN LABORATORIES,,,60
28722,BILMEGH M TAB,10TAB,Meghmani Lifesciences,,,180
7244,ANABOOM HAIR SERUM,60ML,RANBAXY,,,1310
2936,Z&D DS 20 SUSP.,20ML,J.B.CHEMICALS & PHARMACEUTICAL,,,106.75
14993,KETOMAC SHAMPOO,110ML,TORQUE PHARMACEUTICALS,,,234
15117,REXCOF DX NF SYP,100ML,CIPLA GENRIC,,,116.55
14422,AZAX 500 TAB,3TAB,RANABXY GENRIC,,,79.3
7645,SILODAL 8 CAP,10CAP,RANBAXY,,,299
4860,NURODAY TAB,10TAB,DR. REDDY LABORATORIES LTD,,,235
6138,PMT LOTION,30ML,SALVE PHARMA,,,32
10176,PRIMOLUT N TAB,10TAB,CADILA HEALTHCARE LTD,,,63.46
331331121,ALKACIP SYP 100ML,100ML,CIPLA GENRIC,,,77
24473,CISSQ TAB  10S,10TAB,AKSIGEN HOSPITAL CARE,,,152
29523,ANTI-FLU SYP,75ML,CIPLA LTD,,,764.98
16945,TUFPRO NUTRA 5ML,5ML,RANBAXY,,,46
27998,BETASEPTIC ANTISEPTIC HANDGEL 60ML,60ML,WIN MEDICARE OTC,,,30
9010,O2M SUSP,60ML,MEDLEY PHARMACEUTICALS LTD,,,68.75
579,AMBRODIL SYP 100ML,100ML,ARISTO,,,76
6850,TAXIM O DRY SYP 30ML,30ML,ALKEM,,,53.84
339931010,AQUARAY FORTE EYE DROP,10ML,RAYMED PHARMACEUTICALS LTD,,,200
16302,PANTOTIX DSR CAP,10CAP,AVTIX HEALTHCARE,,,118.8
3820,DOLO 250 SUSP,60ML,MICRO,,,44.35
8472,GLUCORYL MV 2 TAB,15TAB,ALKEM,,,370
8201,QUADRIDERM RF CREAM 5GM,5GM,MSD,,,74
24208,CALPEP SACHET SF,10.2GM,ADONIS PHYTOCEUTICALS PVT. LTD,,,85
14920,COF-RYL COUGH SYP 100ML,100ML,CIPLA GENRIC,,,82.5
15747,EMESET 4ML INQ,4ML,CIPLA LTD,,,29.06
22569,FACE MASK ACRUX 3 PLY MELT BLO,1TAB,AC SURGICALS LTD,,,10
16665,INSTANT HAND SANITIZER 200ML,200ML,DAILYMATE,,,100
16666,INSTANT HAND SANITIZER 60ML,60ML,DAILYMATE,,,30
29645,MURINE-300 CAP,10TAB,AKCENT HEALTHCARE,,,1550
314031097,RABELOC 40 TAB,10TAB,CADILA HEALTHCARE LTD,,,253
5218,KOFLET H LOZENGES (GINGER),6TAB,HIMALAYA DRUG CO.,,,36
14409,UNOBIOTICS JUNIOR SACHET,1G,CIPLA LTD,,,49
30306,ARORAB DSR TAB,15TAB,AAREEN HEALTHCARE PVT LTD,,,163.5
24790,TERABIKLIN-250,7 TAB,Voiceover Pharmaceuticals,,,185
7851,ULGEL SUSP.,200ML,ALEMBIC PHARMACEUTICALS LTD,,,131.6
8815,AMLOPRESS 2.5 TAB,15TAB,CIPLA LTD,,,26.71
2687,NEBI 2.5 TAB,10TAB,GENETICA,,,67.85
7846,O2 SUSP,60ML,MEDLEY PHARMACEUTICALS LTD,,,62.6
400,PARKIN TAB,10TAB,MICRO,,,13.66
16281,CORNXIM O TAB,10TAB,AVTIX HEALTHCARE,,,138.23
6047,GEMNEURON CAP,10CAP,DEPRI PHARMA,,,160
9928,NUROKIND GOLD RF CAP,10CAP,MANKIND,,,99.9
331130896,ATORVA 5MG TAB 15,15TAB,ZYDUS CADILA HEALTHCARE LTD,,,128.75
13836,AUGPEN LB 1G BID TAB,10TAB,ZUVENTUS,,,536.4
10786,RABLET D CAP,15CAP,LUPIN LTD,,,274.5
30176,POLYBION CZS ACTIVE DEFENSE TAB,30TAB,PROCTER AND GAMBLE HEALTHCARE LTD,,,184.4
16305,RABTIX 20MG,10TAB,AVTIX HEALTHCARE,,,98.2
16280,CORNXIM 50MG DRY SYP,30ML,AVTIX HEALTHCARE,,,45.7
16296,LYCOTEL GOLD CAP,10CAP,AVTIX HEALTHCARE,,,324.12
