item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine,quantity_x,quantity_y,quantity_flag,strength_flag,strength_x,strength_y
10113,mox kidtab 250mg 15s,,others,mox,mox kidtab 250 15s,0.0,mox,mox,mox,mox,244659.0,mox 250mg capsule 15s,capsule,mox,mox 250 15s,mox 250mg capsule 15s ,0.75,0.75,0.0,mox kidtab 250mg 15s ,0.0,mg ,mg ,15s,RANBAXY,,,133.0,1.0,,,1,0.8660254037844387,,,,,,
10169,grd powder chocolate 200gm,,others,grd,grd powder chocolate 200,0.0,grd,grd,grd,grd,205394.0,grd powder 200gm chocolate,others,grd,grd powder 200 chocolate,grd powder 200gm chocolate ,1.0,1.0,0.0,grd powder chocolate 200gm ,0.0,gm ,gm ,200gm,ZYDUS CADILA HEALTHCARE LTD,,,365.0,0.0,,,1,1.0,,,,,,
11440,piza-20mg 10s,,others,piza,piza 20 10s,0.0,piza,piza,piza,piza,277060.0,piza 20mg tablet 10s,tablet,piza,piza 20 10s,piza 20mg tablet 10s ,0.8660254037844387,0.8660254037844387,0.0,piza 20mg 10s ,0.0,mg ,mg ,10s,UNIMARK HEALTHCARE LTD,,,44.0,1.0,,,1,1.0000000000000002,,,,,,
11874,caladryl lot.60ml,,others,caladryl,caladryl lot.60,0.0,caladryl,caladryl,caladryl,caladryl,143595.0,caladryl lotion 60ml,others,caladryl,caladryl lotion 60,caladryl lotion 60ml ,0.6666666666666667,0.6666666666666667,0.0,caladryl lot.60ml ,0.0,ml ,ml ,60ml,PIRAMAL,,,61.19,0.0,,,1,0.6666666666666667,,,,,,
12506,iodex 16gm,,others,iodex,iodex 16,0.0,iodex,iodex,iodex,iodex,215757.0,iodex multi purpose pain balm 16gm,others,iodex,iodex multi purpose pain balm 16,iodex multi purpose pain balm 16gm ,0.5773502691896258,0.5773502691896258,0.0,iodex 16gm ,0.0,gm ,gm ,16gm,GALAXO SMITH KLINE OTC,,,84.0,0.0,,,1,0.5773502691896258,,,,,,
12508,iodex 8gm,,others,iodex,iodex 8,0.0,iodex,iodex,iodex,iodex,215760.0,iodex multi purpose pain balm 8gm,others,iodex,iodex multi purpose pain balm 8,iodex multi purpose pain balm 8gm ,0.5773502691896258,0.5773502691896258,0.0,iodex 8gm ,0.0,gm ,gm ,8gm,GALAXO SMITH KLINE OTC,,,42.0,0.0,,,1,0.5773502691896258,,,,,,
12921,moov 15gm,,others,moov,moov 15,0.0,moov,moov,moov,moov,243978.0,moov cream 15gm,others,moov,moov cream 15,moov cream 15gm ,0.8164965809277259,0.8164965809277259,0.0,moov 15gm ,0.0,gm ,gm ,15gm,RECKIT BENCKISER INDIA PVT LTD,,,75.0,0.0,,,1,0.8164965809277259,,,,,,
12965,vicks 25ml,,others,vicks,vicks 25,0.0,vicks,vicks,vicks,vicks,362475.0,vicks vaporub 25gm,others,vicks,vicks vaporub 25,vicks vaporub 25gm ,0.8164965809277259,0.8164965809277259,0.0,vicks 25ml ,1.0,ml ,gm ,25ml,PROCTER AND GAMBLE,,,75.0,0.0,,,1,0.8164965809277259,,,,,,
13132,trinerve softgel 10s,,others,trinerve,trinerve softgel 10s,0.0,trinerve,trinerve,trinerve,trinerve,362180.0,trinerve capsule 10s,capsule,trinerve,trinerve 10s,trinerve capsule 10s ,0.6666666666666667,0.6666666666666667,0.0,trinerve softgel 10s ,2.0,,,10s,ALKEM,,,155.0,1.0,,,1,0.8164965809277259,,,,,,
13331,digene gel mint 450ml,,others,digene,digene gel mint 450,0.0,digene,digene,digene,digene,166643.0,digene gel 450ml mint,others,digene,digene gel 450 mint,digene gel 450ml mint ,1.0,1.0,0.0,digene gel mint 450ml ,0.0,ml ,ml ,450ml,ABBOTT INDIA LIMITED,,,218.05,0.0,,,1,1.0,,,,,,
15300,tugain gel 5% 60ml,,others,tugain,tugain gel 5% 60,0.0,tugain,tugain,tugain,tugain,331356.0,tugain 5 gel 60gm,others,tugain,tugain 5 gel 60,tugain 5 gel 60gm ,1.0,1.0,0.0,tugain gel 5% 60ml ,1.0,ml ,gm ,60ml,CIPLA LTD,,,850.47,0.0,,,1,1.0,,,,,,
15350,axbex syp 100ml,,syrup,axbex,axbex syrup 100,1.0,axbex,axbex,axbex,axbex,119283.0,axbex ns syrup 100ml,syrup,axbex,axbex ns syrup 100,axbex ns syrup 100ml ,0.8660254037844387,0.8660254037844387,0.0,axbex syrup 100ml ,0.0,ml ,ml ,100ml,OZONE,,,85.18,0.0,,,1,0.8660254037844387,,,,,,
15356,nupatch 200mg 1patch,,others,nupatch,nupatch 200 1patch,0.0,nupatch,nupatch,nupatch,nupatch,377110.0,nupatch 200mg patch 1s,others,nupatch,nupatch 200 patch 1s,nupatch 200mg patch 1s ,0.5773502691896258,0.5773502691896258,0.0,nupatch 200mg 1patch ,0.0,mg ,mg ,1patch,ZYDUS CADILA HEALTHCARE LTD,,,142.15,0.0,,,1,0.5773502691896258,,,,,,
16165,paracip syp 30ml,,syrup,paracip,paracip syrup 30,1.0,paracip,paracip,paracip,paracip,271691.0,paracip syrup 60ml,syrup,paracip,paracip syrup 60,paracip syrup 60ml ,0.6666666666666667,0.6666666666666667,0.0,paracip syrup 30ml ,0.0,ml ,ml ,30ml,CIPLA GENRIC,,,22.38,0.0,,,1,0.6666666666666667,,,,,,
16263,enerzal powder lime 100gm,,others,enerzal,enerzal powder lime 100,0.0,enerzal,enerzal,enerzal,enerzal,363888.0,enerzal powder 100gm lime,others,enerzal,enerzal powder 100 lime,enerzal powder 100gm lime ,1.0,1.0,0.0,enerzal powder lime 100gm ,0.0,gm ,gm ,100gm,FDC LTD.,,,55.0,0.0,,,1,1.0,,,,,,
16763,basalog 100iu/ml refill cartridge 5ml,,others,basalog,basalog 100 refill cartridge 5,0.0,basalog,basalog,basalog,basalog,123633.0,basalog 100iu/ml injection 5ml,injection,basalog,basalog 100 injection 5,basalog 100iu/ml injection 5ml ,0.6708203932499369,0.6708203932499369,0.0,basalog 100ml refill cartridge 5ml ,1.0,ml ,iu/ml ,5ml,BIOCON,,,783.14,1.0,,,1,0.6708203932499369,,,,,,
16830,anbid-250 mg 10s,,others,anbid,anbid 250 10s,0.0,anbid,anbid,anbid,anbid,112695.0,anbid 250 tablet 10s,tablet,anbid,anbid 250 10s,anbid 250 tablet 10s ,0.8660254037844387,0.8660254037844387,0.0,anbid 250mg 10s ,2.0,mg ,,10s,AN PHARMACEUTICALS,,,385.0,1.0,,,1,1.0000000000000002,,,,,,
16885,calodin 10ml eye drop,,others,calodin,calodin 10 eye drops,0.0,calodin,calodin,calodin,calodin,144353.0,calodin eye drop 10ml,others,calodin,calodin eye drops 10,calodin eye drops 10ml ,1.0,1.0,0.0,calodin 10ml eye drops ,0.0,ml ,ml ,10ml,SYNTHO,,,77.0,0.0,,,1,1.0,,,,,,
16935,mirbeg-50 mg 1s,,others,mirbeg,mirbeg 50 1s,0.0,mirbeg,mirbeg,mirbeg,mirbeg,242119.0,mirbeg 50 tablet er 10s,tablet,mirbeg,mirbeg 50 10s,mirbeg 50 tablet 10s ,0.5773502691896258,0.5773502691896258,0.0,mirbeg 50mg 1s ,2.0,mg ,,1s,IPCA LABORATORIES LTD,,,335.0,1.0,,,1,0.6666666666666667,,,,,,
16996,melaglow cream 30gm,,others,melaglow,melaglow cream 30,0.0,melaglow,melaglow,melaglow,melaglow,237963.0,melaglow new cream 30gm,others,melaglow,melaglow new cream 30,melaglow new cream 30gm ,0.8660254037844387,0.8660254037844387,0.0,melaglow cream 30gm ,0.0,gm ,gm ,30gm,ABBOTT HEALTH CARE,,,685.0,0.0,,,1,0.8660254037844387,,,,,,
17087,aquaviron inj 1ml-6amp 1s,,injection,aquaviron,aquaviron injection 1 6amp 1s,0.0,aquaviron,aquaviron,aquaviron,aquaviron,114441.0,aquaviron 25mg injection 1ml 1,injection,aquaviron,aquaviron 25 injection 1,aquaviron 25mg injection 1ml 1 ,0.6708203932499369,0.6708203932499369,0.0,aquaviron injection 1ml 6amp 1s ,0.0,ml ,ml ,1s,ABBOTT HEALTH CARE,,,176.81,0.0,,,1,0.6708203932499369,,,,,,
17501,mucaine gel mint 350ml,,others,mucaine,mucaine gel mint 350,0.0,mucaine,mucaine,mucaine,mucaine,245641.0,mucaine gel 350ml mint,others,mucaine,mucaine gel 350 mint,mucaine gel 350ml mint ,1.0,1.0,0.0,mucaine gel mint 350ml ,0.0,ml ,ml ,350ml,PFIZER,,,251.16,0.0,,,1,1.0,,,,,,
17719,himalaya soap refresh 75gm,,others,himalaya,himalaya soap refresh 75,0.0,himalaya,himalaya,himalaya,himalaya,364393.0,himalaya aactaril soap 75gm,others,himalaya,himalaya aactaril soap 75,himalaya aactaril soap 75gm ,0.75,0.75,0.0,himalaya soap refresh 75gm ,0.0,gm ,gm ,75gm,HIMALAYA COSMETIC,,,55.0,0.0,,,1,0.75,,,,,,
17856,hairshield 30ml (cp-comb+b4g2),,others,hairshield,hairshield 30 cp comb+b4g2,0.0,hairshield,hairshield,hairshield,hairshield,361893.0,hairshield anti lice cream wash 30ml,others,hairshield,hairshield anti lice cream wash 30,hairshield anti lice cream wash 30ml ,0.3651483716701107,0.3651483716701107,0.0,hairshield 30ml cp comb+b4g2 ,0.0,ml ,ml ,30ml,WINGS,,,49.0,0.0,,,1,0.3651483716701107,,,,,,
1913,meganeuron inj 500mcg 1ml,,injection,meganeuron,meganeuron injection 500 1,0.0,meganeuron,meganeuron,meganeuron,meganeuron,237675.0,meganeuron 500mcg injection 1ml,injection,meganeuron,meganeuron 500 injection 1,meganeuron 500mcg injection 1ml ,1.0,1.0,0.0,meganeuron injection 500mcg 1ml ,0.0,ml ,ml ,1ml,GENETICA,,,38.3,0.0,,,1,1.0,,,,,,
