item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
10112,mox kidtab 125mg 15s,,others,mox,mox kidtab 125 15s,0,mox,mox,mox,mox,244675.0,mox kid 125mg tablet dt 15s,tablet,mox,mox paediatric 125 15s,mox paediatric 125mg tablet 15s ,0.6708203932499369,0.6708203932499369,0,mox kidtab 125mg 15s ,0.0,mg ,mg ,15s,RANBAXY,,,91.0,1,,,2,0.75
10112,mox kidtab 125mg 15s,,others,mox,mox kidtab 125 15s,0,mox,mox,mox,mox,244682.0,mox p kid 125mg tablet 15s,tablet,mox,mox p paediatric 125 15s,mox p paediatric 125mg tablet 15s ,0.6123724356957946,0.6708203932499369,0,mox kidtab 125mg 15s ,0.0,mg ,mg ,15s,RANBAXY,,,91.0,1,,,2,0.6708203932499369
10113,mox kidtab 250mg 15s,,others,mox,mox kidtab 250 15s,0,mox,mox,mox,mox,244659.0,mox 250mg capsule 15s,capsule,mox,mox 250 15s,mox 250mg capsule 15s ,0.75,0.75,0,mox kidtab 250mg 15s ,0.0,mg ,mg ,15s,RANBAXY,,,133.0,1,,,1,0.8660254037844387
10169,grd powder chocolate 200gm,,others,grd,grd powder chocolate 200,0,grd,grd,grd,grd,205394.0,grd powder 200gm chocolate,others,grd,grd powder 200 chocolate,grd powder 200gm chocolate ,1.0,1.0,0,grd powder chocolate 200gm ,0.0,gm ,gm ,200gm,ZYDUS CADILA HEALTHCARE LTD,,,365.0,0,,,1,1.0
10179,polybion inj. 2ml,,injection,polybion,polybion injection 2,0,polybion,polybion,polybion,polybion,277976.0,polybion injection 2ml 5,injection,polybion,polybion injection 2 5,polybion injection 2ml 5 ,0.8660254037844387,0.8660254037844387,0,polybion injection 2ml ,0.0,ml ,ml ,2ml,PROCTER AND GAMBLE HEALTHCARE LTD,,,7.3,0,,,2,0.8660254037844387
10179,polybion inj. 2ml,,injection,polybion,polybion injection 2,0,polybion,polybion,polybion,polybion,381449.0,polybion a injection 2ml,injection,polybion,polybion a injection 2,polybion a injection 2ml ,0.8660254037844387,0.8660254037844387,0,polybion injection 2ml ,0.0,ml ,ml ,2ml,PROCTER AND GAMBLE HEALTHCARE LTD,,,7.3,0,,,2,0.8660254037844387
10461,tixylix syp 60ml,,syrup,tixylix,tixylix syrup 60,1,tixylix,tixylix,tixylix,tixylix,326918.0,tixylix alert syrup 60ml,syrup,tixylix,tixylix alert syrup 60,tixylix alert syrup 60ml ,0.8660254037844387,0.8660254037844387,0,tixylix syrup 60ml ,0.0,ml ,ml ,60ml,ABBOTT HEALTH CARE,,,102.3,0,,,2,0.8660254037844387
10461,tixylix syp 60ml,,syrup,tixylix,tixylix syrup 60,1,tixylix,tixylix,tixylix,tixylix,381705.0,tixylix p syrup 60ml,syrup,tixylix,tixylix p syrup 60,tixylix p syrup 60ml ,0.8660254037844387,0.8660254037844387,0,tixylix syrup 60ml ,0.0,ml ,ml ,60ml,ABBOTT HEALTH CARE,,,102.3,0,,,2,0.8660254037844387
11440,piza-20mg 10s,,others,piza,piza 20 10s,0,piza,piza,piza,piza,277060.0,piza 20mg tablet 10s,tablet,piza,piza 20 10s,piza 20mg tablet 10s ,0.8660254037844387,0.8660254037844387,0,piza 20mg 10s ,0.0,mg ,mg ,10s,UNIMARK HEALTHCARE LTD,,,44.0,1,,,1,1.0000000000000002
11874,caladryl lot.60ml,,others,caladryl,caladryl lot.60,0,caladryl,caladryl,caladryl,caladryl,143595.0,caladryl lotion 60ml,others,caladryl,caladryl lotion 60,caladryl lotion 60ml ,0.6666666666666667,0.6666666666666667,0,caladryl lot.60ml ,0.0,ml ,ml ,60ml,PIRAMAL,,,61.19,0,,,1,0.6666666666666667
12506,iodex 16gm,,others,iodex,iodex 16,0,iodex,iodex,iodex,iodex,215757.0,iodex multi purpose pain balm 16gm,others,iodex,iodex multi purpose pain balm 16,iodex multi purpose pain balm 16gm ,0.5773502691896258,0.5773502691896258,0,iodex 16gm ,0.0,gm ,gm ,16gm,GALAXO SMITH KLINE OTC,,,84.0,0,,,1,0.5773502691896258
12508,iodex 8gm,,others,iodex,iodex 8,0,iodex,iodex,iodex,iodex,215760.0,iodex multi purpose pain balm 8gm,others,iodex,iodex multi purpose pain balm 8,iodex multi purpose pain balm 8gm ,0.5773502691896258,0.5773502691896258,0,iodex 8gm ,0.0,gm ,gm ,8gm,GALAXO SMITH KLINE OTC,,,42.0,0,,,1,0.5773502691896258
12921,moov 15gm,,others,moov,moov 15,0,moov,moov,moov,moov,243978.0,moov cream 15gm,others,moov,moov cream 15,moov cream 15gm ,0.8164965809277259,0.8164965809277259,0,moov 15gm ,0.0,gm ,gm ,15gm,RECKIT BENCKISER INDIA PVT LTD,,,75.0,0,,,1,0.8164965809277259
12965,vicks 25ml,,others,vicks,vicks 25,0,vicks,vicks,vicks,vicks,362475.0,vicks vaporub 25gm,others,vicks,vicks vaporub 25,vicks vaporub 25gm ,0.8164965809277259,0.8164965809277259,0,vicks 25ml ,1.0,ml ,gm ,25ml,PROCTER AND GAMBLE,,,75.0,0,,,1,0.8164965809277259
13132,trinerve softgel 10s,,others,trinerve,trinerve softgel 10s,0,trinerve,trinerve,trinerve,trinerve,362180.0,trinerve capsule 10s,capsule,trinerve,trinerve 10s,trinerve capsule 10s ,0.6666666666666667,0.6666666666666667,0,trinerve softgel 10s ,2.0,,,10s,ALKEM,,,155.0,1,,,1,0.8164965809277259
13331,digene gel mint 450ml,,others,digene,digene gel mint 450,0,digene,digene,digene,digene,166643.0,digene gel 450ml mint,others,digene,digene gel 450 mint,digene gel 450ml mint ,1.0,1.0,0,digene gel mint 450ml ,0.0,ml ,ml ,450ml,ABBOTT INDIA LIMITED,,,218.05,0,,,1,1.0
15121,novorapid penfill 100iu/ml cartidge 5*3ml,,others,novorapid,novorapid penfill 100 cartidge 5 3,0,novorapid,novorapid,novorapid,novorapid,256680.0,novorapid 100iu/ml penfill 3ml,others,novorapid,novorapid 100 penfill 3,novorapid 100iu/ml penfill 3ml ,0.8164965809277261,0.8164965809277261,0,novorapid penfill 100ml cartidge 5 3ml ,1.0,ml ,iu/ml ,5*3ml,E-LILLY,,,4259.2,0,,,2,0.8164965809277261
15121,novorapid penfill 100iu/ml cartidge 5*3ml,,others,novorapid,novorapid penfill 100 cartidge 5 3,0,novorapid,novorapid,novorapid,novorapid,256681.0,novorapid 100iu/ml penfill 5,others,novorapid,novorapid 100 penfill 5,novorapid 100iu/ml penfill 5 ,0.8164965809277261,0.8164965809277261,0,novorapid penfill 100ml cartidge 5 3ml ,1.0,ml ,iu/ml ,5*3ml,E-LILLY,,,4259.2,0,,,2,0.8164965809277261
15300,tugain gel 5% 60ml,,others,tugain,tugain gel 5% 60,0,tugain,tugain,tugain,tugain,331356.0,tugain 5 gel 60gm,others,tugain,tugain 5 gel 60,tugain 5 gel 60gm ,1.0,1.0,0,tugain gel 5% 60ml ,1.0,ml ,gm ,60ml,CIPLA LTD,,,850.47,0,,,1,1.0
