item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
10197,nupenta tab 15s,,tablet,nupenta,nupenta 15s,1.0,nupenta,nupenta,nupenta,380378.0,nupenta 40mg tablet 15s,tablet,nupenta,nupenta 40 15s,nupenta 40mg tablet 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,nupenta tablet 15s,2.0,,mg ,2.0,,40,0,15s,MACLEODS,,,82.5,1,0.8164965809277259
10236,gudril tab 30c,,tablet,gudril,gudril 30c,1.0,gudril,gudril,gudril,205849.0,gudril tablet 10s,tablet,gudril,gudril 10s,gudril tablet 10s,0.4999999999999999,0.4999999999999999,,10,1.0,gudril tablet 30c,2.0,,,2.0,,,0,30c,INTAS PHARMACEUTICALS,,,114.0,1,0.4999999999999999
105,sizon tab 10s,,tablet,sizon,sizon 10s,1.0,sizon,sizon,sizon,313218.0,sizon 10 tablet 10s,tablet,sizon,sizon 10 10s,sizon 10 tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,sizon tablet 10s,2.0,,,2.0,,,0,10s,SYSTOPIC,,,18.0,4,0.8164965809277259
105,sizon tab 10s,,tablet,sizon,sizon 10s,1.0,sizon,sizon,sizon,313219.0,sizon 20mg tablet 10s,tablet,sizon,sizon 20 10s,sizon 20mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,sizon tablet 10s,2.0,,mg ,2.0,,20,0,10s,SYSTOPIC,,,18.0,4,0.8164965809277259
105,sizon tab 10s,,tablet,sizon,sizon 10s,1.0,sizon,sizon,sizon,313220.0,sizon 5 tablet 10s,tablet,sizon,sizon 5 10s,sizon 5 tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,sizon tablet 10s,2.0,,,2.0,,,0,10s,SYSTOPIC,,,18.0,4,0.8164965809277259
105,sizon tab 10s,,tablet,sizon,sizon 10s,1.0,sizon,sizon,sizon,313221.0,sizon forte tablet 10s,tablet,sizon,sizon forte 10s,sizon forte tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,sizon tablet 10s,2.0,,,2.0,,,0,10s,SYSTOPIC,,,18.0,4,0.8164965809277259
10851,letpro tab 10s,,tablet,letpro,letpro 10s,1.0,letpro,letpro,letpro,226525.0,letpro 2.5mg tablet 5s,tablet,letpro,letpro 2.5 5s,letpro 2.5mg tablet 5s,0.35355339059327373,0.35355339059327373,10,5,1.0,letpro tablet 10s,2.0,,mg ,2.0,,2.5,0,10s,ARISTO,,,146.44,1,0.35355339059327373
10929,nimulid md tab 100mg 10s,,tablet,nimulid,nimulid 100 10s,1.0,nimulid,nimulid,nimulid,254178.0,nimulid mr 100mg/2mg tablet 10s,tablet,nimulid,nimulid 100/2 10s,nimulid 100mg/2mg tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,nimulid tablet 100mg 10s,0.0,mg ,mg ,0.0,100,100,0,10s,MANKIND,,,98.65,2,0.8660254037844387
10929,nimulid md tab 100mg 10s,,tablet,nimulid,nimulid 100 10s,1.0,nimulid,nimulid,nimulid,254187.0,nimulid md tablet 10s,tablet,nimulid,nimulid 10s,nimulid tablet 10s,0.8164965809277259,0.8660254037844387,10,10,0.0,nimulid tablet 100mg 10s,2.0,mg ,,2.0,100,,0,10s,MANKIND,,,98.65,2,0.8164965809277259
13140,evacure  4 tab 15s,,tablet,evacure,evacure 4 15s,1.0,evacure,evacure,evacure,381731.0,evacure tablet 15s,tablet,evacure,evacure 15s,evacure tablet 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,evacure 4 tablet 15s,2.0,,,2.0,,,0,15s,ALKEM,,,235.0,1,0.8164965809277259
