item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
16861,ampilox cap 15c,,capsule,ampilox,ampilox 15c,1.0,ampilox,ampilox,ampilox,111949.0,ampilox capsule 10s,capsule,ampilox,ampilox 10s,ampilox capsule 10s,0.4999999999999999,0.4999999999999999,,10,1.0,0.0,ampilox capsule 15c,2.0,,,2.0,,,15c,CIPLA LTD,,,151.35,2,0.4999999999999999
16861,ampilox cap 15c,,capsule,ampilox,ampilox 15c,1.0,ampilox,ampilox,ampilox,366612.0,ampilox capsule 15s,capsule,ampilox,ampilox 15s,ampilox capsule 15s,0.4999999999999999,0.4999999999999999,,15,1.0,0.0,ampilox capsule 15c,2.0,,,2.0,,,15c,CIPLA LTD,,,151.35,2,0.4999999999999999
5580,reeshape cap 15c,,capsule,reeshape,reeshape 15c,1.0,reeshape,reeshape,reeshape,288209.0,reeshape capsule 10s,capsule,reeshape,reeshape 10s,reeshape capsule 10s,0.4999999999999999,0.4999999999999999,ree,10,1.0,0.0,reeshape capsule 15c,2.0,,,2.0,,,15c,MEYER,,,935.0,2,0.4999999999999999
5580,reeshape cap 15c,,capsule,reeshape,reeshape 15c,1.0,reeshape,reeshape,reeshape,288210.0,reeshape capsule 15s,capsule,reeshape,reeshape 15s,reeshape capsule 15s,0.4999999999999999,0.4999999999999999,ree,15,1.0,0.0,reeshape capsule 15c,2.0,,,2.0,,,15c,MEYER,,,935.0,2,0.4999999999999999
5750,wellwoman cap 30c,,capsule,wellwoman,wellwoman 30c,1.0,wellwoman,wellwoman,wellwoman,342255.0,wellwoman capsule 30s,capsule,wellwoman,wellwoman 30s,wellwoman capsule 30s,0.4999999999999999,0.4999999999999999,,30,1.0,0.0,wellwoman capsule 30c,2.0,,,2.0,,,30c,MEYER,,,684.0,2,0.4999999999999999
5750,wellwoman cap 30c,,capsule,wellwoman,wellwoman 30c,1.0,wellwoman,wellwoman,wellwoman,342256.0,wellwoman capsule 15s,capsule,wellwoman,wellwoman 15s,wellwoman capsule 15s,0.4999999999999999,0.4999999999999999,,15,1.0,0.0,wellwoman capsule 30c,2.0,,,2.0,,,30c,MEYER,,,684.0,2,0.4999999999999999
7341,rabitrol cap 10c,,capsule,rabitrol,rabitrol 10c,1.0,rabitrol,rabitrol,rabitrol,285398.0,rabitrol 20mg capsule 10s,capsule,rabitrol,rabitrol 20 10s,rabitrol 20mg capsule 10s,0.40824829046386296,0.40824829046386296,,10,1.0,0.0,rabitrol capsule 10c,2.0,,mg,2.0,,20,10c,ASARVA LIFESCIENCES,,,79.0,2,0.40824829046386296
7341,rabitrol cap 10c,,capsule,rabitrol,rabitrol 10c,1.0,rabitrol,rabitrol,rabitrol,285399.0,rabitrol d capsule 10s,capsule,rabitrol,rabitrol d 10s,rabitrol d capsule 10s,0.40824829046386296,0.40824829046386296,,10,1.0,0.0,rabitrol capsule 10c,2.0,,,2.0,,,10c,ASARVA LIFESCIENCES,,,79.0,2,0.40824829046386296
9571,cartigen 500 cap 30c,,capsule,cartigen,cartigen 500 30c,1.0,cartigen,cartigen,cartigen,146012.0,cartigen 500mg capsule 30s,capsule,cartigen,cartigen 500 30s,cartigen 500mg capsule 30s,0.6666666666666667,0.6666666666666667,,30,1.0,0.0,cartigen 500 capsule 30c,2.0,,mg,2.0,,500,30c,PHARMED,,,520.0,2,0.6666666666666667
9571,cartigen 500 cap 30c,,capsule,cartigen,cartigen 500 30c,1.0,cartigen,cartigen,cartigen,382242.0,cartigen 500mg capsule 15s,capsule,cartigen,cartigen 500 15s,cartigen 500mg capsule 15s,0.6666666666666667,0.6666666666666667,,15,1.0,0.0,cartigen 500 capsule 30c,2.0,,mg,2.0,,500,30c,PHARMED,,,520.0,2,0.6666666666666667
10786,rablet d cap 15c,,capsule,rablet d,rablet d 15c,1.0,rablet,rablet,rablet,285463.0,rablet d capsule sr 10s,capsule,rablet,rablet d 10s,rablet d capsule 10s,0.6666666666666667,0.6666666666666667,,10,1.0,0.0,rablet d capsule 15c,2.0,,,2.0,,,15c,LUPIN LTD,,,274.5,3,0.6666666666666667
