item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
10112,mox kidtab 125mg 15s,,others,mox,mox kidtab 125 15s,0,mox,mox,mox,mox,244675.0,mox kid 125mg tablet dt 15s,tablet,mox,mox paediatric 125 15s,mox paediatric 125mg tablet 15s ,0.6708203932499369,0.6708203932499369,0,mox kidtab 125mg 15s ,0.0,mg ,mg ,15s,RANBAXY,,,91.0,1,,,2,0.75
10112,mox kidtab 125mg 15s,,others,mox,mox kidtab 125 15s,0,mox,mox,mox,mox,244682.0,mox p kid 125mg tablet 15s,tablet,mox,mox p paediatric 125 15s,mox p paediatric 125mg tablet 15s ,0.6123724356957946,0.6708203932499369,0,mox kidtab 125mg 15s ,0.0,mg ,mg ,15s,RANBAXY,,,91.0,1,,,2,0.6708203932499369
10179,polybion inj. 2ml,,injection,polybion,polybion injection 2,0,polybion,polybion,polybion,polybion,277976.0,polybion injection 2ml 5,injection,polybion,polybion injection 2 5,polybion injection 2ml 5 ,0.8660254037844387,0.8660254037844387,0,polybion injection 2ml ,0.0,ml ,ml ,2ml,PROCTER AND GAMBLE HEALTHCARE LTD,,,7.3,0,,,2,0.8660254037844387
10179,polybion inj. 2ml,,injection,polybion,polybion injection 2,0,polybion,polybion,polybion,polybion,381449.0,polybion a injection 2ml,injection,polybion,polybion a injection 2,polybion a injection 2ml ,0.8660254037844387,0.8660254037844387,0,polybion injection 2ml ,0.0,ml ,ml ,2ml,PROCTER AND GAMBLE HEALTHCARE LTD,,,7.3,0,,,2,0.8660254037844387
10461,tixylix syp 60ml,,syrup,tixylix,tixylix syrup 60,1,tixylix,tixylix,tixylix,tixylix,326918.0,tixylix alert syrup 60ml,syrup,tixylix,tixylix alert syrup 60,tixylix alert syrup 60ml ,0.8660254037844387,0.8660254037844387,0,tixylix syrup 60ml ,0.0,ml ,ml ,60ml,ABBOTT HEALTH CARE,,,102.3,0,,,2,0.8660254037844387
10461,tixylix syp 60ml,,syrup,tixylix,tixylix syrup 60,1,tixylix,tixylix,tixylix,tixylix,381705.0,tixylix p syrup 60ml,syrup,tixylix,tixylix p syrup 60,tixylix p syrup 60ml ,0.8660254037844387,0.8660254037844387,0,tixylix syrup 60ml ,0.0,ml ,ml ,60ml,ABBOTT HEALTH CARE,,,102.3,0,,,2,0.8660254037844387
15121,novorapid penfill 100iu/ml cartidge 5*3ml,,others,novorapid,novorapid penfill 100 cartidge 5 3,0,novorapid,novorapid,novorapid,novorapid,256680.0,novorapid 100iu/ml penfill 3ml,others,novorapid,novorapid 100 penfill 3,novorapid 100iu/ml penfill 3ml ,0.8164965809277261,0.8164965809277261,0,novorapid penfill 100ml cartidge 5 3ml ,1.0,ml ,iu/ml ,5*3ml,E-LILLY,,,4259.2,0,,,2,0.8164965809277261
15121,novorapid penfill 100iu/ml cartidge 5*3ml,,others,novorapid,novorapid penfill 100 cartidge 5 3,0,novorapid,novorapid,novorapid,novorapid,256681.0,novorapid 100iu/ml penfill 5,others,novorapid,novorapid 100 penfill 5,novorapid 100iu/ml penfill 5 ,0.8164965809277261,0.8164965809277261,0,novorapid penfill 100ml cartidge 5 3ml ,1.0,ml ,iu/ml ,5*3ml,E-LILLY,,,4259.2,0,,,2,0.8164965809277261
15422,ryzodeg 100iu/ml flextouch 3ml penfill,,others,ryzodeg,ryzodeg 100 flextouch 3 penfill,0,ryzodeg,ryzodeg,ryzodeg,ryzodeg,295224.0,ryzodeg 100iu/ml penfill 3ml,others,ryzodeg,ryzodeg 100 penfill 3,ryzodeg 100iu/ml penfill 3ml ,0.8944271909999159,0.8944271909999159,0,ryzodeg 100ml flextouch 3ml penfill ,1.0,ml ,iu/ml ,3ml penfill,NOVO NORDISK INDIA PVT LTD,,,1450.0,0,,,2,0.8944271909999159
15422,ryzodeg 100iu/ml flextouch 3ml penfill,,others,ryzodeg,ryzodeg 100 flextouch 3 penfill,0,ryzodeg,ryzodeg,ryzodeg,ryzodeg,361853.0,ryzodeg 100iu/ml flextouch 3ml,others,ryzodeg,ryzodeg 100 flextouch 3,ryzodeg 100iu/ml flextouch 3ml ,0.8944271909999159,0.8944271909999159,0,ryzodeg 100ml flextouch 3ml penfill ,1.0,ml ,iu/ml ,3ml penfill,NOVO NORDISK INDIA PVT LTD,,,1450.0,0,,,2,0.8944271909999159
15425,atorva  80mg 10s,,others,atorva,atorva 80 10s,0,atorva,atorva,atorva,atorva,117974.0,atorva 80 md tablet 10s,tablet,atorva,atorva 80 10s,atorva 80 tablet 10s ,0.8660254037844387,0.8660254037844387,0,atorva 80mg 10s ,2.0,mg ,,10s,ZYDUS CADILA HEALTHCARE LTD,,,405.32,1,,,2,1.0000000000000002
15425,atorva  80mg 10s,,others,atorva,atorva 80 10s,0,atorva,atorva,atorva,atorva,117975.0,atorva 80 tablet 10s,tablet,atorva,atorva 80 10s,atorva 80 tablet 10s ,0.8660254037844387,0.8660254037844387,0,atorva 80mg 10s ,2.0,mg ,,10s,ZYDUS CADILA HEALTHCARE LTD,,,405.32,1,,,2,1.0000000000000002
15747,emeset 4ml inq,,others,emeset,emeset 4 inq,0,emeset,emeset,emeset,emeset,361832.0,emeset 4 tablet 10s,tablet,emeset,emeset 4 10s,emeset 4 tablet 10s ,0.5773502691896258,0.5773502691896258,0,emeset 4ml inq ,2.0,ml ,,4ml,CIPLA LTD,,,29.06,1,,,3,0.6666666666666667
15747,emeset 4ml inq,,others,emeset,emeset 4 inq,0,emeset,emeset,emeset,emeset,363885.0,emeset 4 mg tablet md 10s,tablet,emeset,emeset 4 10s,emeset 4 mg tablet 10s ,0.5773502691896258,0.5773502691896258,0,emeset 4ml inq ,1.0,ml ,mg ,4ml,CIPLA LTD,,,29.06,1,,,3,0.6666666666666667
15747,emeset 4ml inq,,others,emeset,emeset 4 inq,0,emeset,emeset,emeset,emeset,378630.0,emeset 8mg injection 4ml,injection,emeset,emeset 8 injection 4,emeset 8mg injection 4ml ,0.5773502691896258,0.5773502691896258,0,emeset 4ml inq ,0.0,ml ,ml ,4ml,CIPLA LTD,,,29.06,1,,,3,0.5773502691896258
16200,odomos cream vit e.23gm,,others,odomos,odomos cream vit e.23,0,odomos,odomos,odomos,odomos,260048.0,odomos naturals cream 100gm,others,odomos,odomos naturals cream 100,odomos naturals cream 100gm ,0.4472135954999579,0.4472135954999579,0,odomos cream vit e.23gm ,0.0,gm ,gm ,23gm,OTHERS,,,28.0,0,,,3,0.4472135954999579
16200,odomos cream vit e.23gm,,others,odomos,odomos cream vit e.23,0,odomos,odomos,odomos,odomos,260050.0,odomos naturals cream 50gm,others,odomos,odomos naturals cream 50,odomos naturals cream 50gm ,0.4472135954999579,0.4472135954999579,0,odomos cream vit e.23gm ,0.0,gm ,gm ,23gm,OTHERS,,,28.0,0,,,3,0.4472135954999579
16200,odomos cream vit e.23gm,,others,odomos,odomos cream vit e.23,0,odomos,odomos,odomos,odomos,260051.0,odomos naturals cream 25gm,others,odomos,odomos naturals cream 25,odomos naturals cream 25gm ,0.4472135954999579,0.4472135954999579,0,odomos cream vit e.23gm ,0.0,gm ,gm ,23gm,OTHERS,,,28.0,0,,,3,0.4472135954999579
