item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
105,sizon tab 10s,,tablet,sizon,sizon 10s,1.0,sizon,sizon,sizon,313218.0,sizon 10 tablet 10s,tablet,sizon,sizon 10 10s,sizon 10 tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,sizon tablet 10s,2.0,,,2.0,,,0,10s,SYSTOPIC,,,18.0,4,0.8164965809277259
105,sizon tab 10s,,tablet,sizon,sizon 10s,1.0,sizon,sizon,sizon,313219.0,sizon 20mg tablet 10s,tablet,sizon,sizon 20 10s,sizon 20mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,sizon tablet 10s,2.0,,mg ,2.0,,20,0,10s,SYSTOPIC,,,18.0,4,0.8164965809277259
105,sizon tab 10s,,tablet,sizon,sizon 10s,1.0,sizon,sizon,sizon,313220.0,sizon 5 tablet 10s,tablet,sizon,sizon 5 10s,sizon 5 tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,sizon tablet 10s,2.0,,,2.0,,,0,10s,SYSTOPIC,,,18.0,4,0.8164965809277259
105,sizon tab 10s,,tablet,sizon,sizon 10s,1.0,sizon,sizon,sizon,313221.0,sizon forte tablet 10s,tablet,sizon,sizon forte 10s,sizon forte tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,sizon tablet 10s,2.0,,,2.0,,,0,10s,SYSTOPIC,,,18.0,4,0.8164965809277259
10929,nimulid md tab 100mg 10s,,tablet,nimulid,nimulid 100 10s,1.0,nimulid,nimulid,nimulid,254178.0,nimulid mr 100mg/2mg tablet 10s,tablet,nimulid,nimulid 100/2 10s,nimulid 100mg/2mg tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,nimulid tablet 100mg 10s,0.0,mg ,mg ,0.0,100,100,0,10s,MANKIND,,,98.65,2,0.8660254037844387
10929,nimulid md tab 100mg 10s,,tablet,nimulid,nimulid 100 10s,1.0,nimulid,nimulid,nimulid,254187.0,nimulid md tablet 10s,tablet,nimulid,nimulid 10s,nimulid tablet 10s,0.8164965809277259,0.8660254037844387,10,10,0.0,nimulid tablet 100mg 10s,2.0,mg ,,2.0,100,,0,10s,MANKIND,,,98.65,2,0.8164965809277259
16660,omnitan tab 15s,,tablet,omnitan,omnitan 15s,1.0,omnitan,omnitan,omnitan,263673.0,omnitan 25 tablet 15s,tablet,omnitan,omnitan 25 15s,omnitan 25 tablet 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,omnitan tablet 15s,2.0,,,2.0,,,0,15s,MACLEODS,,,105.5,3,0.8164965809277259
16660,omnitan tab 15s,,tablet,omnitan,omnitan 15s,1.0,omnitan,omnitan,omnitan,263674.0,omnitan 50 tablet 15s,tablet,omnitan,omnitan 50 15s,omnitan 50 tablet 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,omnitan tablet 15s,2.0,,,2.0,,,0,15s,MACLEODS,,,105.5,3,0.8164965809277259
16660,omnitan tab 15s,,tablet,omnitan,omnitan 15s,1.0,omnitan,omnitan,omnitan,263675.0,omnitan h tablet 15s,tablet,omnitan,omnitan h 15s,omnitan h tablet 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,omnitan tablet 15s,2.0,,,2.0,,,0,15s,MACLEODS,,,105.5,3,0.8164965809277259
17381,gb 29 sr tab 10s,,tablet,gb,gb 29 10s,1.0,gb,gb,gb,200192.0,gb 29 plus tablet 10s,tablet,gb,gb 29 plus 10s,gb 29 plus tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,gb 29 tablet 10s,2.0,,,2.0,,,0,10s,CORONA REMIDIES PVT.LTD,,,175.65,2,0.8660254037844387
