item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,pack,manufacturer,catg,subcatg,mrp
24473,cissq tab  10s,,tablet,cissq,cissq 10s,1,cissq,cissq,cissq,10s,AKSIGEN HOSPITAL CARE,,,152.0
31148,fandia dsr tab 10s,,tablet,fandia dsr,fandia dsr 10s,1,fandia,fandia,fandia,10s,FRIENDCURE PHARMACEUTICAL,,,99.0
28722,bilmegh m tab 10s,,tablet,bilmegh m,bilmegh m 10s,1,bilmegh,bilmegh,bilmegh,10s,Meghmani Lifesciences,,,180.0
24790,terabiklin-250 7 tablet,,tablet,terabiklin 250,terabiklin 250 7,1,terabiklin,terabiklin,terabiklin,7 tablet,Voiceover Pharmaceuticals,,,185.0
8815,amlopress 2.5 tab 15s,,tablet,amlopress 2.5,aopress 2.5 15s,1,amlopress,amlopress,amlopress,15s,CIPLA LTD,,,26.71
16281,cornxim o tab 10s,,tablet,cornxim o,cornxim o 10s,1,cornxim,cornxim,cornxim,10s,AVTIX HEALTHCARE,,,138.23
8136,amlopress 5 tab 30s,,tablet,amlopress,aopress 5 30s,1,amlopress,amlopress,amlopress,30s,CIPLA LTD,,,74.92
16278,cornrest tab 10s,,tablet,cornrest,cornrest 10s,1,cornrest,cornrest,cornrest,10s,AVTIX HEALTHCARE,,,45.11
29334,balanerve tab 10s,,tablet,balanerve,balanerve 10s,1,balanerve,balanerve,balanerve,10s,Meghmani Lifesciences,,,225.0
1257,rumalaya forte tab 30s,,tablet,rumalaya forte,rumalaya forte 30s,1,rumalaya,rumalaya,rumalaya,30s,HIMALAYA DRUG CO.,,,180.0
9304,colaseq-b tab 10s,,tablet,colaseq b,colaseq b 10s,1,colaseq,colaseq,colaseq,10s,SEQMED,,,250.0
582,septilin tab 60s,,tablet,septilin,septilin 60s,1,septilin,septilin,septilin,60s,HIMALAYA DRUG CO.,,,180.0
29651,qmarco 300 tab 10s,,tablet,qmarco,qmarco 300 10s,1,qmarco,qmarco,qmarco,10s,AKCENT HEALTHCARE,,,1298.0
359531081,respirado tab 10s,,tablet,respirado,respirado 10s,1,respirado,respirado,respirado,10s,Meghmani Lifesciences,,,146.0
31161,altibone tab 10s,,tablet,altibone,altibone 10s,1,altibone,altibone,altibone,10s,MEDISALVE LIFESCIENCES,,,220.0
31163,cystofit tab 10s,,tablet,cystofit,cystofit 10s,1,cystofit,cystofit,cystofit,10s,MEDISALVE LIFESCIENCES,,,270.0
28392,fetik-150 tab 2s,,tablet,fetik,fetik 150 2s,1,fetik,fetik,fetik,2s,INSUTIK PHARMACEUTICALS PVT.LT,,,13.0
9305,nerveseq q  tab 10s,,tablet,nerveseq q,nerveseq q 10s,1,nerveseq,nerveseq,nerveseq,10s,SEQMED,,,499.0
