item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
13123,nervmax cap 10c,,capsule,nervmax,nervmax 10c,1.0,nervmax,nervmax,nervmax,251073.0,nervmax capsule 10s,capsule,nervmax,nervmax 10s,nervmax capsule 10s,0.4999999999999999,0.4999999999999999,,10,1.0,0.0,nervmax capsule 10c,2.0,,,2.0,,,10c,ALKEM,,,209.0,1,0.4999999999999999
15146,airz cap 50mcg (1x30) 30c,,capsule,airz,airz 50 30s 30c,1.0,airz,airz,airz,106853.0,airz capsule 30s,capsule,airz,airz 30s,airz capsule 30s,0.7071067811865475,0.7071067811865475,30,30,0.0,0.0,airz capsule 50mcg 30s 30c,2.0,mcg,,2.0,50,,30c,Glenmark Pharmaceuticals Ltd,,,537.0,1,0.7071067811865475
16848,purtia cap 10c,,capsule,purtia,purtia 10c,1.0,purtia,purtia,purtia,282958.0,purtia capsule 10s,capsule,purtia,purtia 10s,purtia capsule 10s,0.4999999999999999,0.4999999999999999,,10,1.0,0.0,purtia capsule 10c,2.0,,,2.0,,,10c,AN PHARMACEUTICALS,,,561.0,1,0.4999999999999999
18778,mebiz sr capsule 10c,,capsule,mebiz,mebiz 10c,1.0,mebiz,mebiz,mebiz,236151.0,mebiz sr capsule 10s,capsule,mebiz,mebiz 10s,mebiz capsule 10s,0.4999999999999999,0.4999999999999999,,10,1.0,0.0,mebiz capsule 10c,2.0,,,2.0,,,10c,SUN PHARMA 2,,,236.0,1,0.4999999999999999
22397,tramazac cap 10c,,capsule,tramazac,tramazac 10c,1.0,tramazac,tramazac,tramazac,328626.0,tramazac capsule 10s,capsule,tramazac,tramazac 10s,tramazac capsule 10s,0.4999999999999999,0.4999999999999999,,10,1.0,0.0,tramazac capsule 10c,2.0,,,2.0,,,10c,ZYDUS CADILA HEALTHCARE LTD,,,56.06,1,0.4999999999999999
24632,conawin cap 100mg,,capsule,conawin,conawin 100,1.0,conawin,conawin,conawin,368128.0,conawin 100mg capsule 10s,capsule,conawin,conawin 100 10s,conawin 100mg capsule 10s,0.8164965809277259,0.8164965809277259,,10,1.0,0.0,conawin capsule 100mg,2.0,,mg,0.0,100,100,100mg,SANSTUTI PHARMACEUTICALS,,,180.0,1,0.8164965809277259
26105,florita cap 10c,,capsule,florita,florita 10c,1.0,florita,florita,florita,369644.0,florita capsule 10s,capsule,florita,florita 10s,florita capsule 10s,0.4999999999999999,0.4999999999999999,,10,1.0,0.0,florita capsule 10c,2.0,,,2.0,,,10c,SUN PHARMA 2,,,345.0,1,0.4999999999999999
27078,simrose 1000 cap 15c,,capsule,simrose,simrose 1000 15c,1.0,simrose,simrose,simrose,312372.0,simrose  1000 soft gelatin capsule 10s,capsule,simrose,simrose 1000 sg 10s,simrose 1000 sg capsule 10s,0.5773502691896258,0.5773502691896258,imro,10,1.0,0.0,simrose 1000 capsule 15c,2.0,,,2.0,,,15c,SERUM INSTITUTE OF INDIA LTD,,,208.0,1,0.5773502691896258
28487,menopace cap 30s,,capsule,menopace,menopace 30s,1.0,menopace,menopace,menopace,238289.0,menopace plus capsule 30s,capsule,menopace,menopace plus 30s,menopace plus capsule 30s,0.8164965809277259,0.8164965809277259,30,30,0.0,0.0,menopace capsule 30s,2.0,,,2.0,,,30s,MEYER,,,395.0,1,0.8164965809277259
28995,tecpiles cap 30c,,capsule,tecpiles,tecpiles 30c,1.0,tecpiles,tecpiles,tecpiles,322698.0,tecpiles capsule 30s,capsule,tecpiles,tecpiles 30s,tecpiles capsule 30s,0.4999999999999999,0.4999999999999999,tecpile,30,1.0,0.0,tecpiles capsule 30c,2.0,,,2.0,,,30c,TECHNO PHARMA PVT LTD,,,245.0,1,0.4999999999999999
