item_code,brand,pack,company,catg,subcatg,mrp
1000006,ATARAX-10 1*15T,,DR.REDDY-[ GRANDERA ],,,47.91
1000008,ATARAX-25 1*15T,,DR.REDDY-[ GRANDERA ],,,85.5
1000010,DILIGAN TAB 1*15,,DR.REDDY-[ GRANDERA ],,,191.25
1000014,NOOTROPIL (SYP). 100ML,,DR.REDDY-[ GRANDERA ],,,371.5
1000015,ZYRCOLD (SYP). 100ML,,DR.REDDY-[ GRANDERA ],,,72.6
1000016,ZYRTEC (SYP). 60ML,,DR.REDDY-[ GRANDERA ],,,39.51
1000017,ZYRTEC TAB 1*10,,DR.REDDY-[ GRANDERA ],,,18.14
1000020,EVACAL TAB 1*10,,AJANTA-[ ALMIRON ],,,27
1000023,AMPOXIN-1GM INJ 1VIAL,,TORRENT(UVA),,,32.9
1000024,AMPOXIN 250 CAP 1*15,,TORRENT(UVA),,,38.9
1000025,AMPOXIN 500 CAP 1*15,,TORRENT(UVA),,,97.7
1000026,AMPOXIN-250 INJ 1VIAL,,TORRENT(UVA),,,16.9
1000027,AMPOXIN-500 INJ 1VIAL,,TORRENT(UVA),,,23.08
1000028,AMPOXIN (SYP). 30ML,,TORRENT(UVA),,,29.7
1000029,AMPOXIN KID TAB 1*10,,TORRENT(UVA),,,29
1000033,FIXX-200 TAB 1*10,,TORRENT(UVA),,,168
1000034,FIXX (SYP). 30ML,,TORRENT(UVA),,,44.15
1000035,FIXX 100-DT 1*4,,TORRENT(UVA),,,71
1000037,FLOMIST NASAL SPRAY  10ML,,(CIP),,,386.51
1000038,FREZ DS 1*10,,UNICHEM,,,53
1000039,ARKAMIN TAB 1*30,,UNISERARCH INTEGRA,,,72.65
1000040,ARKAMIN-H TAB 1*10,,UNISERARCH INTEGRA,,,23.55
1000043,G-TASE 15MG TAB 1*10,,UNISEARCH CD,,,23.95
1000047,CANDIZOLE T TAB 1*8,,AJANTA-[ ALMIRON ],,,35
1000052,FERONIA D-3 TAB 1*10,,ZUVENTUS HEALTHCARE LTD,,,137.9
1000054,LANPRO-30 MG 1*10C,,UNICHEM LAB,,,75.8
1000056,LANPRO-15 MG 1*10C,,UNICHEM LAB,,,31.5
1000057,LINOX-600 MG 1*10T,,TORRENT [VITUS],,,410.6
1000058,M-CAM 15 TAB 1*10,,UNICHEM LAB,,,45.88
1000060,PRONIM 100MG TAB 1*10,,TORRENT(UVA),,,40.65
1000061,PRONIM 200MG TAB 1*10,,TORRENT(UVA),,,63.3
1000064,PRONIM SYP 30ML 1*30ML,,TORRENT(UVA),,,11.8
1000065,PRONIM SYP. 60ML 1*60ML,,TORRENT(UVA),,,17.6
1000068,ROFF 25MG TAB 1*10,,UNICHEM,,,41.42
1000069,ROFF 50MG TAB 1*10,,UNICHEM,,,65
1000073,SEFDIN-300TAB 1*10,,TORRENT [VITUS],,,472.4
1000074,SEFDIN (SYP). 30ML,,TORRENT(UVA),,,111
1000076,G-TASE 30MG TAB 1*10,,UNISEARCH CD,,,45.25
1000077,LOPRIN 75MG TAB 1*14,,UNISEARCH CD,,,4.73
1000078,LOPRIN DS TAB 1*14,,UNISEARCH CD,,,6.3
1000079,LOSAR 25 TAB 1*15,,UNISEARCH CV LIFE,,,75.85
1000080,LOSAR 50 TAB 1*15,,UNISEARCH CV LIFE,,,130.45
