itemid,ITENNAME,pack,manufacturer,CATG,SUBCATG,mrp
1AL0001,1 AL 30ML SYRUP,,FDC LTD,PHARMA,LIQUID,
1AL0002,1 AL 5MG TAB 10'S,,FDC LTD,PHARMA,TABLET,
1MP0001,1M PH 3.5 HYGIENE WASH 100ML,,OZONE PHARMACEUTICALS LTD,PHARMA,GEL,
2BA0004,2 BACONIL 14MG PATCH,,RUSAN HEALTHCARE PVT LTD,FMCG,OTC,
3GC0003,3GCLAV 625MG TABLET,,3GEN PHARMACEUTICALS,PHARMA,CAPSULE,
4GC0001,4G CREAM 15G,,ZOIC LIFE SCIENCES,PHARMA,OINTMENT,
4QU0002,4 QUIN EYE DROPS 5ML,,ENTOD PHARMACETICALS LTD,PHARMA,DROPS,
4QU0007,4 QUIN-BROM EYE DRPS 5ML,,ENTOD PHARMACETICALS LTD,PHARMA,DROPS,
4QU0008,4QUIN LOT 5ML EYE DROPS,,ENTOD PHARMACETICALS LTD,PHARMA,DROPS,
4QU0011,4 QUIN-D EYE DROPS 5ML,,ENTOD PHARMACETICALS LTD,PHARMA,DROPS,
7LA0001,7-LA SYRUP 200ML,,FDC LTD,PHARMA,LIQUID,
8XS0001,8X SHAMPOO 60ML,,CIPLA LTD,FMCG,PERSONAL CARE,
8XS0002,8X SHAMPOO 100 ML,,CIPLA LTD,FMCG,PERSONAL CARE,
8XS0003,8X SHAMPOO WITH ZPTO,,CIP-CIPLA-XTERNA DIVISION,FMCG,PERSONAL CARE,
9PM0001,9 PM EYE DROP 2.5ML,,CIPLA LTD,PHARMA,DROPS,
A2L0002,A2 LITE CREAM 20G,,ETHICARE REMEDIES PVT LTD,PHARMA,OINTMENT,
A2M0001,A2MELT TAB 10'S,,MEDICINES INDIA PVT LTD,PHARMA,TABLET,
AAN0002,AANA-2.5MG TAB 10'S,,MVD PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
ABA0002,ABANA TAB 60'S,,THE HIMALAYA DRUG COMPANY-(PHARMA),FMCG,OTC,
ABA0006,ABACE CAP 10'S,,ABS REMEDIES,PHARMA,CAPSULE,
ABA0024,ABANTRO SOFTGEL CAP 10'S,,DERMACARE,PHARMA,CAPSULE,
ABD0009,ABDOMINAL BINDER (LARGE) (DYNA),,DYNA TECHNO MEDICAL PVT LTD,SURGICAL,RE-HABILITATION,
ABD0027,ABDOMINAL BINDER-XXL-0601(MGRM),,MGRM  MEDICARE  LIMITED,SURGICAL,RE-HABILITATION,
ABD0076,ABDOMINAL BELT ( VISSCO ) - M,,VIS-VISCO,SURGICAL,RE-HABILITATION,
ABD0090,ABDOMINAL SWAB,,MED-MEDICA,SURGICAL,RE-HABILITATION,
ABD0246,ABDOWELL SACHET 1G,,LUPIN LABORATORIES LTD,PHARMA,POWDER,
ABE0005,A-BEX SYRUP 100ML,,OROCHEM,PHARMA,LIQUID,
ABE0028,ABEL-40MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
ABE0029,ABEL-80MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
ABE0035,ABETCOLA TAB 10'S,,RADICOOL PHARMACEUTICAL PVT LTD,PHARMA,TABLET,
ABE0040,ABETANEURON-OD SOFTGEL CAP 10'S,,RAD-RADIOCOOL PHARMACEUTICALS,PHARMA,CAPSULE,
ABE0041,ABETANEURON-LC TAB 10'S,,RAD-RADIOCOOL PHARMACEUTICALS,PHARMA,TABLET,
ABE0046,ABEVIA-200 SR TAB 10'S,,MANKIND PHARMA PVT LTD,PHARMA,TABLET,
ABF0001,ABFLO 100MG CAP 10'S,,LUPIN LABORATORIES LTD,PHARMA,CAPSULE,
ABF0004,AB-FLO SR 200MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
ABF0007,AB-FLO-N TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
ABG0001,ABGEL ABSORBABLE GELATINE SPONGE,,APOLLO HOSPITALS ENTERPRIS LTD,SURGICAL,CONSUMABLES,
ABG0010,ABGLOW 75GM SOAP,,DERMATECH PHARMACEUTICALS,PHARMA,SOAP,
ABG0011,AB GABA 300 TAB 10'S,,ASTRA UNIQUE PROHEALTH PVT LTD,PHARMA,TABLET,
ABH0002,ABHAYARISHTAM 450ML,,VAIDYARATNAM OUSHADI,FMCG,OTC,
ABH0008,ABHRAK BHASM 10G,,DUMMY,FMCG,OTC,
ABH0016,ABHAYRAB-PF VACCINE,,HUMAN BIOLOGICALS INSTITUTE,PHARMA,INJECTION,
ABI0016,ABIRAX AM 50MG TAB 10'S,,ABIC LABS,PHARMA,TABLET,
ABI0038,ABIWAYS TAB 10'S,,MANKIND PHARMA PVT LTD,PHARMA,TABLET,
ABI0041,ABIRATAS TAB,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
ABI0054,ABIGLIPT-M TAB 10'S,,TALENT INDIA LTD,PHARMA,TABLET,
ABL0021,ABLUNG SR 200MG TAB 10'S,,CIPLA LTD,PHARMA,TABLET,
ABM0018,ABMENT SOAP 75G,,DERMATECH PHARMACEUTICALS,PHARMA,SOAP,
ABN0015,ABNOR CAP 10'S,,AGN HEALTHCARE PVT LTD,PHARMA,CAPSULE,
ABP0001,AB PHYLLINE 100MG CAP 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,CAPSULE,
ABP0002,AB PRESS EYE DROPS,,ENTOD PHARMACETICALS LTD,PHARMA,DROPS,
ABP0003,AB PHYLLINE SYP 100ML,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,LIQUID,
ABP0004,AB PHYLLINE SR 200MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
ABP0013,AB PHYLLINE N TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
ABP0019,AB PRESS PF EYE DROPS 10ML,,ENTOD PHARMACETICALS LTD,PHARMA,EYE DROPS,
ABS0005,ABSOLUT 3G CAP 10'S,,PHARMED LIMITED,PHARMA,CAPSULE,
ABS0028,ABSOLUT WOMAN CAP 10'S,,PHARMED LIMITED,PHARMA,CAPSULE,
ABS0039,ABSOLUT 3.6.9 CAP 10'S,,PHARMED LIMITED,PHARMA,CAPSULE,
ABS0070,ABSPAS TAB 15'S,,PHARMAKEM LABS,PHARMA,TABLET,
ABS0086,ABSOLUT GOLD CAP 10'S,,PHARMED LIMITED,PHARMA,CAPSULE,
ABV0014,ABVIDA 50MG TAB 15'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ABV0015,ABVIDA-M 50/500MG TAB 15'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ABV0016,ABVIDA-M 50/1000MG TAB 15'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ABZ0001,ABZORB DUSTING POWDER 100G,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,POWDER,
ABZ0007,ABZORB 1%W/W BAR 100G,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,SOAP,
ABZ0008,ABZORB 1%W/W POWDER 50G,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,POWDER,
ACA0003,ACAMPROL 333MG TAB 6'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
ACA0016,ACAMPTAS 333MG TAB 6'S,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
ACC0003,ACCUZON 1GM INJ,,MACLEODS PHARMACEUTICALS LTD,PHARMA,INJECTION,
ACC0005,ACCU-CHEK ACTIVE GLUCOMETER,,ROCHE DIAGNOSTICS IND PVT,SURGICAL,RE-HABILITATION,
ACC0008,ACCU CHEK ACTIVE 50'S,,ROCHE DIAGNOSTICS IND PVT,SURGICAL,RE-HABILITATION,
ACC0012,ACCU-CHEK SOFTCLIX LANCETS 25'S,,ROCHE DIAGNOSTICS IND PVT,SURGICAL,RE-HABILITATION,
ACC0042,ACCUTAZ HS 500MG+62.5MG INJ,,MACLEODS PHARMACEUTICALS LTD,PHARMA,INJECTION,
ACC0043,ACCUTAZ PS INJ,,MACLEODS PHARMACEUTICALS LTD,PHARMA,INJECTION,
ACC0046,ACCUZON 500MG INJ,,MACLEODS PHARMACEUTICALS LTD,PHARMA,INJECTION,
ACC0060,ACCUSURE STRIPS 50'S,,DR.GENE HEALTH & WELLNESS,SURGICAL,RE-HABILITATION,
ACC0083,ACCUMET GP 1 TAB 10'S,,AXNTURE HEALTHCARE LTD,PHARMA,TABLET,
ACC0084,ACCUMET GP 2 TAB 10'S,,AXNTURE HEALTHCARE LTD,PHARMA,TABLET,
ACC0096,ACCUMET 1GM TAB 10'S,,AXNTURE HEALTHCARE LTD,PHARMA,TABLET,
ACC0100,ACCUCHEK PERFORMA 50S,,SUR-SURGICAL HOUSE,SURGICAL,RE-HABILITATION,
ACC0113,ACCU-CHEK ACTIVE 2 x 50 TEST STRIPS,,ROCHE DIAGNOSTICS IND PVT,SURGICAL,RE-HABILITATION,
ACC0151,ACCENTRIX 10MG/ML INJ,,NOVARTIS INDIA LTD,PHARMA,INJECTION,
ACC0162,ACCU-CHEK AVIVA TEST STRIPS 50,,ROCHE DIAGNOSTICS IND PVT,SURGICAL,RE-HABILITATION,
ACC0180,ACCUMET SR-500MG TAB 10'S,,AXNTURE HEALTHCARE LTD,PHARMA,TABLET,
ACC0199,ACCU-CHEK INSTANT S GLUCOMETER,,ROC-ROCHE PRODUCTS LTD,SURGICAL,RE-HABILITATION,
ACC0200,ACCU-CHEK INSTANT 50'S,,ROCHE DIAGNOSTICS IND PVT,SURGICAL,SURGICALS,
ACC0203,ACCUNAC 0.1%W/V EYE DROPS 5ML,,HIS EYENESS OPHTHALMICS PVT LTD,PHARMA,DROPS,
ACC0217,ACCU-CHEK INSTANT GLUCOMETER,,ROC-ROCHE PRODUCTS LTD,SURGICAL,DEVICE,
ACE0017,ACECLO 100MG TAB 10'S,,ARISTO PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
ACE0018,ACECLO PLUS TAB 15'S,,ARISTO PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
ACE0020,ACECLO- MR TAB 10'S,,ARISTO PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
ACE0030,ACENAC-P TAB 10'S,,MEDLEY PHARMACEUTICALS PVT LTD,PHARMA,TABLET,
ACE0072,ACERA-D CAP 10'S,,IPCA LABORATORIES PVT LTD,PHARMA,CAPSULE,
ACE0177,ACE REVELOL 50/5 TAB 10'S,,IPCA LABORATORIES PVT LTD,PHARMA,TABLET,
ACE0244,ACE REVELOL 25/2.5 TAB 10'S,,IPCA LABORATORIES PVT LTD,PHARMA,TABLET,
ACE0291,ACEPROXYVON 30GM GEL,,WOCKHARDT LTD,PHARMA,OINTMENT,
ACE0354,ACERON-MR 4MG TAB 10's,,OAKNET LIFE SCIENCES PVT LTD,PHARMA,TABLET,
ACE0445,ACENAZ-P TAB 10'S,,NAZ PHARMACEUTICALS,PHARMA,TABLET,
ACE0476,ACEPROXYVON CR TAB 10'S,,WOCKHARDT LTD,PHARMA,TABLET,
ACE0556,ACETAL-SP TAB 10's,,ZYTRAS LIFE SCIENCES PVT LTD,PHARMA,TABLET,
ACE0565,ACE-PROXYVON TH 4 TAB 10'S,,WOCKHARDT LTD,PHARMA,TABLET,
ACE0622,ACE-4G CAP,,ACEKINETICS PVT LTD,PHARMA,CAPSULE,
ACE0737,ACEVAK-MR TAB 10'S,,ELIVIA LIFE SCIENCES PVT LTD,PHARMA,TABLET,
ACE0743,ACEPLUS-SP TAB 10'S,,MAXIS HEALTHCARE PVT LTD,PHARMA,TABLET,
ACE0748,ACE-PROXYVON TAB 10'S,,WOCKHARDT LTD,PHARMA,TABLET,
ACE0772,ACEZOLE-D TAB 10'S,,CURE N CURE PHARMACEUTICALS LTD,PHARMA,TABLET,
ACE0819,ACEZEN-SP TAB 10'S,,ZENTIS DRUGS PVT LTD,PHARMA,TABLET,
ACE0896,ACE FLUPIGEN TAB 10'S,,3M INDIA LTD,PHARMA,TABLET,
ACE0899,ACEBEL MR TAB 10'S,,BLUBELL PHARMA LTD,PHARMA,TABLET,
ACI0004,ACILOC RD TAB 10'S,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,TABLET,
ACI0005,ACILOC 150MG TAB 30'S,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,TABLET,
ACI0006,ACILOC 300MG TAB 20'S,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,TABLET,
ACI0007,ACILOC 2ML INJ,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,INJECTION,
ACI0013,ACITROM 1 TAB 30'S ***,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ACI0014,ACITROM 2 TAB 30'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ACI0015,ACITROM 3 TAB 30'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ACI0016,ACITROM 4 TAB 30's,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ACI0017,ACIVIR CREAM - 5G,,CIPLA LTD,PHARMA,OINTMENT,
ACI0018,ACIVIR DT 200MG TAB 10'S,,CIPLA LTD,PHARMA,TABLET,
ACI0019,ACIVIR DT 400MG TAB 5'S,,CIPLA LTD,PHARMA,TABLET,
ACI0020,ACIVIR DT 800MG TAB 5'S,,CIPLA LTD,PHARMA,TABLET,
