item_code,brand_x,brand_y,manufacturer,id,mrp
ACT0071,actide 50mcg 1ml inj,actide 50mcg injection 1ml,SAMARTH LIFESCIENCES PVT LTD,378690.0,225.0
ACU0111,acunus 20ml gel,acunus gel 20ml,STRENUOUS HEALTHCARE PVT LTD,379124.0,260.0
ADL0022,adlumab 40mg/0.8ml inj,adlumab 40mg injection 0.8ml,RPG LIFESCIENCES LTD,387083.0,25000.0
ADP0015,adpaxil 260mg 43.4ml inj,adpaxil 260mg injection 43.4ml,ONCARE LIFE SCIENCES CANC,378534.0,10100.0
ADP0016,adpaxil inj - 30mg / 5ml,adpaxil 30mg injection 5ml,ADLEY PHARMACEUTICALS LTD,378535.0,2000.0
ADR0050,adren 1ml inj,adren injection 1ml,HARSON LABORATORIES,382199.0,16.45
ADV0109,advin 50mg/5ml inj,advin 50mg injection 5ml,ADLEY PHARMACEUTICALS LTD,380763.0,16850.0
AMF0013,amflor 100gm paste,amflor toothpaste 100gm,GROUP PHAMRACEUTICALS LTD,110619.0,165.0
AMF0015,amflor 50gm paste,amflor toothpaste 50gm,GROUP PHAMRACEUTICALS LTD,110617.0,94.0
ANT0047,antiderm  xl 5gm oint,antiderm xl ointment 5gm,KREMOINT PHARMA PVT LTD,657932.0,23.0
APE0052,aperich 200ml syp,aperich syrup 200ml,MINT PHARMACEUTICALS PVT LTD,540810.0,110.0
AQU0036,aquabact  75gm soap,aquabact soap 75gm,AJANTA PHARMA LTD,114365.0,72.0
ATO0637,atorvatin ap 20/75mg  10tab,atorvatin ap 20/75mg tablet 10s,3M INDIA LTD,419881.0,27.5
BON0046,bonliv  225ml syp,bonliv syrup 225ml,ADONIS LABORATORIES PVT LTD,141181.0,82.0
BRO0311,bromviz 5ml eye drops,bromviz eye drop 5ml,ALERCON PHARMA PVT LTD,382427.0,85.0
CAN0212,candid 50gm soap,candid soap 50gm,GLENMARK PHARMACEUTICAL LTD,144892.0,71.5
CAN0516,canewash 60gm facewash,canewash facewash 60gm,REJUNACIA HEALTHCARE PVT LTD,548606.0,285.0
CAR0347,carmozyme 100 ml liq,carmozyme liquid 100ml,MENDEL PHARMA,145838.0,62.6
CAS0007,castor 100ml oil,castor oil 100ml,GARY PHARMACEUTICALS PVT LTD,380844.0,72.0
CAS0008,castor 200ml oil,castor oil 200ml,GARY PHARMACEUTICALS PVT LTD,381290.0,90.0
CEP0215,cepovise-100mg  dry syrup 11gm/30ml,cepovise-100mg dry syrup 11gm/ 30ml,SYNDICATE LIFESCIENCES PVT LTD,537003.0,129.0
CLE0024,clearasil 75gm soap,clearasil soap 75gm,RECKITT BENCKISERINDIALTD,154187.0,19.0
CRE0075,cresp inj - 25mcg/1ml,cresp 25 injection 1,DR REDDY'S LABORATORIES,159198.0,1599.0
CUR0040,curosurf 1.5ml/80mg inj,curosurf 80mg injection 1.5ml,PAVIOUR PHARMA PVT.LTD.,378323.0,12280.0
CUT0062,cutinorm 75gm soap,cutinorm soap 75gm,ADONIS LABORATORIES PVT LTD,376769.0,120.0
CUT0167,cutimax 125gm  cream,cutimax cream 125gm,IPCA LABORATORIES PVT LTD,159985.0,270.0
DEC0037,dec 50 mg/100ml ***,dec 50 mg/ 100ml,LEVIN LIFESCIENCES PVT LTD,571022.0,60.0
DEP0220,depiglow 70gm face wash,depiglow face wash 70gm,GRACE DERMA HEALTHCARE PVT LTD,540313.0,250.0
DOB0027,dobustat 5ml inj ***,dobustat injection 5ml,SAMARTH LIFESCIENCES PVT LTD,384624.0,287.5
DRE0021,drez 100gm oint,drez ointment 100gm,LEVIN LIFESCIENCES PVT LTD,181312.0,150.0
EVI0053,evict 90ml  syp,evict syrup 90ml,ALBERT DAVID LTD,190558.0,92.61
EYD0002,eydent 100ml mouth wash,eydent mouth wash 100ml,EVAREX PHARMACEUTICALS,660170.0,75.0
FAC0001,faceclin 10gm gel,faceclin gel 10gm,ABBOTT INDIA LIMITED,191548.0,130.0
FLU0098,flutivate 20gm   cream,flutivate cream 20gm,GLAXO SMITHKLINE PHARMACEUTICALS LTD,379998.0,104.5
FUN0007,fungicide 60ml  lotion.,fungicide lotion 60ml,TORRENT PHARMACEUTICALS LTD,673479.0,205.73
GAB0236,gabapax 20gm oint,gabapax ointment 20gm,ALTEUS BIOGENICS PVT LTD,199303.0,273.9
GAZ0014,gazyva 1000mg/40ml inj,gazyva 1000mg injection 40ml,ROCHE DIAGNOSTICS IND PVT LTD,380669.0,373364.0
GLA0774,glaede 100ml face wash,glaede face wash 100ml,ASSURE LIFESCIENCES PVT LTD,381053.0,299.0
GYN0011,gynedol 200ml syp,gynedol syrup 200ml,DWD PHARMACEUTICALS LTD,206023.0,154.0
HEP0090,hepacef 100ml syp,hepacef syrup 100ml,CONCEPT PHARMACEUTICALS LTD,209510.0,42.0
HIM0488,himalaya oil clear lemon 50ml face wash,himalaya oil clear lemon face wash 50ml,THE HIMALAYA DRUG COMPANY,380645.0,70.0
IMF0013,imfinzi 120mg/2.4ml inj,imfinzi 120mg injection 2.4ml,ASTRAZIN PHARMACEUTICALS LTD,380752.0,45500.0
IMF0014,imfinzi 500mg/10ml inj,imfinzi 500mg injection 10ml,ASTRA ZENECA PHARMA INDIA LTD,380751.0,189585.0
IMM0125,immunorel 10gm/100ml inj,immunorel 10gm injection 100ml,RELIANCE FORMULATION PVT LTD,378598.0,19990.0
KEN0064,kenocort inj - 20 mg,kenocort 20mg injection,ABBOTT INDIA LIMITED,594390.0,87.0
KER0088,kera xl 30ml hair growth serum,kera xl hair growth serum 30ml,IPCA LABORATORIES PVT LTD,220744.0,720.0
KUR0012,kurazol 100ml  shampoo,kurazol shampoo 100ml,ADONIS LABORATORIES PVT LTD,223399.0,140.0
LAB0069,labeta 100mg/20ml inj,labeta 100mg injection 20ml,AAA PHARMA TRADE PVT LTD,378314.0,1020.0
LAX0072,laxher 100gm powder,laxher powder 100gm,DEPSON HEALTHCARE,225119.0,100.0
LIP0114,lipidz 50gm cream,lipidz cream 50ml,ETHICARE REMEDIES PVT LTD,228564.0,160.0
LOM0012,lomela 15gm cream,lomela cream 15gm,ICPA HEALTH PRODUCTS LTD,382004.0,155.0
LUC0057,lucomyn 250ml syp,lucomyn syrup 250ml,JUPITER BIOLABS PVT LTD,231675.0,90.0
LUP0181,lupituss suspension 60ml,lupituss oral suspension 60ml,LUPIN LABORATORIES LTD,232249.0,95.5
MAM0280,mamaearth tea tree shampoo 250ml,mamaearth shampoo tea tree 250ml,3M INDIA LTD,391459.0,349.0
