item_code,brand_x,brand_y,manufacturer,id,mrp,count
10113,mox kidtab 250mg 15s,mox 250mg capsule 15s,RANBAXY,244659.0,133.0,1
11874,caladryl lot.60ml,caladryl lotion 60ml,PIRAMAL,143595.0,61.19,1
12506,iodex 16gm,iodex multi purpose pain balm 16gm,GALAXO SMITH KLINE OTC,215757.0,84.0,1
12508,iodex 8gm,iodex multi purpose pain balm 8gm,GALAXO SMITH KLINE OTC,215760.0,42.0,1
12921,moov 15gm,moov cream 15gm,RECKIT BENCKISER INDIA PVT LTD,243978.0,75.0,1
12965,vicks 25ml,vicks vaporub 25gm,PROCTER AND GAMBLE,362475.0,75.0,1
13132,trinerve softgel 10s,trinerve capsule 10s,ALKEM,362180.0,155.0,1
15350,axbex syp 100ml,axbex ns syrup 100ml,OZONE,119283.0,85.18,1
16165,paracip syp 30ml,paracip syrup 60ml,CIPLA GENRIC,271691.0,22.38,1
16763,basalog 100iu/ml refill cartridge 5ml,basalog 100iu/ml injection 5ml,BIOCON,123633.0,783.14,1
16935,mirbeg-50 mg 1s,mirbeg 50 tablet er 10s,IPCA LABORATORIES LTD,242119.0,335.0,1
16996,melaglow cream 30gm,melaglow new cream 30gm,ABBOTT HEALTH CARE,237963.0,685.0,1
17087,aquaviron inj 1ml-6amp 1s,aquaviron 25mg injection 1ml 1,ABBOTT HEALTH CARE,114441.0,176.81,1
17719,himalaya soap refresh 75gm,himalaya aactaril soap 75gm,HIMALAYA COSMETIC,364393.0,55.0,1
17856,hairshield 30ml (cp-comb+b4g2),hairshield anti lice cream wash 30ml,WINGS,361893.0,49.0,1
20601,elovera moist body wash 150ml,elovera body wash 150ml,Glenmark Pharmaceuticals Ltd,185379.0,375.0,1
20855,kera xl serium 30ml,kera xl hair growth serum 30ml,IPCA LABORATORIES LTD,220744.0,750.0,1
20895,ochek capule 10c,ochek capsule 10s,LA RENON HEALTHCARE,259577.0,159.0,1
22,pedicloryl syrup 30ml,pedicloryl oral solution 30ml,J.B.CHEMICALS & PHARMACEUTICAL,273665.0,120.25,1
22274,tresiba 100iu/ml penfill 3ml,tresiba 100 units/ml penfill 3ml,ALCON,329174.0,7200.0,1
22569,face mask acrux 3 ply melt blo 1s,face tablet 10s,AC SURGICALS LTD,191542.0,10.0,1
22590,vicks drop 1180+120 jar,vicks cough drops 120,PROCTER AND GAMBLE,337743.0,1180.0,1
23483,nosmok 2 mg 3s,nosmok 4mg lozenges mint,J.B.CHEMICALS & PHARMACEUTICAL,381019.0,96.0,1
23629,nutalact solution 200ml,nutalact syrup 200ml,RONYD HEALTHCARE PVT LTD,257961.0,219.0,1
24094,systane gel eye drop 10ml,systane gel drop lubricant eye gel 10ml,ALCON,374873.0,522.0,1
24208,calpep sachet sf 10.2gm,calpep sachet 10gm,ADONIS PHYTOCEUTICALS PVT. LTD,144411.0,85.0,1
24599,nadisoft gel 15gm,nadisoft 1% cream 15gm,SANSTUTI PHARMACEUTICALS,372197.0,195.0,1
24610,isot-20cap 10c,isot 20 capsule 10s,SANSTUTI PHARMACEUTICALS,370609.0,240.0,1
24617,fucisoft cream 10gm,fucisoft 2% cream 10gm,SANSTUTI PHARMACEUTICALS,369758.0,120.0,1
24620,tacmate lotion 15ml,tacmate 0.1% lotion 15ml,SANSTUTI PHARMACEUTICALS,374891.0,450.0,1
24647,tretwin 15gm,tretwin cream 20gm,SANSTUTI PHARMACEUTICALS,329223.0,125.0,1
24795,voxiclav 625mg 10s,voxiclav tablet 6s,Voiceover Pharmaceuticals,376148.0,223.0,1
24887,dvpex 100tab 10s,dvpex 50 tablet er 10s,NEUROPEX PHARMACEUTICAL,368966.0,240.0,1
25005,dajio 10mg,dajio 10 tablet 15s,MICRO,368371.0,193.0,1
25006,dajio 5mg,dajio 5mg tablet 10s,MICRO,377232.0,98.0,1
25145,xoclave syp 30ml,xoclave dry syrup 30ml,CORONA REMIDIES PVT.LTD,344428.0,67.2,1
25196,matigesic gel 30gm,matigesic pain relief oil 60ml,ASARVA LIFESCIENCES,377736.0,96.0,1
25265,hyloget sachets 10s,hyloget sachet (12.5gm each) 10,DRIGHYAM PHARMACEUTICALS,370414.0,120.0,1
25279,monurol sachet 8 gm 3g,monurol sachet 3gm,MODI & MUNDI,243885.0,503.0,1
25410,novonorm 2 mg 30 30s,novonorm 2mg tablet 30s,NOVO NORDISK INDIA PVT LTD,256670.0,330.0,1
25455,flucold drop  15ml,flucold oral drops 15ml,WALLACE PHARMA,196001.0,52.9,1
25579,no soap lotion  125ml,no scars soap 150gm,PERCOS INDIA PVT LTD,255139.0,320.0,1
26053,ondicure drop 30ml,ondicure syrup 30ml,GRANDCURE HEALTHCARE PVT LTD,264251.0,38.3,1
26314,candidox cream 50gm,candidox 1% cream 50gm,Glenmark Pharmaceuticals Ltd,367596.0,323.0,1
27331,superspas syp  200ml,superspas oral gel orange sugar free 200ml,SEAGULL LABORATORIES PVT LTD,374820.0,101.0,1
27473,fixderma strallium stretch mark cream 75gm,fixderma strallium stretch mark cream 75gm,FIXDERMA INDIA PVT LTD,194783.0,425.0,1
27579,sporidex drop redimix  10ml,sporidex redimix 100mg drop 10ml,RANBAXY,316173.0,105.0,1
27691,tazar inj 4.5 gm 1vial,tazar 4.5g injection 4.5gm,LUPIN LTD,322232.0,280.73,1
28781,picrogard powder 400gm,picrogard powder 400gm vanilla,V R MED HEALTHCARE,275874.0,899.0,1
28922,amrovit syp 200ml,amrovit capsule 10s,EAST AFRICAN,112156.0,0.0,1
28938,aloriv soap 75gm,aloriv 100mg tablet 10s,EAST AFRICAN,366489.0,0.0,1
29638,neko soap 100gm,neko bouquet soap 100gm,PIRAMAL,250372.0,70.0,1
29650,proviam powder 500gm,proviam whey protein powder badam pista 500gm,AKCENT HEALTHCARE,378683.0,3520.0,1
29752,lorcaine gel sf 200ml,lorcaine oral gel 200ml,EDURA PHARMACEUTICALS PVT LTD,230238.0,147.0,1
29828,nucoxia inj 1ml,nucoxia 90mg injection 1ml,ZYDUS CADILA HEALTHCARE LTD,377545.0,249.0,1
29907,alkapac syrup cardamom 100ml,alkapac syrup cardamom sugar free 100ml,MSN LABORATORIES,366447.0,175.0,1
29930,viganext powder 1s,viganext powder for oral solution 1gm,MSN LABORATORIES,375857.0,60.0,1
29974,nurical-500tab 15s,nurical k2 tablet 10s,NUORIK HEALTHCARE PVT. LTD.,372643.0,155.0,1
30151,flucos gel 0.5% 15gm,flucos gel 15gm,Oaknet Healthcare Pvt Ltd,196045.0,104.39,1
30264,oliade oil 100ml,oliade massage oil 100ml,IND SWIFT LABORATORIES LTD,262098.0,199.0,1
30315,gabafix gel 30g tube 30gm,gabafix gel 30gm,AAREEN HEALTHCARE PVT LTD,199220.0,239.9,1
30552,instaraft syp 200ml,instaraft oral suspension 200ml,SUN PHARMA 2,380289.0,199.0,1
30709,melasure emugel  20gm,melasure skin lightening emulgel 20gm,TALENT INDIA LTD,371722.0,375.0,1
30710,moiztal bar 75gm,moiztal bathing bar 75gm,TALENT INDIA LTD,242884.0,175.0,1
30728,hopace 2.5tab 15tab 15s,hopace 2.5mg tablet 15s,MICRO,383718.0,78.12,1
30905,enrowin 500tab 10s,enrowin 500mg tablet 10s,AKCENT HEALTHCARE,186944.0,1098.0,1
314031101,cadihep syp 110ml,cadihep syrup 220ml,CADILA HEALTHCARE LTD,143370.0,125.0,1
319330959,neksium 20mg 15tab 15s,neksium 20mg tablet 15s,PFIZER,385318.0,132.02,1
320631115,nindanib 100 mg 10s,nindanib 100 soft gelatin capsule 10s,Glenmark Pharmaceuticals Ltd,372487.0,822.0,1
325130964,zapiz 1mg 15tab 15s,zapiz 1mg tablet 10s,INTAS PHARMACEUTICALS,345936.0,71.4,1
325131029,mildy bar  75g 75gm,mildy bar 75gm,INTAS PHARMACEUTICALS,241239.0,150.0,1
326031028,nixiper creamy lotion 100ml,nixiper lotion 100ml,CANIXA LIFE SCIIENCES PVT LTD,254983.0,105.0,1
326330912,heptagon syp 200ml,heptagon oral suspension sugar free 200ml,SUN PHARMA 2,370320.0,270.0,1
328331033,mupisoft  5gm,mupisoft ointment 5gm,KLM LABORATORIES,246112.0,115.0,1
350231005,no soap gentle skin cleanser 250ml,no scars soap 150gm,PERCOS INDIA PVT LTD,255139.0,585.0,1
4785,avil injection 2ml amp*2ml,avil 22.75mg injection 2ml,AVENTIS,118987.0,5.66,1
6138,pmt lotion 30ml,pmt anti scabies lotion 30ml,SALVE PHARMA,277615.0,32.0,1
6929,qcard 100mg softgel 10c,qcard 100mg soft gelatin capsule 10s,GENETICA,362560.0,140.0,1
6988,neko soap 75gm,neko bouquet soap 75gm,PIRAMAL,250373.0,70.0,1
7534,tacrotor cream 1% 10gm,tacrotor 0.1% ointment 10gm,TORRENT,321119.0,615.3,1
7594,cepodem 100mg ds susp 30ml,cepodem 100mg/5ml ds suspension 30ml,RANBAXY,149720.0,189.0,1
7605,keflor syp 10ml 50mg,keflor oral suspension 10ml banana,RANBAXY,220447.0,157.0,1
8500,althrocin drop 10ml,althrocin 100mg drop 10ml,ALEMBIC PHARMACEUTICALS LTD,109669.0,46.55,1
9617,movicol powder 13.8gm,movicol powder for oral solution 13.8gm,WIN MEDICARE,362499.0,68.5,1
10433,proluton depot inj 250mg 1ml,proluton depot 500mg/2ml injection 1ml,CADILA HEALTHCARE LTD,281203.0,230.5,1
11569,parachute  hot oil 190ml,parachute ayurvedic hair oil 190ml,OTHERS,271667.0,110.0,1
12099,pediasure vanilla 200gm jar /in24,pediasure refill vanilla 200gm,ABBOTT NUTRA,379537.0,390.0,1
12179,colgate max 80gm,colgate sensitive toothpaste 80gm,COLGATE PALMOLIVE COMPANY LTD,156725.0,55.0,1
12844,listerine mint 80ml,listerine mouth wash 80ml cool mint,JOHNSON & JOHNSON CONSUMER CAR,228812.0,50.0,1
13668,sizodon oral syp 60ml,sizodon oral solution 60ml,SUN PHARMA 2,313209.0,132.38,1
1396,azilide 200 susp 15ml,azilide 200mg/5ml suspension 15ml,MICRO,120608.0,51.86,1
14285,metatop nasal spray 120,metatop nasal spray 120mdi,ZYDUS CADILA HEALTHCARE LTD,239371.0,497.75,1
14409,unobiotics junior sachet 1000mg,activstart unobiotics sachet 1gm,CIPLA LTD,103460.0,49.0,1
14532,nebzmart fb 1mg respules 7*2ml,nebzmart fb 1mg smartules 2ml 7ml,Glenmark Pharmaceuticals Ltd,372282.0,430.5,1
15131,normetrogyl o syp 60ml,normetrogyl 400mg/400mg syrup 30ml,J.B.CHEMICALS & PHARMACEUTICAL,255854.0,48.08,1
15136,dettol  antisepetic 60ml,dettol antiseptic liquid 60ml,RECKIT BENCKISER INDIA PVT LTD,362361.0,0.03,1
15140,naturolax a powder 100gm,naturolax  a powder 100gm orange,PIRAMAL,249348.0,155.0,1
15141,naturolax a powder 300gm,naturolax  a powder 300gm orange,PIRAMAL,249346.0,381.0,1
15362,ensure choco 400gm,ensure powder 400gm chocolate,ABBOTT NUTRA,186989.0,635.0,1
16923,obra  e/o  3gm,obra eye ointment 3gm,SYNTHO,259453.0,60.0,1
16945,tufpro nutra 5ml,tufpro ds oral suspension (5ml each) 10,RANBAXY,375517.0,46.0,1
17200,ready care gloves 100pcs,ready rinse mouth wash 150ml,AGGARWAL SURGICALS,287525.0,849.0,1
17376,carmicide adult syp 100ml,carmicide adults liquid 100ml,INDOCO REMEDIES LTD,145810.0,99.0,1
17397,rosuless gold 20cap 15c,rosuless gold capsule 10s,CORONA REMIDIES PVT.LTD,293549.0,327.15,1
17609,toothmin tooth cream 70gm,toothmin toothpaste 70gm,ABBOTT HEALTH CARE,327547.0,267.0,1
17640,protinex lite 400gm,protinex lite powder 400gm vanilla,NUTRICIA INTERNATIONAL PVT LTD,281820.0,650.0,1
17994,mummum-1 400gm,mummum powder 400gm,FDC LTD.,372116.0,385.0,1
17995,mummum-2 400gm,mummum powder 400gm,FDC LTD.,372116.0,375.0,1
19001,le feritas capule 10c,le   400 soft gelatin capsule 10s,INTAS PHARMACEUTICALS,225490.0,169.0,1
19285,esogress-l capule 10c,esogress l capsule sr 10s,LA RENON HEALTHCARE,188849.0,245.0,1
19818,ginkoba-m capule 10c,ginkoba m capsule 10s,MICRO,201671.0,250.0,1
20342,qgold-f softgel 10c,qgold f capsule 10s,PHARMED,283524.0,355.0,1
20790,nevlon moisturising cream 50gm,nevlon moisturizing cream 50gm,KLM LABORATORIES,252018.0,162.0,1
21067,protone mom powder 200gm,protone mom chocolate powder 200gm,ARISTO,281922.0,320.0,1
21359,monocef o drop 10ml,monocef o 25mg oral drops 10ml,ARISTO,371989.0,75.0,1
21588,hairshield dandruff 30ml,hairshield anti lice cream wash 30ml,WINGS,361893.0,60.0,1
22176,pure hands 200ml (strawberry) 100ml,pure powder 200gm,HIMALAYA DRUG CO.,282728.0,100.0,1
22588,vicks vaporab 50ml,vicks vaporub 50gm,PROCTER AND GAMBLE,337750.0,145.0,1
22628,sensodyne fresh gel 75gm,sensodyne fresh gel toothpaste 75gm,GALAXO SMITH KLINE OTC,309911.0,125.0,1
22693,moov 35g 35gm,moov spray 35gm,RECKIT BENCKISER INDIA PVT LTD,243992.0,140.0,1
22864,protar scalp solution 200ml,protar solution 200ml,PERCOS INDIA PVT LTD,281641.0,360.0,1
23192,kidrich d3 60000iu oral sol. 4*5 ml,kidrich d3 oral solution 5ml,DR. REDDY LABORATORIES LTD,370938.0,217.8,1
23327,oflox 100 rediuse 60ml,oflox 100 rediuse suspension 60ml,CIPLA LTD,261074.0,148.59,1
23379,moto eye drop 5ml,moto seal ointment 5gm,OCURIS PHARMA,244530.0,150.0,1
23646,blackcrown 10 60ml,blackcrown 10% topical solution 60ml,DERMAJOINT INDIA,384795.0,1199.0,1
