item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,category_c1,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
ACE0965,ace cap 10's,,capsule,ace,ace 10s,1.0,ace,ace,ace,587986.0,ace-zl capsule 10s,Allopathy_RX_A,ace,ace zl 10s,capsule,ace zl capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,ace capsule 10s,2.0,,,2.0,,,10,NUTRAMED HEALTHCARE,,,18.0,1,0.8164965809277259
ACL0028,aclear caps,,capsule,aclear,aclear capsule,1.0,aclear,aclear,aclear,102694.0,aclear capsule 30s,AYURVEDIC,aclear,aclear 30s,capsule,aclear capsule 30s,0.4999999999999999,0.4999999999999999,cap,30,1.0,0.0,aclear capsule,2.0,,,2.0,,,10,ADONIS LABORATORIES PVT LTD,,,15.9,1,0.4999999999999999
ADC0023,adcumin cap,,capsule,adcumin,adcumin capsule,1.0,adcumin,adcumin,adcumin,103815.0,adcumin capsule 60s,AYURVEDIC,adcumin,adcumin 60s,capsule,adcumin capsule 60s,0.4999999999999999,0.4999999999999999,cap,60,1.0,0.0,adcumin capsule,2.0,,,2.0,,,1,ONCARE LIFE SCIENCES CANC,,,11.67,1,0.4999999999999999
ADV0040,advagraf 5mg cap,,capsule,advagraf,advagraf 5 capsule,1.0,advagraf,advagraf,advagraf,105729.0,advagraf 5mg capsule pr 10s,RX,advagraf,advagraf 5 10s,capsule,advagraf 5mg capsule 10s,0.6666666666666667,0.6666666666666667,cap,10,1.0,0.0,advagraf 5mg capsule,0.0,mg,mg,0.0,5,5,1,ASE PHARMACEUTICALS,,,70.0,1,0.6666666666666667
AGL0011,aglozyme  cap,,capsule,aglozyme,aglozyme capsule,1.0,aglozyme,aglozyme,aglozyme,612855.0,aglozyme capsule,Allopathy_RX_A,aglozyme,aglozyme,capsule,aglozyme capsule,0.7071067811865475,0.7071067811865475,cap,,1.0,0.0,aglozyme capsule,2.0,,,2.0,,,15,AGLOWMED PVT LTD,,,3.95,1,0.7071067811865475
ALE0011,alex cap 10's,,capsule,alex,alex 10s,1.0,alex,alex,alex,107813.0,alex ale capsule 10s,RX,alex,alex ale 10s,capsule,alex ale capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,alex capsule 10s,2.0,,,2.0,,,10,GLENMARK PHARMACEUTICAL LTD,,,7.9,1,0.8164965809277259
ALE0245,alecensa 150mg cap 56's,,capsule,alecensa,alecensa 150 56s,1.0,alecensa,alecensa,alecensa,385368.0,alecensa 150mg capsule 224s,,alecensa,alecensa 150 224s,capsule,alecensa 150mg capsule 224s,0.6666666666666667,0.6666666666666667,56,224,1.0,0.0,alecensa 150mg capsule 56s,0.0,mg,mg,0.0,150,150,1,ROC-ROCHE PRODUCTS LTD,,,124607.0,1,0.6666666666666667
AM20001,am 20mg cap 10's,,capsule,am,am 20 10s,1.0,am,am,am,657839.0,am-slim 120mg capsule 10s,Allopathy_RX_A,am,am slim 120 10s,capsule,am slim 120mg capsule 10s,0.5773502691896258,0.5773502691896258,10,10,0.0,0.0,am 20mg capsule 10s,0.0,mg,mg,1.0,20,120,10,BAJAJ PHARMACEUTICAL PVT LTD,,,10.5,1,0.5773502691896258
AMI0271,aminogest caps,,capsule,aminogest,aminogest capsule,1.0,aminogest,aminogest,aminogest,672520.0,aminogest capsules,Allopathy_RX_A,aminogest,aminogest,capsule,aminogest capsule,0.7071067811865475,0.7071067811865475,cap,aminoge,1.0,0.0,aminogest capsule,2.0,,,2.0,,,10,ZUVENTUS HEALTHCARE LTD,,,6.14,1,0.7071067811865475
AMP0018,amplus 500mg caps ***,,capsule,amplus,amplus 500 capsule,1.0,amplus,amplus,amplus,657896.0,amplus 500mg capsules,Allopathy_RX_A,amplus,amplus 500,capsule,amplus 500mg capsule,0.8164965809277259,0.8164965809277259,cap,amplu,1.0,0.0,amplus 500mg capsule,0.0,mg,mg,0.0,500,500,10,JAGSONPAL PHARMACEUTICALS LTD,,,7.9,1,0.8164965809277259
