item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,category_c1,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
3PT0002,3p tab 250's,,tablet,3p,3p 250s,1.0,3p,3p,3p,100478.0,3p tablet 4s,AYURVEDIC,3p,3p 4s,tablet,3p tablet 4s,0.4999999999999999,0.4999999999999999,250,4,1.0,3p tablet 250s,2.0,,,2.0,,,0,1,KIR-KIRTI LABS,,,175.0,1,0.4999999999999999
ABT0008,abtorsmed 5 tab 10's,,tablet,abtorsmed,abtorsmed 5 10s,1.0,abtorsmed,abtorsmed,abtorsmed,379956.0,abtorsmed 10 tablet 10s,,abtorsmed,abtorsmed 10 10s,tablet,abtorsmed 10 tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,abtorsmed 5 tablet 10s,2.0,,,2.0,,,0,10,ABBOTT INDIA LIMITED,,,3.03,1,0.6666666666666667
AC60003,ac 625mg tab,,tablet,ac,ac 625,1.0,ac,ac,ac,625969.0,ac-duo 625mg tablet 10s,Allopathy_RX_A,ac,ac duo 625 10s,tablet,ac duo 625mg tablet 10s,0.7071067811865475,0.7071067811865475,,10,1.0,ac 625mg tablet,0.0,mg ,mg ,0.0,625,625,0,6,DEYS MEDICAL STORES MFG PVT LTD,,,21.08,1,0.7071067811865475
AC90001,ac 9 tab 75's  (bakson's),,tablet,ac,ac 9 75s baksons,1.0,ac,ac,ac,101245.0,ac tablet 10s,RX,ac,ac 10s,tablet,ac tablet 10s,0.35355339059327373,0.35355339059327373,on,10,1.0,ac 9 tablet 75s baksons,2.0,,,2.0,,,0,1,BAKSON'S HOMOEOPATHY,,,150.0,1,0.35355339059327373
ACE0129,ace 1000mg tab 10's,,tablet,ace,ace 1000 10s,1.0,ace,ace,ace,366183.0,ace tablet 10s,,ace,ace 10s,tablet,ace tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,ace 1000mg tablet 10s,2.0,mg ,,2.0,1000,,0,10,HALLMARK PHARMACEUTICALS LTD,,,3.3,1,0.8164965809277259
ACO0053,acotrust 100mg tab 10',,tablet,acotrust,acotrust 100 10,1.0,acotrust,acotrust,acotrust,103075.0,acotrust 100mg tablet 10s,RX,acotrust,acotrust 100 10s,tablet,acotrust 100mg tablet 10s,0.6666666666666667,0.6666666666666667,acotru,10,1.0,acotrust 100mg tablet 10,0.0,mg ,mg ,0.0,100,100,0,10,DR REDDY'S LABORATORIES,,,18.0,2,0.6666666666666667
ACO0053,acotrust 100mg tab 10',,tablet,acotrust,acotrust 100 10,1.0,acotrust,acotrust,acotrust,103076.0,acotrust 100mg tablet 15s,RX,acotrust,acotrust 100 15s,tablet,acotrust 100mg tablet 15s,0.6666666666666667,0.6666666666666667,acotru,15,1.0,acotrust 100mg tablet 10,0.0,mg ,mg ,0.0,100,100,0,10,DR REDDY'S LABORATORIES,,,18.0,2,0.6666666666666667
ACT0051,active 800mg  tab 10's,,tablet,active,active 800 10s,1.0,active,active,active,384659.0,active joint tablet 10s,,active,active joint 10s,tablet,active joint tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,active 800mg tablet 10s,2.0,mg ,,2.0,800,,0,10,VAIBHAV HEALTH CARE PVT LTD,,,9.3,1,0.6666666666666667
ACT0137,activ tab 10's,,tablet,activ,activ 10s,1.0,activ,activ,activ,382625.0,activ cz tablet 10s,,activ,activ cz 10s,tablet,activ cz tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,activ tablet 10s,2.0,,,2.0,,,0,10,H&H PHARMACEUTICALS LTD,,,8.0,1,0.8164965809277259
ACT0262,actiblok 25mg tab 10's,,tablet,actiblok,actiblok 25 10s,1.0,actiblok,actiblok,actiblok,103258.0,actiblok ipr 25 tablet 10s,RX,actiblok,actiblok ipr 25 10s,tablet,actiblok ipr 25 tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,actiblok 25mg tablet 10s,2.0,mg ,,2.0,25,,0,10,BIOCON LTD,,,3.5,1,0.8660254037844387
ACT0477,activ 9 tab 10's,,tablet,activ,activ 9 10s,1.0,activ,activ,activ,382625.0,activ cz tablet 10s,,activ,activ cz 10s,tablet,activ cz tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,activ 9 tablet 10s,2.0,,,2.0,,,0,10,AQUNOVA PHARMA PVT LTD,,,11.5,1,0.6666666666666667
ACY0018,acynac 600mg orange flav tab 10's,,tablet,acynac,acynac 600 orange flav 10s,1.0,acynac,acynac,acynac,452244.0,acynac 600mg orange tablet 10s,Allopathy_RX_A,acynac,acynac 600 orange 10s,tablet,acynac 600mg orange tablet 10s,0.8944271909999159,0.8944271909999159,10,10,0.0,acynac 600mg orange flav tablet 10s,0.0,mg ,mg ,0.0,600,600,0,10,PRISTINE BIONICS PHARMACEUTICALS PVT LTD,,,24.0,1,0.8944271909999159
ADC0052,adclobaz 10mg md tab 10's,,tablet,adclobaz,adclobaz 10 10s,1.0,adclobaz,adclobaz,adclobaz,378670.0,adclobaz 5mg tablet 10s,,adclobaz,adclobaz 5 10s,tablet,adclobaz 5mg tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,adclobaz 10mg tablet 10s,0.0,mg ,mg ,1.0,10,5,0,10,HEALTH N U THERAPEUTICS PVT LTD,,,8.48,1,0.6666666666666667
