item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,category_c1,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
APE0055,apexitra 200mg cap 10's,,capsule,apexitra,apexitra 200 10s,1.0,apexitra,apexitra,apexitra,379288.0,apexitra sb 130mg capsule 10s,,apexitra,apexitra sb 130 10s,capsule,apexitra sb 130mg capsule 10s,0.5773502691896258,0.5773502691896258,10,10,0.0,0.0,apexitra 200mg capsule 10s,0.0,mg,mg,1.0,200,130,10,APEX LABORATORIES LTD,,,22.0,2,0.5773502691896258
APE0055,apexitra 200mg cap 10's,,capsule,apexitra,apexitra 200 10s,1.0,apexitra,apexitra,apexitra,381546.0,apexitra sb 65mg capsule 10s,,apexitra,apexitra sb 65 10s,capsule,apexitra sb 65mg capsule 10s,0.5773502691896258,0.5773502691896258,10,10,0.0,0.0,apexitra 200mg capsule 10s,0.0,mg,mg,1.0,200,65,10,APEX LABORATORIES LTD,,,22.0,2,0.5773502691896258
APE0060,apexitra 100 cap 10's,,capsule,apexitra,apexitra 100 10s,1.0,apexitra,apexitra,apexitra,379288.0,apexitra sb 130mg capsule 10s,,apexitra,apexitra sb 130 10s,capsule,apexitra sb 130mg capsule 10s,0.5773502691896258,0.5773502691896258,10,10,0.0,0.0,apexitra 100 capsule 10s,2.0,,mg,2.0,,130,10,APEX LABORATORIES LTD,,,12.0,2,0.5773502691896258
APE0060,apexitra 100 cap 10's,,capsule,apexitra,apexitra 100 10s,1.0,apexitra,apexitra,apexitra,381546.0,apexitra sb 65mg capsule 10s,,apexitra,apexitra sb 65 10s,capsule,apexitra sb 65mg capsule 10s,0.5773502691896258,0.5773502691896258,10,10,0.0,0.0,apexitra 100 capsule 10s,2.0,,mg,2.0,,65,10,APEX LABORATORIES LTD,,,12.0,2,0.5773502691896258
AXI0100,axiotem 250mg cap 5's,,capsule,axiotem,axiotem 250 5s,1.0,axiotem,axiotem,axiotem,378603.0,axiotem 20mg capsule 5s,,axiotem,axiotem 20 5s,capsule,axiotem 20mg capsule 5s,0.6666666666666667,0.6666666666666667,5,5,0.0,0.0,axiotem 250mg capsule 5s,0.0,mg,mg,1.0,250,20,1,AXIOMMAX ONCOLOGY PVT LTD,,,20394.0,2,0.6666666666666667
AXI0100,axiotem 250mg cap 5's,,capsule,axiotem,axiotem 250 5s,1.0,axiotem,axiotem,axiotem,378609.0,axiotem 100mg capsule 5s,,axiotem,axiotem 100 5s,capsule,axiotem 100mg capsule 5s,0.6666666666666667,0.6666666666666667,5,5,0.0,0.0,axiotem 250mg capsule 5s,0.0,mg,mg,1.0,250,100,1,AXIOMMAX ONCOLOGY PVT LTD,,,20394.0,2,0.6666666666666667
BEC0022,becozinc cap 15's,,capsule,becozinc,becozinc 15s,1.0,becozinc,becozinc,becozinc,363177.0,becozinc capsule 20s,ALLOPATHY NON-MEDICINE,becozinc,becozinc 20s,capsule,becozinc capsule 20s,0.4999999999999999,0.4999999999999999,15,20,1.0,0.0,becozinc capsule 15s,2.0,,,2.0,,,15,DR REDDY'S LABORATORIES,,,0.97,3,0.4999999999999999
BEC0022,becozinc cap 15's,,capsule,becozinc,becozinc 15s,1.0,becozinc,becozinc,becozinc,376753.0,becozinc capsule 30s,,becozinc,becozinc 30s,capsule,becozinc capsule 30s,0.4999999999999999,0.4999999999999999,15,30,1.0,0.0,becozinc capsule 15s,2.0,,,2.0,,,15,DR REDDY'S LABORATORIES,,,0.97,3,0.4999999999999999
BEC0022,becozinc cap 15's,,capsule,becozinc,becozinc 15s,1.0,becozinc,becozinc,becozinc,376754.0,becozinc capsule 30s,,becozinc,becozinc 30s,capsule,becozinc capsule 30s,0.4999999999999999,0.4999999999999999,15,30,1.0,0.0,becozinc capsule 15s,2.0,,,2.0,,,15,DR REDDY'S LABORATORIES,,,0.97,3,0.4999999999999999
BET0308,betacap plus ls 10mg cap 10's,,capsule,beta,beta plus ls 10s,2.0,beta,beta,beta,125463.0,beta cobal plus capsule 10s,ALLOPATHY NON-MEDICINE,beta,beta cobal plus 10s,capsule,beta cobal plus capsule 10s,0.75,0.75,10,10,0.0,0.0,beta capsule plus ls 10mgs 10s,2.0,,,2.0,10,,10,AKUMENTIS HEALTHCARE LTD,,,4.35,2,0.75
BET0308,betacap plus ls 10mg cap 10's,,capsule,beta,beta plus ls 10s,2.0,beta,beta,beta,125465.0,beta ec plus capsule 10s,ALLOPATHY NON-MEDICINE,beta,beta ec plus 10s,capsule,beta ec plus capsule 10s,0.75,0.75,10,10,0.0,0.0,beta capsule plus ls 10mgs 10s,2.0,,,2.0,10,,10,AKUMENTIS HEALTHCARE LTD,,,4.35,2,0.75
BLI0037,bliss cap,,capsule,bliss,bliss capsule,1.0,bliss,bliss,bliss,140211.0,bliss welness phytosterols vegetarian capsule 120s,AYURVEDIC,bliss,bliss welness phytosterols vegetarian 120s,capsule,bliss welness phytosterols vegetarian capsule 120s,0.31622776601683794,0.31622776601683794,cap,120,1.0,0.0,bliss capsule,2.0,,,2.0,,,1,MYELIN LABORATORIES PVT LTD,,,14.96,6,0.31622776601683794
BLI0037,bliss cap,,capsule,bliss,bliss capsule,1.0,bliss,bliss,bliss,140212.0,bliss welness phytosterols vegetarian capsule 60s,AYURVEDIC,bliss,bliss welness phytosterols vegetarian 60s,capsule,bliss welness phytosterols vegetarian capsule 60s,0.31622776601683794,0.31622776601683794,cap,60,1.0,0.0,bliss capsule,2.0,,,2.0,,,1,MYELIN LABORATORIES PVT LTD,,,14.96,6,0.31622776601683794
BLI0037,bliss cap,,capsule,bliss,bliss capsule,1.0,bliss,bliss,bliss,140213.0,bliss welness phytosterols vegetarian capsule 20s,AYURVEDIC,bliss,bliss welness phytosterols vegetarian 20s,capsule,bliss welness phytosterols vegetarian capsule 20s,0.31622776601683794,0.31622776601683794,cap,20,1.0,0.0,bliss capsule,2.0,,,2.0,,,1,MYELIN LABORATORIES PVT LTD,,,14.96,6,0.31622776601683794
BLI0037,bliss cap,,capsule,bliss,bliss capsule,1.0,bliss,bliss,bliss,140193.0,bliss welness detox bliss kidney detox vegetarian capsules 60s,AYURVEDIC,bliss,bliss welness detox kidney vegetarian 60s,capsule,bliss welness detox bliss kidney detox vegetarian capsule 60s,0.2886751345948129,0.31622776601683794,cap,60,1.0,0.0,bliss capsule,2.0,,,2.0,,,1,MYELIN LABORATORIES PVT LTD,,,14.96,6,0.2886751345948129
BLI0037,bliss cap,,capsule,bliss,bliss capsule,1.0,bliss,bliss,bliss,140208.0,bliss welness male health vegetarian capsule 60s,AYURVEDIC,bliss,bliss welness male health vegetarian 60s,capsule,bliss welness male health vegetarian capsule 60s,0.2886751345948129,0.31622776601683794,cap,60,1.0,0.0,bliss capsule,2.0,,,2.0,,,1,MYELIN LABORATORIES PVT LTD,,,14.96,6,0.2886751345948129
BLI0037,bliss cap,,capsule,bliss,bliss capsule,1.0,bliss,bliss,bliss,140214.0,bliss welness sleep management vegetarian capsules 60s,AYURVEDIC,bliss,bliss welness sleep management vegetarian 60s,capsule,bliss welness sleep management vegetarian capsule 60s,0.2886751345948129,0.31622776601683794,cap,60,1.0,0.0,bliss capsule,2.0,,,2.0,,,1,MYELIN LABORATORIES PVT LTD,,,14.96,6,0.2886751345948129
BUD0103,budecort cr cap 30's,,capsule,budecort,budecort 30s,1.0,budecort,budecort,budecort,142616.0,budecort 100 rotacap 30,RX,budecort,budecort 100 30,capsule,budecort 100 capsule 30,0.40824829046386296,0.40824829046386296,30,,1.0,0.0,budecort capsule 30s,2.0,,,2.0,,,1,CIPLA LTD,,,450.0,3,0.40824829046386296
BUD0103,budecort cr cap 30's,,capsule,budecort,budecort 30s,1.0,budecort,budecort,budecort,142620.0,budecort 200 rotacap 30,RX,budecort,budecort 200 30,capsule,budecort 200 capsule 30,0.40824829046386296,0.40824829046386296,30,,1.0,0.0,budecort capsule 30s,2.0,,,2.0,,,1,CIPLA LTD,,,450.0,3,0.40824829046386296
BUD0103,budecort cr cap 30's,,capsule,budecort,budecort 30s,1.0,budecort,budecort,budecort,142621.0,budecort 400 rotacap 30,RX,budecort,budecort 400 30,capsule,budecort 400 capsule 30,0.40824829046386296,0.40824829046386296,30,,1.0,0.0,budecort capsule 30s,2.0,,,2.0,,,1,CIPLA LTD,,,450.0,3,0.40824829046386296
