item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,category_c1,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
ACO0053,acotrust 100mg tab 10',,tablet,acotrust,acotrust 100 10,1.0,acotrust,acotrust,acotrust,103075.0,acotrust 100mg tablet 10s,RX,acotrust,acotrust 100 10s,tablet,acotrust 100mg tablet 10s,0.6666666666666667,0.6666666666666667,acotru,10,1.0,acotrust 100mg tablet 10,0.0,mg ,mg ,0.0,100,100,0,10,DR REDDY'S LABORATORIES,,,18.0,2,0.6666666666666667
ACO0053,acotrust 100mg tab 10',,tablet,acotrust,acotrust 100 10,1.0,acotrust,acotrust,acotrust,103076.0,acotrust 100mg tablet 15s,RX,acotrust,acotrust 100 15s,tablet,acotrust 100mg tablet 15s,0.6666666666666667,0.6666666666666667,acotru,15,1.0,acotrust 100mg tablet 10,0.0,mg ,mg ,0.0,100,100,0,10,DR REDDY'S LABORATORIES,,,18.0,2,0.6666666666666667
ALL0303,alles 200mg tab,,tablet,alles,alles 200,1.0,alles,alles,alles,108771.0,alles 5mg tablet 10s,RX,alles,alles 5 10s,tablet,alles 5mg tablet 10s,0.40824829046386296,0.40824829046386296,alle,10,1.0,alles 200mg tablet,0.0,mg ,mg ,1.0,200,5,0,1,UNI-UNIJA,,,549.0,5,0.40824829046386296
ALL0303,alles 200mg tab,,tablet,alles,alles 200,1.0,alles,alles,alles,108772.0,alles d tablet 10s,RX,alles,alles d 10s,tablet,alles d tablet 10s,0.40824829046386296,0.40824829046386296,alle,10,1.0,alles 200mg tablet,2.0,mg ,,2.0,200,,0,1,UNI-UNIJA,,,549.0,5,0.40824829046386296
ALL0303,alles 200mg tab,,tablet,alles,alles 200,1.0,alles,alles,alles,381280.0,alles 500mg tablet 30s,,alles,alles 500 30s,tablet,alles 500mg tablet 30s,0.40824829046386296,0.40824829046386296,alle,30,1.0,alles 200mg tablet,0.0,mg ,mg ,1.0,200,500,0,1,UNI-UNIJA,,,549.0,5,0.40824829046386296
ALL0303,alles 200mg tab,,tablet,alles,alles 200,1.0,alles,alles,alles,520129.0,alles-500mg tablet 30s,Allopathy_RX_A,alles,alles 500 30s,tablet,alles 500mg tablet 30s,0.40824829046386296,0.40824829046386296,alle,30,1.0,alles 200mg tablet,0.0,mg ,mg ,1.0,200,500,0,1,UNI-UNIJA,,,549.0,5,0.40824829046386296
ALL0303,alles 200mg tab,,tablet,alles,alles 200,1.0,alles,alles,alles,566580.0,alles-q tablet 30s,Allopathy_RX_A,alles,alles q 30s,tablet,alles q tablet 30s,0.40824829046386296,0.40824829046386296,alle,30,1.0,alles 200mg tablet,2.0,mg ,,2.0,200,,0,1,UNI-UNIJA,,,549.0,5,0.40824829046386296
AMB0084,ambulax 10mg tab 10's,,tablet,ambulax,ambulax 10 10s,1.0,ambulax,ambulax,ambulax,110401.0,ambulax ad 10mg tablet 10s,RX,ambulax,ambulax ad 10 10s,tablet,ambulax ad 10mg tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,ambulax 10mg tablet 10s,0.0,mg ,mg ,0.0,10,10,0,10,UNIMARCK HEALTHCARE LTD,,,4.2,2,0.8660254037844387
AMB0084,ambulax 10mg tab 10's,,tablet,ambulax,ambulax 10 10s,1.0,ambulax,ambulax,ambulax,110408.0,ambulax z 10mg tablet 10s,RX,ambulax,ambulax z 10 10s,tablet,ambulax z 10mg tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,ambulax 10mg tablet 10s,0.0,mg ,mg ,0.0,10,10,0,10,UNIMARCK HEALTHCARE LTD,,,4.2,2,0.8660254037844387
AMO0001,amodep - 10mg tab 10's,,tablet,amodep,amodep 10 10s,1.0,amodep,amodep,amodep,111587.0,amodep tm tablet 10s,RX,amodep,amodep tm 10s,tablet,amodep tm tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,amodep 10mg tablet 10s,2.0,mg ,,2.0,10,,0,10,FDC LTD,,,8.71,2,0.6666666666666667
AMO0001,amodep - 10mg tab 10's,,tablet,amodep,amodep 10 10s,1.0,amodep,amodep,amodep,111588.0,amodep tmh tablet 10s,RX,amodep,amodep tmh 10s,tablet,amodep tmh tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,amodep 10mg tablet 10s,2.0,mg ,,2.0,10,,0,10,FDC LTD,,,8.71,2,0.6666666666666667
ANX0053,anxinix 0.25mg  tab 10's,,tablet,anxinix,anxinix 0.25 10s,1.0,anxinix,anxinix,anxinix,649075.0,anxinix 05mg tablet 10s,Allopathy_RX_A,anxinix,anxinix 05 10s,tablet,anxinix 05mg tablet 10s,0.5773502691896258,0.5773502691896258,10,10,0.0,anxinix 0.25mg tablet 10s,0.0,mg ,mg ,1.0,0.25,05,0,10,PHOENIX REMEDIES PVT LTD,,,5.5,2,0.5773502691896258
ANX0053,anxinix 0.25mg  tab 10's,,tablet,anxinix,anxinix 0.25 10s,1.0,anxinix,anxinix,anxinix,672530.0,anxinix 025mg tablet 10s,Allopathy_RX_A,anxinix,anxinix 025 10s,tablet,anxinix 025mg tablet 10s,0.5773502691896258,0.5773502691896258,10,10,0.0,anxinix 0.25mg tablet 10s,0.0,mg ,mg ,1.0,0.25,025,0,10,PHOENIX REMEDIES PVT LTD,,,5.5,2,0.5773502691896258
ARG0085,argigold 1gm tab 10's,,tablet,argigold,argigold 1000 10s,1.0,argigold,argigold,argigold,378339.0,argigold m tablet 10s,,argigold,argigold m 10s,tablet,argigold m tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,argigold 1000mg tablet 10s,2.0,mg ,,2.0,1000,,0,10,HBC LIFESCIENCE PVT LTD,,,12.5,2,0.6666666666666667
