item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,pack,manufacturer,catg,subcatg,mrp
9MF0001,9 m fol tab 10's,,tablet,9 m fol,9 m fol 10s,1,9 m,9,9,10,UNIWELL MEDICARE PVT LTD,,,7.2
ABA0002,abana tab 60's,,tablet,abana,abana 60s,1,abana,abana,abana,1,THE HIMALAYA DRUG COMPANY-(PHARMA),,,90.0
ABH0003,abhayadi modak tab,,tablet,abhayadi modak,abhayadi modak,1,abhayadi,abhayadi,abhayadi,1,VAIDYARATNAM OUSHADI,,,1.13
ABS0083,absovit-cz orange flav chew tab 30's,,tablet,absovit cz orange flav chew,absovit cz orange flav chew 30s,1,absovit cz orange flav,absovit cz orange,absovit cz,1,ASSENTUS BIOGENICS PVT LTD,,,265.0
ACE0868,acecyst-600 orange flav effervescent tab 10's,,tablet,acecyst 600 orange flav effervescent,acecyst 600 orange flav effervescent 10s,1,acecyst 600 orange flav,acecyst 600 orange,acecyst 600,10,DIVINE SAVIOUR PVT LTD,,,22.0
ACE0950,acetylwin 600 s/f orange flav effervescent tab 10's,,tablet,acetylwin 600 s/f orange flav effervescent,acetylwin 600 s/f orange flav effervescent 10s,1,acetylwin 600 s/f orange flav,acetylwin 600 s/f orange,acetylwin 600 s/f,10,THEOGEN PVT LTD,,,25.5
ACI0066,acidome tab,,tablet,acidome,acidome,1,acidome,acidome,acidome,10,ABEENA PHARMA LTD,,,5.76
ACI0304,acivol-mps chew mixed fruit flav tab 500's,,tablet,acivol mps chew mixed fruit flav,acivol mps chew mixed fruit flav 500s,1,acivol mps chew mixed fruit,acivol mps chew mixed,acivol mps chew,1,OMNISON PHARMA PVT LTD,,,180.0
ACN0194,acne aid tab 10's,,tablet,acne aid,acne aid 10s,1,acne,acne,acne,10,BAKSON'S HOMOEOPATHY,,,2.2
ACT0503,actinic d3 600mg orange flav chew tab 4's,,tablet,actinic d3,actinic d3 600 orange flav chew 4s,1,actinic,actinic,actinic,4,MAXIS HEALTHCARE PVT LTD,,,35.0
ACT0560,actime-600 orange flav effervescent tab 10's,,tablet,actime 600 orange flav effervescent,actime 600 orange flav effervescent 10s,1,actime 600 orange flav,actime 600 orange,actime 600,10,LUCKYS PHARMA,,,23.0
ACT0575,actyine-600 s/f orange flav chew tab 10's,,tablet,actyine 600 s/f orange flav chew,actyine 600 s/f orange flav chew 10s,1,actyine 600 s/f orange flav,actyine 600 s/f orange,actyine 600 s/f,10,REHAAN HEALTHCARE,,,32.0
ADB0025,adboost s/f orange flav chew tab 30's,,tablet,adboost s/f orange flav chew,adboost s/f orange flav chew 30s,1,adboost s/f orange flav,adboost s/f orange,adboost s/f,1,ADONIS LABORATORIES PVT LTD,,,274.0
AER0079,aerodil cold tab 10's,,tablet,aerodil cold,aerodil cold 10s,1,aerodil,aerodil,aerodil,10,GERMAN REMEDIES LTD,,,3.0
AFL0019,a flu o cil forte 10's tab,,tablet,a flu o cil forte 10s,a flu o cil forte 10s,1,a flu o cil forte,a flu o cil,a flu o,10,SHR-SHREE DHOOTAPAPESHWAR LTD,,,4.8
AGE0038,age more tab 10's,,tablet,age more,age more 10s,1,age,age,age,10,ASPERIA LIFESCIENCES PVT LTD,,,14.0
AGN0007,agnucaston tab,,tablet,agnucaston,agnucaston,1,agnucaston,agnucaston,agnucaston,10,ADONIS LABORATORIES PVT LTD,,,14.3
