item_code,brand_x,brand_y,manufacturer,id,mrp
824518,kamasutra personal lubricant - strawberry 50 ml,kamasutra personal lubricant 50ml strawberry,Reckitt Benckiser India Pvt Ltd,219636.0,245
409313,gas o fast - active jeera 5 gm (sachet),gas o fast active jeera sachet 5gm,Glenmark Pharmaceuticals Ltd,377433.0,90
938109,durex massage lube - guarana stimulating 200 ml,durex stimulating massage lube guarana 200ml,Glenmark Pharmaceuticals Ltd,378192.0,90
960846,acnestar face wash 50 gm,acnestar face wash 50gm,Mankind Pharma Pvt Ltd,377016.0,150
987804,biluma advance skin brightening lotion 45gm,biluma advance skin brightening lotion 45gm,Mankind Pharma Pvt Ltd,367203.0,150
937127,candid dusting powder 120 gm,candid dusting powder 120gm,Mankind Pharma Pvt Ltd,367587.0,150
937126,candid dusting powder 60 gm,candid dusting powder 60gm,Mankind Pharma Pvt Ltd,379156.0,150
410529,cetaphil baby daily lotion 400ml,cetaphil baby daily lotion 400ml,Mankind Pharma Pvt Ltd,150152.0,150
412634,cetaphil baby massage oil 200ml,cetaphil baby massage oil 200ml,Mankind Pharma Pvt Ltd,150154.0,150
909961,cetaphil baby mild bar 75gm,cetaphil baby mild bar 75gm,Galderma India Pvt Ltd,377234.0,835
412635,cetaphil baby shampoo 200ml,cetaphil baby shampoo 200ml,Himalaya Drug Company,150155.0,60
381943,cetaphil dam lotion 100gm,cetaphil dam lotion 100gm,Himalaya Drug Company,150159.0,60
382418,cetaphil dam lotion 30gm,cetaphil dam lotion 30gm,Himalaya Drug Company,150158.0,60
884699,cetaphil moisturising cream 250gm,cetaphil moisturising cream 250gm,Himalaya Drug Company,150175.0,70
382109,cetaphil moisturising cream 80gm,cetaphil moisturising cream 80gm,Himalaya Drug Company,150174.0,70
828337,cetaphil oily skin cleanser 125ml,cetaphil oily skin cleanser 125ml,Himalaya Drug Company,150180.0,70
378016,episoft oc cleansing gel 125ml,episoft oc cleansing gel 125ml,Glenmark Pharmaceuticals Ltd,187626.0,90
409867,himalaya active fresh gel toothpaste 80 gm,himalaya active fresh gel toothpaste 80gm,Galderma India Pvt Ltd,364395.0,218
1030019,himalaya althea lotion 100 ml,himalaya althea lotion 100ml,Galderma India Pvt Ltd,210790.0,210
944094,himalaya anti hair fall hair oil 200 ml,himalaya anti hair fall oil 200ml,Galderma India Pvt Ltd,210792.0,1300
408755,himalaya anti-dandruff hair cream 100 ml,himalaya anti dandruff hair cream 100ml,Galderma India Pvt Ltd,362458.0,563
406911,himalaya baby cream 100 ml,himalaya baby cream 100gm,Galderma India Pvt Ltd,210807.0,545
943466,himalaya baby cream 50 ml,himalaya baby cream 50ml,Galderma India Pvt Ltd,364403.0,2140
15503,himalaya baby lotion 100 ml,himalaya baby lotion 100ml,Reckitt Benckiser India Pvt Ltd,362412.0,245
15504,himalaya baby lotion 200 ml,himalaya baby lotion 200ml,Reckitt Benckiser India Pvt Ltd,210819.0,245
406910,himalaya baby lotion 400 ml,himalaya baby lotion 400ml,Reckitt Benckiser India Pvt Ltd,210821.0,82
15506,himalaya baby massage oil 100 ml,himalaya baby massage oil 100ml,Reckitt Benckiser India Pvt Ltd,364404.0,245
406903,himalaya baby massage oil 50ml,himalaya baby massage oil 50ml,Reckitt Benckiser India Pvt Ltd,210825.0,245
15507,himalaya baby powder 100 gm,himalaya baby powder 100gm,Reckitt Benckiser India Pvt Ltd,380600.0,245
15509,himalaya baby powder 200 gm,himalaya baby powder 200gm,Reckitt Benckiser India Pvt Ltd,210827.0,245
15508,himalaya baby powder 400 gm,himalaya baby powder 400gm,Reckitt Benckiser India Pvt Ltd,364405.0,245
15510,himalaya baby powder 50 gm,himalaya baby powder 50gm,Reckitt Benckiser India Pvt Ltd,364406.0,245
397865,himalaya bonnisan liquid 200 ml,himalaya bonnisan liquid 200ml,Reckitt Benckiser India Pvt Ltd,364409.0,245
15516,himalaya diaper rash cream 20 gm,himalaya diaper rash cream 20gm,Reckitt Benckiser India Pvt Ltd,364424.0,245
828001,himalaya evecare forte liquid 200 ml,himalaya evecare forte liquid 200ml,Reckitt Benckiser India Pvt Ltd,210875.0,245
923268,himalaya evecare syrup 200 ml,himalaya evecare syrup 200ml,Reckitt Benckiser India Pvt Ltd,210877.0,245
382040,himalaya evecare syrup 400 ml,himalaya evecare syrup 400ml,Reckitt Benckiser India Pvt Ltd,210878.0,245
368360,himalaya gentle baby shampoo 100 ml,himalaya gentle baby shampoo 100ml,Reckitt Benckiser India Pvt Ltd,364433.0,82
15512,himalaya gentle baby shampoo 200 ml,himalaya gentle baby shampoo 200ml,Reckitt Benckiser India Pvt Ltd,210902.0,82
406902,himalaya gentle baby soap 125 gm,himalaya gentle baby soap 125gm,Reckitt Benckiser India Pvt Ltd,381234.0,82
943482,himalaya gentle baby wipes 72's 72's,himalaya gentle baby wipes 72s,Reckitt Benckiser India Pvt Ltd,382353.0,245
360399,himalaya hairzone solution 60 ml,himalaya hairzone solution 60ml,Reckitt Benckiser India Pvt Ltd,210916.0,245
1030527,himalaya hiora - k toothpaste 100 gm,himalaya hiora k toothpaste 100gm,Reckitt Benckiser India Pvt Ltd,376995.0,245
14587,himalaya honey & cream soap 125 gm,himalaya honey & cream soap 125gm,Reckitt Benckiser India Pvt Ltd,364448.0,245
405481,himalaya honey & cream soap 75 gm,himalaya honey & cream soap 75gm,Reckitt Benckiser India Pvt Ltd,381242.0,245
364238,himalaya koflet lozenges 10's,himalaya koflet lozenges 10s,Reckitt Benckiser India Pvt Ltd,380025.0,245
365777,himalaya koflet syrup 100 ml,himalaya koflet syrup 100ml,Reckitt Benckiser India Pvt Ltd,364453.0,245
14139,himalaya koflet-sf linctus 100 ml,himalaya koflet sf linctus 100ml,Reckitt Benckiser India Pvt Ltd,364455.0,245
406137,himalaya men pimple clear neem face wash 100 ml,himalaya men pimple clear neem face wash 100ml,Reckitt Benckiser India Pvt Ltd,210975.0,82
15521,himalaya nourishing baby soap 75 gm,himalaya nourishing baby soap 75gm,Reckitt Benckiser India Pvt Ltd,380598.0,82
400707,himalaya ophthacare eye drops 10 ml,himalaya ophthacare eye drop 10ml,Reckitt Benckiser India Pvt Ltd,362451.0,82
405492,himalaya pain balm strong - mint 10 gm,himalaya pain balm strong mint 10gm,Reckitt Benckiser India Pvt Ltd,377751.0,82
914973,himalaya pilex forte ointment 30 gm,himalaya pilex forte ointment 30gm,Reckitt Benckiser India Pvt Ltd,370349.0,82
