item_code,brand_x,brand_y,manufacturer,id,mrp,count
409755,nivea creme care body wash 250 ml,nivea care shower creme soft body wash 250ml,Reckitt Benckiser India Pvt Ltd,372513.0,82,1
824519,kamasutra spray - longlast 10 gm,kamasutra long last spray 10gm,Reckitt Benckiser India Pvt Ltd,219635.0,245,1
13605,nivea body lotion express hydration (normal skin) 400 ml,nivea express hydration body lotion 400ml,Reckitt Benckiser India Pvt Ltd,372514.0,245,1
15502,himalaya baby cream extra soft & gentle 100 ml,himalaya baby cream 100gm,Galderma India Pvt Ltd,210807.0,1530,1
331496,himalaya gasex syrup - elaichi flavour 200 ml,himalaya gasex syrup 200ml elaichi,Reckitt Benckiser India Pvt Ltd,364430.0,245,1
379578,cetaphil syndet bar 75gm,cetaphil bar 75gm,Glenmark Pharmaceuticals Ltd,150156.0,145,1
406912,himalaya baby cream extra soft & gentle 200 ml,himalaya baby cream 200gm,Galderma India Pvt Ltd,210806.0,210,1
803979,nivea body lotion aloe hydration (normal skin) 75 ml,nivea aloe hydration body lotion 75ml,Reckitt Benckiser India Pvt Ltd,254885.0,245,1
827253,mankind acnestar gel 22 gm,mankind s acnestar face wash 50gm,Reckitt Benckiser India Pvt Ltd,371537.0,245,1
833986,nivea nourishing lotion body milk - deep moisture serum 200 ml,nivea body milk nourishing body lotion 200ml,Reckitt Benckiser India Pvt Ltd,254896.0,360,1
935260,nivea nourishing lotion body milk - deep moisture serum 400 ml,nivea body milk nourishing body lotion 400ml,Reckitt Benckiser India Pvt Ltd,254894.0,360,1
15522,himalaya refreshing baby soap 125 gm,himalaya refreshing soap 125gm,Reckitt Benckiser India Pvt Ltd,380609.0,245,1
113806,durex play pleasure gel - saucy strawberry 50 ml,durex play gel 50ml saucy strawberry,Glenmark Pharmaceuticals Ltd,182483.0,90,1
349916,himalaya himcocid-sf suspension - mint flavour 200 ml,himalaya himcocid sugar free suspension 200ml mint,Reckitt Benckiser India Pvt Ltd,364440.0,245,1
364589,himalaya pain relief oil 100 ml,himalaya wellness pain relief oil 100ml,Reckitt Benckiser India Pvt Ltd,364504.0,82,1
366524,himalaya gentle baby wipes for normal skin - extra soft 72's,himalaya gentle baby wipes 72s,Reckitt Benckiser India Pvt Ltd,382353.0,245,1
405498,himalaya wellness tulasi syrup 200 ml,himalaya wellness tulasi respiratory wellness syrup 200ml,Reckitt Benckiser India Pvt Ltd,211130.0,82,1
406081,himalaya intensive body lotion - cocoa butter 200 ml,himalaya cocoa butter intensive body lotion 400ml,Reckitt Benckiser India Pvt Ltd,210847.0,245,1
406963,himalaya nourishing skin cream - winter cherry & aloe vera 200 ml,himalaya nourishing skin cream 200ml,Reckitt Benckiser India Pvt Ltd,211001.0,82,1
407394,himalaya protein hair cream - extra nourishment 100 ml,himalaya protein hair cream 100ml,Reckitt Benckiser India Pvt Ltd,364482.0,82,1
409069,durex play pleasure gel - cheeky cherry 50 ml,durex play gel 50ml cheeky cherry,Glenmark Pharmaceuticals Ltd,182482.0,90,1
409745,nivea cocoa nourish oil in lotion 200 ml,nivea cocoa nourish body lotion 200ml,Reckitt Benckiser India Pvt Ltd,254897.0,245,1
412270,manforce stay long gel 8 gm,manforce staylong gel 8gm,Reckitt Benckiser India Pvt Ltd,365333.0,245,1
412370,durex play pleasure gel - tingling 50 ml,durex play gel 50ml tingling,Glenmark Pharmaceuticals Ltd,182480.0,90,1
824016,himalaya gentle baby wipes (pack of 2 x 72's),himalaya gentle baby wipes 72s,Reckitt Benckiser India Pvt Ltd,382353.0,245,1
824515,gas-o-fast sachet - active saunf flavour 5gm (pack of 120 x 5 gm),gas o fast sachet 5gm active saunf,Glenmark Pharmaceuticals Ltd,199776.0,90,1
885097,himalaya quista kidz powder - vanilla flavour 200 gm,himalaya quista kidz chocolate powder 200gm,Reckitt Benckiser India Pvt Ltd,381560.0,245,1
885098,himalaya quista kidz powder - chocolate flavour 200 gm,himalaya quista kidz chocolate powder 200gm,Reckitt Benckiser India Pvt Ltd,381560.0,245,1
902796,gas-o-fast sachet - active jeera flavour (pack of 120 x 5 gm),gas o fast active jeera sachet 5gm,Glenmark Pharmaceuticals Ltd,377433.0,90,1
914054,himalaya quista dn powder - vanilla flavour 400 gm,himalaya quista dn vanilla powder 400gm,Reckitt Benckiser India Pvt Ltd,381561.0,245,1
915432,himalaya purehands advanced disinfectant hand rub 500 ml,himalaya chyavanaprasha 500gm,Reckitt Benckiser India Pvt Ltd,210840.0,82,1
947944,durex lube - tingling 50 ml,durex play gel 50ml tingling,Glenmark Pharmaceuticals Ltd,182480.0,90,1
962270,himalaya quista active powder - milk masala flavor 200 gm,himalaya quista active milk masala powder 200gm,Reckitt Benckiser India Pvt Ltd,381563.0,245,1
974922,nivea soft body cream - pomegrante 50 ml,nivea soft creme 50ml,Reckitt Benckiser India Pvt Ltd,254934.0,360,1
1014660,nivea cocoa nourish oil in lotion for very dry skin 400 ml,nivea cocoa nourish body lotion 400ml,Reckitt Benckiser India Pvt Ltd,254898.0,245,1
13603,nivea soft light moisturiser 25 ml,nivea soft creme 25ml,Reckitt Benckiser India Pvt Ltd,254933.0,120,1
13617,nivea soft light moisturiser 200 ml,nivea soft creme 200ml,Reckitt Benckiser India Pvt Ltd,254938.0,120,1
363365,himalaya acne-n-pimple cream 20 gm,himalaya wellness acne n pimple cream 20gm,Galderma India Pvt Ltd,364499.0,770,1
406067,himalaya almond & rose soap (pack of 4 x 125 gm),himalaya almond & rose soap 125gm,Galderma India Pvt Ltd,364397.0,518,1
901011,nivea soft light moisturiser 300 ml,nivea soft creme 300ml,Reckitt Benckiser India Pvt Ltd,254936.0,120,1
903871,nivea soft light moisturiser 50 ml,nivea soft creme 50ml,Reckitt Benckiser India Pvt Ltd,254934.0,120,1
937280,nivea men 42k deodorant spray 150 ml,nivea men dark spot reduction creme 150ml,Reckitt Benckiser India Pvt Ltd,254918.0,82,1
13596,nivea men fresh power deodorant 150 ml,nivea men dark spot reduction creme 150ml,Reckitt Benckiser India Pvt Ltd,254918.0,82,1
15141,durex play intimate lube - stimulating 200 ml,durex stimulating massage lube guarana 200ml,Glenmark Pharmaceuticals Ltd,378192.0,90,1
406078,himalaya clear complexion brightening day cream - licorice & spiked ginger lilly 50 gm,himalaya clear complexion whitening day cream 50gm,Reckitt Benckiser India Pvt Ltd,210844.0,245,1
407395,himalaya herbals complete care toothpaste 150 gm,himalaya complete care toothpaste 150gm,Reckitt Benckiser India Pvt Ltd,364418.0,245,1
409290,manforce condoms wild chocolate 20's,manforce wild chocolate condom 20s,Reckitt Benckiser India Ltd,377423.0,82,1
409314,gas o fast active ajwain 5 gm,gas o fast active sachet 5gm ajwain,Glenmark Pharmaceuticals Ltd,199770.0,90,1
409766,nivea men body deodorizer - energy 120 ml,nivea cocoa nourish body lotion 120ml,Reckitt Benckiser India Pvt Ltd,254899.0,82,1
409767,nivea men fresh active deodorant 150 ml,nivea men dark spot reduction creme 150ml,Reckitt Benckiser India Pvt Ltd,254918.0,82,1
411006,nivea whitening cool sensation body lotion 75 ml,nivea whitening cool sensation body lotion spf 15 75ml,Reckitt Benckiser India Pvt Ltd,254948.0,120,1
801482,nivea men fresh ocean deodorant spray 150 ml,nivea men dark spot reduction creme 150ml,Reckitt Benckiser India Pvt Ltd,254918.0,82,1
801484,nivea men sensitive shaving foam 200 ml,nivea creme 200ml,Reckitt Benckiser India Pvt Ltd,254904.0,360,1
802824,nivea original care lip balm 4.8 gm,nivea lip balm 4.8gm cherry shine,Reckitt Benckiser India Pvt Ltd,254912.0,360,1
822654,durex condoms - extra thin 3's,durex extra thin strawberry condom 3s,Glenmark Pharmaceuticals Ltd,377519.0,145,1
822658,durex condoms - extra ribbed 3's,durex extra ribbed condom 3s,Glenmark Pharmaceuticals Ltd,381588.0,145,1
822660,durex condoms - extra time 3's,durex extra time condom 3s,Glenmark Pharmaceuticals Ltd,377255.0,145,1
823629,manforce sunny edition condoms 10's,manforce sunny edition condom 10s,Reckitt Benckiser India Pvt Ltd,377432.0,245,1
824025,himalaya baby gift pack -jar,himalaya babycare gift pack 1,Reckitt Benckiser India Pvt Ltd,364407.0,245,1
824511,manforce condoms sunny edition 3's,manforce sunny edition condom 3s,Reckitt Benckiser India Ltd,377431.0,82,1
845469,nivea fruity lip balm - strawberry 10 gm,nivea lip balm 4.8gm cherry shine,Reckitt Benckiser India Pvt Ltd,254912.0,82,1
851504,nivea pomegranate shine lip balm 4.8 gm,nivea lip balm 4.8gm cherry shine,Reckitt Benckiser India Pvt Ltd,254912.0,360,1
852537,nivea aloe hydration skin cream 100 ml,nivea aloe hydration skin cream 50ml,Reckitt Benckiser India Pvt Ltd,254888.0,245,1
