item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,pack,manufacturer,catg,subcatg,mrp
397866,bonnisan liquid 100ml,,others,bonnisan liquid,bonnisan liquid 100,0,bonnisan,bonnisan,bonnisan,bonnisan,,Mankind Pharma Pvt Ltd,,,150
301028,bonnisan oral drop 30ml,,others,bonnisan oral,bonnisan oral drops 30,0,bonnisan,bonnisan,bonnisan,bonnisan,,Mankind Pharma Pvt Ltd,,,150
950143,cetaphil baby with organic calendula hair & body wash & shampoo 400ml,,others,cetaphil baby with organic calendula hair & body wash &,cetaphil baby with organic calendula hair & body wash shampoo 400,0,cetaphil baby with organic calendula hair & body wash,cetaphil baby with organic calendula hair & body,cetaphil baby with organic calendula hair &,cetaphil baby with organic calendula hair,,Himalaya Drug Company,,,60
382580,cetaphil face & body all skin types moisturising lotion 100ml,,others,cetaphil face & body all skin types moisturising,cetaphil face & body all skin types moisturising lotion 100,0,cetaphil face & body all skin types,cetaphil face & body all skin,cetaphil face & body all,cetaphil face & body,,Himalaya Drug Company,,,60
892184,cetaphil face & body all skin types moisturising lotion 500ml,,others,cetaphil face & body all skin types moisturising,cetaphil face & body all skin types moisturising lotion 500,0,cetaphil face & body all skin types,cetaphil face & body all skin,cetaphil face & body all,cetaphil face & body,,Himalaya Drug Company,,,60
902811,cetaphil gentle foaming for all skin type cleanser 236ml,,others,cetaphil gentle foaming for all skin type cleanser,cetaphil gentle foaming for all skin type cleanser 236,0,cetaphil gentle foaming for all skin type,cetaphil gentle foaming for all skin,cetaphil gentle foaming for all,cetaphil gentle foaming for,,Himalaya Drug Company,,,60
892334,cetaphil gentle skin cleanser for all skin types 500ml,,others,cetaphil gentle skin cleanser for all skin types,cetaphil gentle skin cleanser for all types 500,0,cetaphil gentle skin cleanser for all skin,cetaphil gentle skin cleanser for all,cetaphil gentle skin cleanser for,cetaphil gentle skin cleanser,,Himalaya Drug Company,,,70
814247,cetaphil gentle skin cleanser for dry and sensitive skin 125ml,,others,cetaphil gentle skin cleanser for dry and sensitive skin,cetaphil gentle skin cleanser for dry and sensitive 125,0,cetaphil gentle skin cleanser for dry and sensitive,cetaphil gentle skin cleanser for dry and,cetaphil gentle skin cleanser for dry,cetaphil gentle skin cleanser for,,Himalaya Drug Company,,,75
113556,cetaphil moisturising face & body all skin types lotion 250ml,,others,cetaphil moisturising face & body all skin types,cetaphil moisturising face & body all skin types lotion 250,0,cetaphil moisturising face & body all skin,cetaphil moisturising face & body all,cetaphil moisturising face & body,cetaphil moisturising face &,,Himalaya Drug Company,,,70
902810,cetaphil new daily exfoliating for all skin type cleanser 178ml,,others,cetaphil new daily exfoliating for all skin type cleanser,cetaphil new daily exfoliating for all skin type cleanser 178,0,cetaphil new daily exfoliating for all skin type,cetaphil new daily exfoliating for all skin,cetaphil new daily exfoliating for all,cetaphil new daily exfoliating for,,Himalaya Drug Company,,,70
382110,cetaphil restoraderm skin restoring body moisturizer cream 295ml,,others,cetaphil restoraderm skin restoring body moisturiser,cetaphil restoraderm skin restoring body moisturiser cream 295,0,cetaphil restoraderm skin restoring body,cetaphil restoraderm skin restoring,cetaphil restoraderm skin,cetaphil restoraderm,,Glenmark Pharmaceuticals Ltd,,,145
387343,cetaphil restoraderm skin restoring body wash lotion 295ml,,others,cetaphil restoraderm skin restoring body wash,cetaphil restoraderm skin restoring body wash lotion 295,0,cetaphil restoraderm skin restoring body,cetaphil restoraderm skin restoring,cetaphil restoraderm skin,cetaphil restoraderm,,Glenmark Pharmaceuticals Ltd,,,145
948713,durex extra thin condoms - bubblegum 10's,,others,durex extra thin condoms bubblegum 10s,durex extra thin condoms bubblegum 10s,0,durex extra thin condoms bubblegum,durex extra thin condoms,durex extra thin,durex extra,,Glenmark Pharmaceuticals Ltd,,,145
1033617,durex extra thin condoms - bubblegum 3's,,others,durex extra thin condoms bubblegum 3s,durex extra thin condoms bubblegum 3s,0,durex extra thin condoms bubblegum,durex extra thin condoms,durex extra thin,durex extra,,Glenmark Pharmaceuticals Ltd,,,145
948714,durex extra thin condoms - intense chocolate 10's,,others,durex extra thin condoms intense chocolate 10s,durex extra thin condoms intense chocolate 10s,0,durex extra thin condoms intense chocolate,durex extra thin condoms intense,durex extra thin condoms,durex extra thin,,Glenmark Pharmaceuticals Ltd,,,145
948712,durex extra thin condoms - wild strawberry 10's,,others,durex extra thin condoms wild strawberry 10s,durex extra thin condoms wild strawberry 10s,0,durex extra thin condoms wild strawberry,durex extra thin condoms wild,durex extra thin condoms,durex extra thin,,Glenmark Pharmaceuticals Ltd,,,90
914704,durex invisible super ultra thin condoms for men 10's,,others,durex invisible super ultra thin condoms for men 10s,durex invisible super ultra thin condoms for men 10s,0,durex invisible super ultra thin condoms for men,durex invisible super ultra thin condoms for,durex invisible super ultra thin condoms,durex invisible super ultra thin,,Glenmark Pharmaceuticals Ltd,,,90
