item_code,brand_x,brand_y,manufacturer,id,mrp
5269,bronchosolvin (syp). 100ml,bronchosolvin syrup 100ml,IPCA=( PHARMA NEXT),142103.0,42.0
5316,calmpose inj-2ml 10*2ml,calmpose 10mg injection 2ml,SUN PHARMA CLASSIC,144321.0,12.03
5505,clavam-1000 mg 10tab,clavam 1g tablet 10s,ALKEM (AURA MAGNA),367932.0,279.45
5507,clavam-375 mg 10tab,clavam 375 tablet 10s,ALKEM (AURA MAGNA),153862.0,190.0
6001,hemfer (syp). 225ml,hemfer syrup 225ml,ALKEM-(*ACE ),362040.0,162.0
6003,hemsi (syp). 200ml,hemsi syrup 200ml,SERUM VACCINE,209455.0,115.0
6125,keflor dt-125mg 1*6,keflor 125mg tablet dt 6s,SUN PHARMA=[ PHARMA ],220444.0,129.0
6126,keflor dt-250mg 1*6,keflor 250mg tablet 6s,SUN PHARMA=[ PHARMA ],220445.0,268.0
6132,keftra inj 1gm 10ml,keftra 1000mg injection 10ml,IPCA=( ALTUS ),220520.0,51.25
6179,limarin (susp). 100ml,limarin suspension 100ml,SERUM VACCINE,228180.0,94.5
6418,nimica (syp). 30ml,nimica suspension 30ml,IPCA=( DYNAMIX ),376864.0,20.0
6571,perinorm (syp). 30ml,perinorm syrup 30ml,IPCA=( DYNAMIX ),274880.0,12.99
6748,riconia (syp). 200ml,riconia syrup 200ml,SUN PHARMA=[ PHARMA ],291156.0,140.0
6866,simlo-5 mg 1*10,simlo 5mg tablet 10s,IPCA=( 3-D ),312261.0,40.5
6899,solvin syp ls 100ml,solvin ls syrup 100ml,IPCA=( PHARMA NEXT),314708.0,111.2
6981,taxim-inj 125 mg 1inj,taxim 125mg injection 1,ALKEM (*ALPHA MAX),322147.0,18.8
6983,taxim-inj 250 mg 1inj,taxim 250mg injection 1ml,ALKEM (*ALPHA MAX),322150.0,19.35
7353,ondem (syp). 30ml,ondem syrup 30ml,ALKEM (BERGEN_NOVA),264206.0,41.72
7683,pirament (syp). 100ml,pirament syrup 100ml,IPCA=( INNOVA ),276919.0,116.1
7720,fumycin 150mg 1*1,fumycin 150mg capsule 1s,PFIZER-( INTIMA ),198463.0,12.95
1000014,nootropil (syp). 100ml,nootropil syrup 100ml,DR.REDDY-[ GRANDERA ],255529.0,371.5
1000015,zyrcold (syp). 100ml,zyrcold syrup 100ml,DR.REDDY-[ GRANDERA ],350982.0,72.6
1000016,zyrtec (syp). 60ml,zyrtec syrup 60ml,DR.REDDY-[ GRANDERA ],351046.0,39.51
1000094,zyncet (syp). 60ml,zyncet syrup 60ml,TORRENT(UVA),350845.0,43.65
1000123,atarax (syp). 100ml,atarax syrup 100ml,DR.REDDY-[ GRANDERA ],117062.0,110.25
1000256,gestone inj 50mg 1ml,gestone 50mg/ml injection 1ml,FERRING ( FERTILITY),201463.0,66.15
1010434,zeva (syp). 100ml,zeva syrup 100ml,WANBURY=( LIMITED ),347614.0,69.5
1010755,gemcal (syp). 120ml,gemcal suspension 120ml,ALKEM-(BERGEN_ASTA),200455.0,173.5
1010792,supracal (syp). 200ml,supracal suspension 200ml,PHARMED (TISKON),319360.0,140.0
1010856,fortwin inj. 12*1ml.,fortwin 1ml injection 12,SUN PHARMA=[ PHARMA-LIFE ],197602.0,5.09
1011356,aldinir (syp). 30ml,aldinir suspension 30ml,ALEMBIC-( ALCARE ),107565.0,85.0
1021795,quel-25 mg 1*10,quel 25mg tablet 10s,IPCA=( INNOVA ),283880.0,43.3
1021830,topdip 10 mg 1*10,topdip 10mg tablet 10s,RPG IMPULSE,327658.0,33.67
1022074,uniresp-300 mg 1*10,uniresp 300mg tablet 10s,ALGEN HEALTHCARE,333527.0,37.0
1022083,rabee 20 mg 1*10,rabee 20mg tablet 10s,RPG:-{ PHARMA },284671.0,81.15
1022155,dipep syp.150ml 150ml,dipep suspension 150ml,SERUM INSTITUTE OF INDIA,167260.0,45.83
1022228,dicynene 250 mg 1*10,dicynene 250mg tablet 10s,DR.REDDY-[ RECURA ACE ],166539.0,133.5
1022229,dicynene 500 mg 1*10,dicynene 500 tablet 10s,DR.REDDY-[ RECURA ACE ],166540.0,239.5
1022230,razo 20 mg 1*15,razo 20 tablet 15s,DR.REDDY-[ RECURA ],287346.0,242.75
1022237,clamp (syp). 30ml,clamp suspension 30ml,DR.REDDY-[ WINTURA ],153648.0,60.8
1022239,doxt 100mg 1*10,doxt 100 mg tablet 10s,DR.REDDY^S LABORATORIES LTD.,170089.0,6.15
1022249,omez 20 mg 1*20,omez 20mg capsule 20s,DR.REDDY-[ AQURA-SG ],263346.0,61.48
1022267,diavista 15mg 1*10,diavista 15mg tablet 10s,DR.REDDY^S LABORATORIES LTD.,165853.0,23.6
1022268,diavista 30mg. 1*10,diavista 30mg tablet 10s,DR.REDDY^S LABORATORIES LTD.,165854.0,41.34
1022280,becozinc (syp). 200ml,becozinc syrup 200ml,DR.REDDY-[ AQURA-SG ],124401.0,25.2
1022308,razo 10 mg 1*10,razo 10 tablet 10s,DR.REDDY-[ RECURA ],287345.0,69.0
1022324,rekool 20 mg 1*15,rekool 20 tablet 15s,ALEMBIC-( ENTERON-GASTRO ),288631.0,177.8
1022409,rosuvas 5mg 1*15,rosuvas 5 tablet 15s,SUN PHARMA=[ C.V-LIFE ],293724.0,165.0
1022425,folitrax-inj 15 1ml,folitrax 15 injection 1ml,IPCA=( ACTIVA ),197006.0,58.35
1022534,omez 40 mg 1*10,omez 40 tablet 10s,DR.REDDY-[ AQURA-SG ],263347.0,103.51
1022568,omez 10 mg 1*15,omez 10 capsule 15s,DR.REDDY-[ AQURA-SG ],263343.0,35.23
1022678,zilast-100 mg 1*10,zilast 100 tablet 10s,IPCA=( CCC ),348044.0,265.9
1022679,zilast 50 mg 1*10,zilast 50 tablet 10s,IPCA=( CCC ),348045.0,133.0
1022888,metride-1mg 1*15,metride 1 tablet pr 15s,UNISEARCH CV LIFE,239996.0,105.25
1022889,metride-2mg 1*15,metride 2 tablet pr 15s,UNISEARCH CV LIFE,239999.0,120.05
1023003,maxtra (syp). 60ml,maxtra syrup 60ml,ZUVENTUS HEALTHCARE LTD,235776.0,96.05
1023066,forzest-20 mg 1*4,forzest 20 tablet 4s,SUN PHARMA=[ PHARMA ],197622.0,565.0
1033501,lostatin 10mg 1*10,lostatin 10mg tablet 10s,DR.REDDY^S LABORATORIES LTD.,230791.0,35.1
1033502,lostatin 20mg 1*10,lostatin 20 mg tablet 10s,DR.REDDY^S LABORATORIES LTD.,230792.0,54.54
1033530,lanzap 30mg 1*10,lanzap 30mg capsule 10s,DR.REDDY^S LABORATORIES LTD.,224761.0,59.0
1033841,trizac 20mg 1*10,trizac 20mg capsule 10s,UNICHEM,330415.0,23.15
1034291,boss (syp). 200ml,boss syrup 200ml,FOREGEN HEALTHCARE PVT.LTD.,141359.0,145.0
1034310,full-365 syp 200ml,full 365 suspension 200ml,ZUVENTUS-( ODENEA ),198383.0,131.55
1034933,azitus-xl 200 (syp). 30ml,azitus xl 200 suspension 30ml,ZUVENTUS-( GROMAXX ),121281.0,103.4
1045306,aroff sr-200 mg 1*10,aroff 200mg tablet sr 10s,TORRENT(UVA),115257.0,53.95
1045917,duxet 20mg 1*10,duxet 20 capsule dr 10s,UNICHEM UNIFOREVA,182619.0,87.0
1045918,duxet 30mg 1*10,duxet 30mg capsule 10s,UNICHEM UNIFOREVA,182620.0,105.0
1046088,mezolam inj 5ml,mezolam 5mg injection 5ml,NEON LAB.,240347.0,49.5
1046202,vasocon inj 1ml 1ml,vasocon 1mg injection 1ml,NEON LAB.,335952.0,18.4
1046220,toride 10 mg 1*10,toride 10 mg tablet 10s,SUN PHARMA=[ C.V-CARE ],327989.0,40.0
1046221,toride 20 mg 1*10,toride 20mg tablet 10s,SUN PHARMA=[ C.V-CARE ],327990.0,67.5
1046250,nebipil 5 mg 1*10,nebipil 5 tablet 10s,ALKEM-(*MEDIVA ),250049.0,144.0
1046269,ritrod tab.10mg 1*10,ritrod 10mg tablet 10s,NEON LAB.,292064.0,99.0
1046292,sugest 100mg 1*10,sugest 100mg capsule 10s,UNICHEM,318593.0,100.0
1046293,sugest 200mg 1*10,sugest 200mg tablet 10s,UNICHEM,318598.0,190.0
1046624,laveta (syp). 30ml,laveta syrup 30ml,ALEMBIC-( MEGACARE ),225054.0,39.4
1046626,roxid (syp).100mg 30ml,roxid 100mg syrup 30ml,ALEMBIC-( PHARMA ),293987.0,113.35
1056910,alerid (syp). 30ml,alerid syrup 30ml,CIPLA-( SPECTRA-1 ),107732.0,21.84
1056913,amlopres 5mg 1*15,amlopres 5 tablet 15s,CIPLA ( VITALIS-4 ),111413.0,42.84
1056916,asthalin (syp). 100ml,asthalin syrup 100ml,CIPLA-( RESPIRATORY-I ),116842.0,19.04
1056928,emeset (syp). 30ml,emeset syrup 30ml,CIPLA-( NURTURE-1 ),185812.0,41.78
1057022,ciploric 100mg 1*10,ciploric 100 tablet 10s,CIPLA-( SPECIALITY-3 ),152519.0,18.48
