item_code,brand_x,brand_y,manufacturer,id,mrp
5055,alprovit (syp). 200ml,alprovit plus syrup 200ml,ALKEM-(ARISE),109507.0,52.0
5062,althrocin drops 10ml,althrocin 100mg drop 10ml,ALEMBIC-( MAXICA ),109669.0,46.55
5064,althrocin (syp). 60ml,althrocin forte 250mg syrup 60ml,ALEMBIC-( MAXICA ),109674.0,59.35
5174,azithral-100 (syp). 15ml,azithral 100 liquid 15ml,ALEMBIC-( MEGACARE ),121142.0,46.3
5175,azithral-200 (syp). 15ml,azithral 200 liquid 15ml,ALEMBIC-( MEGACARE ),121143.0,57.25
5199,becosules (syp).120 120ml,becosules syrup 120ml,( AMTEK ) MARKETING @ SERVICES,124384.0,40.5
5200,becosules (syp).120 120ml,becosules syrup 120ml,PFIZER-( FUTURA ),124384.0,11.07
5267,bromhexine (syp). 120ml,bromhexine elixir 120ml,IPCA=( DYNAMIX ),142038.0,130.1
5270,bronchosolvin syp. 60ml,bronchosolvin syrup 100ml,IPCA=( PHARMA NEXT),142103.0,28.5
5272,broncorex syp 100ml 100ml,broncorex expectorant 100ml,PFIZER-( ULTIMA ),142139.0,128.26
5273,broncorex syp 50ml 50ml,broncorex expectorant 50ml,PFIZER-( ULTIMA ),142140.0,87.63
5303,calchek-10 mg 1*10t,calchek 10mg tablet 10s,IPCA=( 3-D ),143693.0,61.9
5305,calchek-5 mg 1*10t,calchek 5 tablet 10s,IPCA=( DYNAMIX ),143695.0,29.23
5316,calmpose inj-2ml 10*2ml,calmpose 10mg injection 2ml,SUN PHARMA CLASSIC,144321.0,12.03
5418,cepodem (syp).50 30ml,cepodem 50mg/5ml syrup 30ml,SUN PHARMA=[ PHARMA ],149723.0,96.0
5440,chericof softgel 1*10,chericof capsule 10s,SUN PHARMA=[ OTC ],150946.0,35.0
5441,chericof syp [100] 100ml,chericof syrup 100ml,SUN PHARMA=[ RESPIRATORY ],150950.0,118.0
5442,chericof syp [60] 60ml,chericof syrup 60ml,SUN PHARMA=[ RESPIRATORY ],150949.0,76.0
5498,clamist (syp). 60ml,clamist 0.5mg syrup 60ml,WANBURY=( LIMITED ),153619.0,97.5
5501,clarina cream 30gm,clarina  antiacne face wash 60ml,HIMALAYA,382441.0,120.0
5508,clavam-625 mg 10tab.,clavam 625 tablet 10s,ALKEM (AURA MAGNA),153864.0,201.62
5512,clavam 1.2gm inj 1^s,clavam 150mg injection 1,ALKEM (AURA MAGNA),153860.0,121.96
5568,corex syp 100ml 100ml,corex syrup 100ml,PFIZER-( ULTIMA ),158110.0,98.01
5569,corex syp 50ml 50ml,corex syrup 50ml,PFIZER-( ULTIMA ),158109.0,57.38
5705,dolonex gel 15gm 15gm,dolonex gel 15gm,PFIZER-( INTIMA ),168804.0,79.75
5712,domperi (syp). 30ml,domperi 1mg/ml suspension 30ml,IPCA=( DYNAMIX ),169284.0,30.0
