item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
5054,alprovit powder 200gm 200gm,,others,alprovit,alprovit powder 200,0,alprovit,alprovit,alprovit,alprovit,109506.0,alprovit d powder 200gm,alprovit,alprovit d powder 200,others,alprovit d powder 200gm ,0.8660254037844387,0.8660254037844387,0,alprovit powder 200gm 200gm ,0.0,gm ,gm ,,ALKEM-(ARISE),,,327.0,0,,,2,0.8660254037844387
5054,alprovit powder 200gm 200gm,,others,alprovit,alprovit powder 200,0,alprovit,alprovit,alprovit,alprovit,381673.0,alprovit chocolate powder 200gm,alprovit,alprovit chocolate powder 200,others,alprovit chocolate powder 200gm ,0.8660254037844387,0.8660254037844387,0,alprovit powder 200gm 200gm ,0.0,gm ,gm ,,ALKEM-(ARISE),,,327.0,0,,,2,0.8660254037844387
5274,brozeet syp 100ml,,syrup,brozeet,brozeet syrup 100,1,brozeet,brozeet,brozeet,brozeet,142308.0,brozeet plus syrup 100ml,brozeet,brozeet plus syrup 100,syrup,brozeet plus syrup 100ml ,0.8660254037844387,0.8660254037844387,0,brozeet syrup 100ml ,0.0,ml ,ml ,,ALEMBIC-( MAXICA ),,,111.35,0,,,3,0.8660254037844387
5274,brozeet syp 100ml,,syrup,brozeet,brozeet syrup 100,1,brozeet,brozeet,brozeet,brozeet,142309.0,brozeet sf syrup 100ml,brozeet,brozeet sf syrup 100,syrup,brozeet sf syrup 100ml ,0.8660254037844387,0.8660254037844387,0,brozeet syrup 100ml ,0.0,ml ,ml ,,ALEMBIC-( MAXICA ),,,111.35,0,,,3,0.8660254037844387
5274,brozeet syp 100ml,,syrup,brozeet,brozeet syrup 100,1,brozeet,brozeet,brozeet,brozeet,142312.0,brozeet ls syrup 100ml,brozeet,brozeet ls syrup 100,syrup,brozeet ls syrup 100ml ,0.8660254037844387,0.8660254037844387,0,brozeet syrup 100ml ,0.0,ml ,ml ,,ALEMBIC-( MAXICA ),,,111.35,0,,,3,0.8660254037844387
5304,calchek-2.5 mg 1*10t,,others,calchek,calchek 2.5 1 10t,0,calchek,calchek,calchek,calchek,143694.0,calchek 2.5 tablet 10s,calchek,calchek 2.5 10s,tablet,calchek 2.5 tablet 10s ,0.5999999999999999,0.5999999999999999,0,calchek 2.5mg 1 10t ,2.0,mg ,,,IPCA=( DYNAMIX ),,,18.48,1,,,2,0.6708203932499369
5304,calchek-2.5 mg 1*10t,,others,calchek,calchek 2.5 1 10t,0,calchek,calchek,calchek,calchek,143696.0,calchek l 2.5 tablet 10s,calchek,calchek l 2.5 10s,tablet,calchek l 2.5 tablet 10s ,0.5477225575051661,0.5999999999999999,0,calchek 2.5mg 1 10t ,2.0,mg ,,,IPCA=( DYNAMIX ),,,18.48,1,,,2,0.5999999999999999
5419,cepodem (syp).100 30ml,,syrup,cepodem,cepodem .100 30,1,cepodem,cepodem,cepodem,cepodem,149718.0,cepodem 100 dry suspension 30ml,cepodem,cepodem 100 dry 30,others,cepodem 100 dry suspension 30ml ,0.6708203932499369,0.6708203932499369,0,cepodem syrup .100 30ml ,0.0,ml ,ml ,,SUN PHARMA=[ PHARMA ],,,189.0,1,,,4,0.8660254037844387
5419,cepodem (syp).100 30ml,,syrup,cepodem,cepodem syrup .100 30,1,cepodem,cepodem,cepodem,cepodem,149723.0,cepodem 50mg/5ml syrup 30ml,cepodem,cepodem 50/5 syrup 30,syrup,cepodem 50mg/5ml syrup 30ml ,0.6708203932499369,0.6708203932499369,0,cepodem syrup .100 30ml ,1.0,ml ,mg/5ml ,,SUN PHARMA=[ PHARMA ],,,189.0,0,,,4,0.6708203932499369
5419,cepodem (syp).100 30ml,,syrup,cepodem,cepodem .100 30,1,cepodem,cepodem,cepodem,cepodem,149720.0,cepodem 100mg/5ml ds suspension 30ml,cepodem,cepodem 100/5 ds 30,others,cepodem 100mg/5ml ds suspension 30ml ,0.6123724356957946,0.6708203932499369,0,cepodem syrup .100 30ml ,1.0,ml ,mg/5ml ,,SUN PHARMA=[ PHARMA ],,,189.0,1,,,4,0.7745966692414834
