item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
5468,cinkona tab 1*10,,tablet,cinkona,cinkona 10s,1.0,cinkona,cinkona,cinkona,152235.0,cinkona 100mg tablet 10s,cinkona,cinkona 100 10s,tablet,cinkona 100mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,cinkona tablet 10s,2.0,,mg ,2.0,,100,0,,IPCA=( INTIMA ),,,22.0,3,0.8164965809277259
5468,cinkona tab 1*10,,tablet,cinkona,cinkona 10s,1.0,cinkona,cinkona,cinkona,152240.0,cinkona 300mg tablet 10s,cinkona,cinkona 300 10s,tablet,cinkona 300mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,cinkona tablet 10s,2.0,,mg ,2.0,,300,0,,IPCA=( INTIMA ),,,22.0,3,0.8164965809277259
5468,cinkona tab 1*10,,tablet,cinkona,cinkona 10s,1.0,cinkona,cinkona,cinkona,152242.0,cinkona 600mg tablet 10s,cinkona,cinkona 600 10s,tablet,cinkona 600mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,cinkona tablet 10s,2.0,,mg ,2.0,,600,0,,IPCA=( INTIMA ),,,22.0,3,0.8164965809277259
5787,enhancin-375mg tab 1*8,,tablet,enhancin,enhancin 375 8s,1.0,enhancin,enhancin,enhancin,186809.0,enhancin 250 mg/125 mg tablet 6s,enhancin,enhancin 250/125 6s,tablet,enhancin 250mg/125mg tablet 6s,0.2886751345948129,0.2886751345948129,8,6,1.0,enhancin 375mg tablet 8s,0.0,mg ,mg ,1.0,375,250,0,,SUN PHARMA=[ REXTAR ],,,335.3,2,0.2886751345948129
5787,enhancin-375mg tab 1*8,,tablet,enhancin,enhancin 375 8s,1.0,enhancin,enhancin,enhancin,186810.0,enhancin 500 mg/125 mg tablet 6s,enhancin,enhancin 500/125 6s,tablet,enhancin 500mg/125mg tablet 6s,0.2886751345948129,0.2886751345948129,8,6,1.0,enhancin 375mg tablet 8s,0.0,mg ,mg ,1.0,375,500,0,,SUN PHARMA=[ REXTAR ],,,335.3,2,0.2886751345948129
5788,enhancin-625mg tab 1*8,,tablet,enhancin,enhancin 625 8s,1.0,enhancin,enhancin,enhancin,186809.0,enhancin 250 mg/125 mg tablet 6s,enhancin,enhancin 250/125 6s,tablet,enhancin 250mg/125mg tablet 6s,0.2886751345948129,0.2886751345948129,8,6,1.0,enhancin 625mg tablet 8s,0.0,mg ,mg ,1.0,625,250,0,,SUN PHARMA=[ REXTAR ],,,241.74,2,0.2886751345948129
5788,enhancin-625mg tab 1*8,,tablet,enhancin,enhancin 625 8s,1.0,enhancin,enhancin,enhancin,186810.0,enhancin 500 mg/125 mg tablet 6s,enhancin,enhancin 500/125 6s,tablet,enhancin 500mg/125mg tablet 6s,0.2886751345948129,0.2886751345948129,8,6,1.0,enhancin 625mg tablet 8s,0.0,mg ,mg ,1.0,625,500,0,,SUN PHARMA=[ REXTAR ],,,241.74,2,0.2886751345948129
5894,folinal tab 1*10,,tablet,folinal,folinal 10s,1.0,folinal,folinal,folinal,196939.0,folinal 1mg tablet 10s,folinal,folinal 1 10s,tablet,folinal 1mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,folinal tablet 10s,2.0,,mg ,2.0,,1,0,,ALEMBIC-( ELENA ),,,107.9,2,0.8164965809277259
5894,folinal tab 1*10,,tablet,folinal,folinal 10s,1.0,folinal,folinal,folinal,196942.0,folinal plus tablet 10s,folinal,folinal plus 10s,tablet,folinal plus tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,folinal tablet 10s,2.0,,,2.0,,,0,,ALEMBIC-( ELENA ),,,107.9,2,0.8164965809277259
5965,glz-40 tab 1*10,,tablet,glz,glz 40 10s,1.0,glz,glz,glz,204262.0,glz 80mg tablet 10s,glz,glz 80 10s,tablet,glz 80mg tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,glz 40 tablet 10s,2.0,,mg ,2.0,,80,0,,ALEMBIC-( SPECIA ),,,18.5,4,0.6666666666666667
5965,glz-40 tab 1*10,,tablet,glz,glz 40 10s,1.0,glz,glz,glz,204265.0,glz plus tablet 10s,glz,glz plus 10s,tablet,glz plus tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,glz 40 tablet 10s,2.0,,,2.0,,,0,,ALEMBIC-( SPECIA ),,,18.5,4,0.6666666666666667
5965,glz-40 tab 1*10,,tablet,glz,glz 40 10s,1.0,glz,glz,glz,204267.0,glz total tablet 10s,glz,glz total 10s,tablet,glz total tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,glz 40 tablet 10s,2.0,,,2.0,,,0,,ALEMBIC-( SPECIA ),,,18.5,4,0.6666666666666667
5965,glz-40 tab 1*10,,tablet,glz,glz 40 10s,1.0,glz,glz,glz,204268.0,glz trio tablet 10s,glz,glz trio 10s,tablet,glz trio tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,glz 40 tablet 10s,2.0,,,2.0,,,0,,ALEMBIC-( SPECIA ),,,18.5,4,0.6666666666666667
6137,ketanov tab 1*10,,tablet,ketanov,ketanov 10s,1.0,ketanov,ketanov,ketanov,221065.0,ketanov 10mg tablet 10s,ketanov,ketanov 10 10s,tablet,ketanov 10mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,ketanov tablet 10s,2.0,,mg ,2.0,,10,0,,SUN PHARMA=[ REXTAR ],,,82.0,2,0.8164965809277259
6137,ketanov tab 1*10,,tablet,ketanov,ketanov 10s,1.0,ketanov,ketanov,ketanov,370889.0,ketanov dt 10mg tablet 10s,ketanov,ketanov 10 10s,tablet,ketanov 10mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,ketanov tablet 10s,2.0,,mg ,2.0,,10,0,,SUN PHARMA=[ REXTAR ],,,82.0,2,0.8164965809277259
6208,liv 52 tab 1*100,,tablet,liv,liv 52 1 100,1.0,liv,liv,liv,228937.0,liv apt tablet 15s,liv,liv apt 15s,tablet,liv apt tablet 15s,0.2886751345948129,0.2886751345948129,,15,1.0,liv 52 tablet 1 100,2.0,,,2.0,,,0,,HIMALAYA,,,130.0,4,0.2886751345948129
