item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,pack,manufacturer,catg,subcatg,mrp
1022414,caryon-z cap 1*10,,capsule,caryon z,caryon z 10s,1,caryon,caryon,caryon,,FOREGEN HEALTHCARE PVT.LTD.,,,46.0
1034889,femiclo-v cap 1*3,,capsule,femiclo v,femiclo v 3s,1,femiclo,femiclo,femiclo,,FOREGEN HEALTHCARE PVT.LTD.,,,139.7
1045087,supracal os cap 1*10,,capsule,supracal os,supracal os 10s,1,supracal,supracal,supracal,,PHARMED SYNERGY,,,216.0
1045595,calten cap 1*10,,capsule,calten,calten 10s,1,calten,calten,calten,,IPCA=( IPM ),,,90.0
1046520,geridys caps 1*10,,capsule,geridys,geridys 10s,1,geridys,geridys,geridys,,ALEMBIC-( SPECIA ),,,61.0
1056958,ferofast cap 1*10,,capsule,ferofast,ferofast 10s,1,ferofast,ferofast,ferofast,,ALKEM-(ARISE),,,51.0
1057038,lefumide-20 cap 1*10,,capsule,lefumide,lefumide 20 10s,1,lefumide,lefumide,lefumide,,CIPLA-( SPECIALITY-3 ),,,209.91
1057324,omlasoft cap 1*10,,capsule,omlasoft,oasoft 10s,1,omlasoft,omlasoft,omlasoft,,CIPLA-( NURTURE-1 ),,,99.0
1057348,lefumide-10 cap 1*10,,capsule,lefumide,lefumide 10 10s,1,lefumide,lefumide,lefumide,,CIPLA-( SPECIALITY-3 ),,,97.65
1057441,biflin cap 1*10,,capsule,biflin,biflin 10s,1,biflin,biflin,biflin,,CIPLA-( NURTURE-1 ),,,68.5
1058304,mobix cap 1*10,,capsule,mobix,mobix 10s,1,mobix,mobix,mobix,,CIPLA-( NURTURE-1 ),,,69.6
1069294,ashvagandha cap 60,,capsule,ashvagandha,ashvagandha 60,1,ashvagandha,ashvagandha,ashvagandha,,HIMALAYA (ZINDEL-WELLNESS),,,180.0
1069295,brahmi cap 1*60,,capsule,brahmi,brahmi 60s,1,brahmi,brahmi,brahmi,,HIMALAYA (ZINDEL-WELLNESS),,,165.0
1069297,lasuna cap 1*60,,capsule,lasuna,lasuna 60s,1,lasuna,lasuna,lasuna,,HIMALAYA (ZANDRA),,,180.0
1069299,shallaki cap 60,,capsule,shallaki,shallaki 60,1,shallaki,shallaki,shallaki,,HIMALAYA (ZINDEL-WELLNESS),,,180.0
1069300,triphala cap 60,,capsule,triphala,triphala 60,1,triphala,triphala,triphala,,HIMALAYA (ZINDEL-WELLNESS),,,200.0
1070104,prepro cap 1*10,,capsule,prepro,prepro 10s,1,prepro,prepro,prepro,,FOURRTS PERMIERE GASTRO,,,178.0
1070354,shatavari caps 1*60,,capsule,shatavari,shatavari 60s,1,shatavari,shatavari,shatavari,,HIMALAYA (ZANDRA),,,200.0
1070642,freeflex cap [univ] 1*15,,capsule,freeflex,freeflex [univ] 15s,1,freeflex,freeflex,freeflex,,UNIVERSAL,,,279.48
1070648,multivate fm cap 1*30,,capsule,multivate fm,multivate fm 30s,1,multivate,multivate,multivate,,UNIVERSAL,,,71.58
1080973,l.gold cap 1*6,,capsule,l.gold,l.gold 6s,1,l.gold,l.gold,l.gold,,ALGEN HEALTHCARE,,,549.0
1081096,dicfast gm caps 1*10,,capsule,dicfastgm,dicfast 10s,1,dicfastgm,dicfastgm,dicfastgm,,FOREGEN HEALTHCARE PVT.LTD.,,,148.5
1081637,talekt cap 1*60,,capsule,talekt,talekt 60s,1,talekt,talekt,talekt,,HIMALAYA,,,100.0
1081639,picrolax cap 1*10,,capsule,picrolax,picrolax 10s,1,picrolax,picrolax,picrolax,,HIMALAYA,,,25.0
1081710,altraflam-sr cap 1*10,,capsule,altraflam,altraflam 10s,1,altraflam,altraflam,altraflam,,SUN PHARMA=[ PHARMA-LIFE ],,,44.54
1093553,shuddha guggulu cap 1*60,,capsule,shuddha guggulu,shuddha guggulu 60s,1,shuddha,shuddha,shuddha,,HIMALAYA (ZANDRA),,,250.0
1093563,tulsi cap 1*60,,capsule,tulsi,tulsi 60s,1,tulsi,tulsi,tulsi,,HIMALAYA (ZINDEL-WELLNESS),,,150.0
1094009,bael cap 1*60,,capsule,bael,bael 60s,1,bael,bael,bael,,HIMALAYA (ZINDEL-WELLNESS),,,136.0
1104200,haridra cap 1*60,,capsule,haridra,haridra 60s,1,haridra,haridra,haridra,,HIMALAYA (ZANDRA),,,147.0
1104267,adtrol plus caps 1*15,,capsule,adtrol plus,adtrol plus 15s,1,adtrol,adtrol,adtrol,,WANBURY=( OSTEOLIFE ),,,328.9
1104312,vasaka cap 1*60,,capsule,vasaka,vasaka 60s,1,vasaka,vasaka,vasaka,,HIMALAYA (ZINDEL-WELLNESS),,,110.0
1104349,gokshura caps 1*60,,capsule,gokshura,gokshura 60s,1,gokshura,gokshura,gokshura,,HIMALAYA (ZINDEL-WELLNESS),,,220.0
1104350,punarnava caps 1*60,,capsule,punarnava,punarnava 60s,1,punarnava,punarnava,punarnava,,HIMALAYA,,,110.0
1104956,neugatrip-75 cap 1*10,,capsule,neugatrip,neugatrip 75 10s,1,neugatrip,neugatrip,neugatrip,,SUN PHARMA=[ SOLUS-M ],,,207.0
1105300,geriflo d cap 1*30,,capsule,geriflo d,geriflo d 30s,1,geriflo,geriflo,geriflo,,ALEMBIC ( OURON ),,,635.9
1105670,velcera-200 cap 1*30,,capsule,velcera,velcera 200 30s,1,velcera,velcera,velcera,,AJANTA-[ AUREUS ],,,165.0
1105671,velcera-400 cap 1*30,,capsule,velcera,velcera 400 30s,1,velcera,velcera,velcera,,AJANTA-[ AUREUS ],,,180.0
1116185,folwise plus cap 1*15,,capsule,folwise plus,folwise plus 15s,1,folwise,folwise,folwise,,UNIVERSAL,,,115.25
1116385,zrd cap 1*10,,capsule,zrd,zrd 10s,1,zrd,zrd,zrd,,SERUM INSTITUTE OF INDIA,,,88.9
