item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,pack,manufacturer,catg,subcatg,mrp
1021933,proligon 5000 i.u 1*3 vials,,others,proligon 5000 i.u 3s vials,proligon 5000 i.u 3s vials,0,proligon 5000 i.u 3s,proligon 5000 i.u,proligon 5000,proligon,,KEE PHARMA,,,1170.0
1022147,augpen lb-1 gm 1*6t,,others,,augpen lb 1 6t,0,,,,,,ZUVENTUS HEALTHCARE LTD,,,536.4
1022166,augpen lb-375 1*10,,others,,augpen lb 375 10s,0,,,,,,ZUVENTUS HEALTHCARE LTD,,,331.7
1022167,augpen lb-625 1*10,,others,,augpen lb 625 10s,0,,,,,,ZUVENTUS HEALTHCARE LTD,,,439.8
1022292,pendrox 250mg 1*10,,others,,pendrox 250 10s,0,,,,,,IPCA=( DYNAMIX ),,,20.57
1022293,pendrox 500mg 1*10,,others,,pendrox 500 10s,0,,,,,,IPCA=( DYNAMIX ),,,36.41
1022454,hyporol lot. 50ml,,others,hyporol lot.,hyporol lot. 50,0,hyporol,hyporol,hyporol,hyporol,,IPCA=( BIONOVA ),,,160.0
1022468,dologel-ct 10gm,,others,,dologel ct 10,0,,,,,,DR.REDDY-[ RECURA ACE ],,,93.75
1022592,denfos 70mg 1*4,,others,denfos,denfos 70 4s,0,denfos,denfos,denfos,denfos,,DR.REDDY^S LABORATORIES LTD.,,,98.1
1022884,uriresp-200 1*10,,others,uriresp 200 10s,uriresp 200 10s,0,uriresp 200,uriresp,uriresp,uriresp,,FOREGEN HEALTHCARE PVT.LTD.,,,22.5
1022885,uriresp-400 1*10,,others,uriresp 400 10s,uriresp 400 10s,0,uriresp 400,uriresp,uriresp,uriresp,,FOREGEN HEALTHCARE PVT.LTD.,,,42.5
1033406,odinal 50mg 1*14,,others,odinal,odinal 50 1 14,0,odinal,odinal,odinal,odinal,,ALEMBIC-( SPECIA ),,,17.5
1034256,recoup smart syp 220ml,,syrup,recoup smart,recoup smart syrup 220,1,recoup,recoup,recoup,recoup,,FAITH PHARMACEUTICALS LTD,,,280.0
1034526,koflet (jar) 1*250,,others,koflet jar 1 250,koflet jar 1 250,0,koflet jar 1,koflet jar,koflet,koflet,,HIMALAYA,,,400.0
1034679,himcospaz 1*10,,others,himcospaz 10s,himcospaz 10s,0,himcospaz,himcospaz,himcospaz,himcospaz,,HIMALAYA (ZANDRA),,,40.0
1045122,augpen-ds syp 30ml,,syrup,,augpen ds syrup 30,1,,,,,,ZUVENTUS HEALTHCARE LTD,,,149.7
1045861,enema,,others,enema,enema,0,enema,enema,enema,enema,,(GEN.),,,0.0
1045953,natcal-1000 1*30,,others,natcal 1000 30s,natcal 1000 30s,0,natcal 1000,natcal,natcal,natcal,,DR.REDDY^S LABORATORIES LTD.,,,36.54
1046089,myopyrolate inj 4*5ml,,injection,myopyrolate,myopyrolate injection 4 5,0,myopyrolate,myopyrolate,myopyrolate,myopyrolate,,NEON LAB.,,,65.0
1046131,niceetamol 125mg 1*10,,others,niceetamol,niceetamol 125 10s,0,niceetamol,niceetamol,niceetamol,niceetamol,,DR.REDDY^S LABORATORIES LTD.,,,12.15
1046194,propofo inj.10ml 10ml,,others,propofo,propofo injection 10,0,propofo,propofo,propofo,propofo,,NEON LAB.,,,99.0
1046273,diclodal inj.25mg 1*1,,others,diclodal,diclodal injection 25 1s,0,diclodal,diclodal,diclodal,diclodal,,NEON LAB.,,,0.0
1056879,addtears e/d 10ml,,others,,addtears eye drops 10,0,,,,,,CIPLA-( FORESIGHT ),,,135.25
1056882,aquatears drops 10ml,,others,,aquatears drops 10,0,,,,,,CIPLA-( FORESIGHT ),,,59.4
1056889,fortafan gel 30gm,,others,fortafan,fortafan gel 30,0,fortafan,fortafan,fortafan,fortafan,,ALEMBIC-( ENTERON-GASTRO ),,,32.0
1056902,ketodrop eye drop 5ml,,others,,ketodrop eye drops 5,0,,,,,,CIPLA-( NURTURE-1 ),,,28.5
1056935,metaspray 1pcs,,others,,metaspray 1pcs,0,,,,,,CIPLA-( RESPIRATORY-AR ),,,478.31
1056956,digipen liquid 200ml,,others,,digipen liquid 200,0,,,,,,ALKEM-(*MEDIVA ),,,54.0
1057008,zerostate 1pcs,,others,zerostate 1pcs,zerostate 1pcs,0,zerostate,zerostate,zerostate,zerostate,,CIPLA-( NURTURE-1 ),,,150.0
1057009,zerostate(v)spacer 1*1,,others,zerostate v spacer 1s,zerostate v spacer 1s,0,zerostate v spacer,zerostate v,zerostate,zerostate,,CIPLA-( NURTURE-1 ),,,195.0
