item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
5411,celol cap + 1*10,,capsule,celol,celol plus 10s,1.0,celol,celol,celol,149343.0,celol capsule 10s,celol,celol 10s,capsule,celol capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,celol capsule plus 10s,2.0,,,2.0,,,,EMCURE:-[ XENNEX ],,,252.15,1,0.8164965809277259
5791,ephedrex 50 cap 1*50,,capsule,ephedrex,ephedrex 50 50s,1.0,ephedrex,ephedrex,ephedrex,187410.0,ephedrex capsule 10s,ephedrex,ephedrex 10s,capsule,ephedrex capsule 10s,0.40824829046386296,0.40824829046386296,50,10,1.0,0.0,ephedrex 50 capsule 50s,2.0,,,2.0,,,,ALEMBIC-( MEGACARE ),,,85.5,1,0.40824829046386296
6503,olevon cap (ber) 1*10,,capsule,olevon,olevon ber 10s,1.0,olevon,olevon,olevon,262051.0,olevon capsule 10s,olevon,olevon 10s,capsule,olevon capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,olevon capsule ber 10s,2.0,,,2.0,,,,ALKEM-(BERGEN_ASTA),,,68.0,1,0.8164965809277259
6867,simrose cap 1*15,,capsule,simrose,simrose 15s,1.0,simrose,simrose,simrose,312373.0,simrose soft gelatin capsule 15s,simrose,simrose sg 15s,capsule,simrose sg capsule 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,0.0,simrose capsule 15s,2.0,,,2.0,,,,SERUM INSTITUTE OF INDIA,,,198.0,1,0.8164965809277259
7004,tenofed cap 10^s,,capsule,tenofed,tenofed 10 s,1.0,tenofed,tenofed,tenofed,324483.0,tenofed 50 mg/20 mg capsule 10s,tenofed,tenofed 50/20 10s,capsule,tenofed 50mg/20mg capsule 10s,0.2886751345948129,0.2886751345948129,,10,1.0,0.0,tenofed capsule 10 s,2.0,,mg,2.0,,50,,IPCA=( CCC ),,,32.85,1,0.2886751345948129
1000133,cartigen cap 1*30,,capsule,cartigen,cartigen 30s,1.0,cartigen,cartigen,cartigen,146012.0,cartigen 500mg capsule 30s,cartigen,cartigen 500 30s,capsule,cartigen 500mg capsule 30s,0.8164965809277259,0.8164965809277259,30,30,0.0,0.0,cartigen capsule 30s,2.0,,mg,2.0,,500,,PHARMED (TISKON),,,520.0,1,0.8164965809277259
1000137,cefdiel cap 1*10,,capsule,cefdiel,cefdiel 10s,1.0,cefdiel,cefdiel,cefdiel,147158.0,cefdiel 300 mg capsule 10s,cefdiel,cefdiel 300 10s,capsule,cefdiel 300mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,cefdiel capsule 10s,2.0,,mg,2.0,,300,,SUN PHARMA=[ PHARMA-LIFE ],,,355.0,1,0.8164965809277259
1011171,aldinir-300 cap 1*10,,capsule,aldinir,aldinir 300 10s,1.0,aldinir,aldinir,aldinir,107564.0,aldinir 300mg capsule 4s,aldinir,aldinir 300 4s,capsule,aldinir 300mg capsule 4s,0.6666666666666667,0.6666666666666667,10,4,1.0,0.0,aldinir 300 capsule 10s,2.0,,mg,2.0,,300,,ALEMBIC-( ALCARE ),,,111.7,1,0.6666666666666667
1011567,simrose 1000 cap 1*10,,capsule,simrose,simrose 1000 10s,1.0,simrose,simrose,simrose,312372.0,simrose  1000 soft gelatin capsule 10s,simrose,simrose 1000 sg 10s,capsule,simrose 1000 sg capsule 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,0.0,simrose 1000 capsule 10s,2.0,,,2.0,,,,SERUM INSTITUTE OF INDIA,,,208.0,1,0.8660254037844387
1011655,pyginal cap 1*10,,capsule,pyginal,pyginal 10s,1.0,pyginal,pyginal,pyginal,283013.0,pyginal soft gelatin capsule 10s,pyginal,pyginal sg 10s,capsule,pyginal sg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,pyginal capsule 10s,2.0,,,2.0,,,,SERUM VACCINE,,,96.0,1,0.8164965809277259
