item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
5055,alprovit (syp). 200ml,,syrup,alprovit,alprovit syrup . 200,1,alprovit,alprovit,alprovit,alprovit,109507.0,alprovit plus syrup 200ml,alprovit,alprovit plus syrup 200,syrup,alprovit plus syrup 200ml ,0.8660254037844387,0.8660254037844387,0,alprovit syrup . 200ml ,0.0,ml ,ml ,,ALKEM-(ARISE),,,52.0,0,,,1,0.8660254037844387
5062,althrocin drops 10ml,,others,althrocin,althrocin drops 10,0,althrocin,althrocin,althrocin,althrocin,109669.0,althrocin 100mg drop 10ml,althrocin,althrocin 100 drops 10,others,althrocin 100mg drops 10ml ,0.8660254037844387,0.8660254037844387,0,althrocin drops 10ml ,0.0,ml ,ml ,,ALEMBIC-( MAXICA ),,,46.55,0,,,1,0.8660254037844387
5064,althrocin (syp). 60ml,,syrup,althrocin,althrocin syrup . 60,1,althrocin,althrocin,althrocin,althrocin,109674.0,althrocin forte 250mg syrup 60ml,althrocin,althrocin forte 250 syrup 60,syrup,althrocin forte 250mg syrup 60ml ,0.7745966692414834,0.7745966692414834,0,althrocin syrup . 60ml ,0.0,ml ,ml ,,ALEMBIC-( MAXICA ),,,59.35,0,,,1,0.7745966692414834
5174,azithral-100 (syp). 15ml,,syrup,azithral,azithral 100 syrup . 15,1,azithral,azithral,azithral,azithral,121142.0,azithral 100 liquid 15ml,azithral,azithral 100 liquid 15,others,azithral 100 liquid 15ml ,0.75,0.75,0,azithral 100 syrup . 15ml ,0.0,ml ,ml ,,ALEMBIC-( MEGACARE ),,,46.3,1,,,1,0.75
5175,azithral-200 (syp). 15ml,,syrup,azithral,azithral 200 syrup . 15,1,azithral,azithral,azithral,azithral,121143.0,azithral 200 liquid 15ml,azithral,azithral 200 liquid 15,others,azithral 200 liquid 15ml ,0.75,0.75,0,azithral 200 syrup . 15ml ,0.0,ml ,ml ,,ALEMBIC-( MEGACARE ),,,57.25,1,,,1,0.75
5199,becosules (syp).120 120ml,,syrup,becosules,becosules syrup .120 120,1,becosules,becosules,becosules,becosules,124384.0,becosules syrup 120ml,becosules,becosules syrup 120,syrup,becosules syrup 120ml ,0.9428090415820636,0.9428090415820636,0,becosules syrup .120 120ml ,0.0,ml ,ml ,,( AMTEK ) MARKETING @ SERVICES,,,40.5,0,,,1,0.9428090415820636
5200,becosules (syp).120 120ml,,syrup,becosules,becosules syrup .120 120,1,becosules,becosules,becosules,becosules,124384.0,becosules syrup 120ml,becosules,becosules syrup 120,syrup,becosules syrup 120ml ,0.9428090415820636,0.9428090415820636,0,becosules syrup .120 120ml ,0.0,ml ,ml ,,PFIZER-( FUTURA ),,,11.07,0,,,1,0.9428090415820636
5267,bromhexine (syp). 120ml,,syrup,bromhexine,bromhexine syrup . 120,1,bromhexine,bromhexine,bromhexine,bromhexine,142038.0,bromhexine elixir 120ml,bromhexine,bromhexine elixir 120,others,bromhexine elixir 120ml ,0.6666666666666667,0.6666666666666667,0,bromhexine syrup . 120ml ,0.0,ml ,ml ,,IPCA=( DYNAMIX ),,,130.1,1,,,1,0.6666666666666667
5269,bronchosolvin (syp). 100ml,,syrup,bronchosolvin,bronchosolvin syrup . 100,1,bronchosolvin,bronchosolvin,bronchosolvin,bronchosolvin,142103.0,bronchosolvin syrup 100ml,bronchosolvin,bronchosolvin syrup 100,syrup,bronchosolvin syrup 100ml ,1.0000000000000002,1.0000000000000002,0,bronchosolvin syrup . 100ml ,0.0,ml ,ml ,,IPCA=( PHARMA NEXT),,,42.0,0,,,1,1.0000000000000002
5270,bronchosolvin syp. 60ml,,syrup,bronchosolvin,bronchosolvin syrup 60,1,bronchosolvin,bronchosolvin,bronchosolvin,bronchosolvin,142103.0,bronchosolvin syrup 100ml,bronchosolvin,bronchosolvin syrup 100,syrup,bronchosolvin syrup 100ml ,0.6666666666666667,0.6666666666666667,0,bronchosolvin syrup 60ml ,0.0,ml ,ml ,,IPCA=( PHARMA NEXT),,,28.5,0,,,1,0.6666666666666667
5272,broncorex syp 100ml 100ml,,syrup,broncorex,broncorex syrup 100,1,broncorex,broncorex,broncorex,broncorex,142139.0,broncorex expectorant 100ml,broncorex,broncorex expectorant 100,others,broncorex expectorant 100ml ,0.6666666666666667,0.6666666666666667,0,broncorex syrup 100ml 100ml ,0.0,ml ,ml ,,PFIZER-( ULTIMA ),,,128.26,1,,,1,0.6666666666666667
5273,broncorex syp 50ml 50ml,,syrup,broncorex,broncorex syrup 50,1,broncorex,broncorex,broncorex,broncorex,142140.0,broncorex expectorant 50ml,broncorex,broncorex expectorant 50,others,broncorex expectorant 50ml ,0.6666666666666667,0.6666666666666667,0,broncorex syrup 50ml 50ml ,0.0,ml ,ml ,,PFIZER-( ULTIMA ),,,87.63,1,,,1,0.6666666666666667
5303,calchek-10 mg 1*10t,,others,calchek,calchek 10 1 10t,0,calchek,calchek,calchek,calchek,143693.0,calchek 10mg tablet 10s,calchek,calchek 10 10s,tablet,calchek 10mg tablet 10s ,0.5,0.5,0,calchek 10mg 1 10t ,0.0,mg ,mg ,,IPCA=( 3-D ),,,61.9,1,,,1,0.5773502691896258
5305,calchek-5 mg 1*10t,,others,calchek,calchek 5 1 10t,0,calchek,calchek,calchek,calchek,143695.0,calchek 5 tablet 10s,calchek,calchek 5 10s,tablet,calchek 5 tablet 10s ,0.5,0.5,0,calchek 5mg 1 10t ,2.0,mg ,,,IPCA=( DYNAMIX ),,,29.23,1,,,1,0.5773502691896258
5316,calmpose inj-2ml 10*2ml,,injection,calmpose,calmpose injection 2 10,0,calmpose,calmpose,calmpose,calmpose,144321.0,calmpose 10mg injection 2ml,calmpose,calmpose 10 injection 2,injection,calmpose 10mg injection 2ml ,1.0,1.0,0,calmpose injection 2ml 10 2ml ,0.0,ml ,ml ,,SUN PHARMA CLASSIC,,,12.03,0,,,1,1.0
5418,cepodem (syp).50 30ml,,syrup,cepodem,cepodem syrup .50 30,1,cepodem,cepodem,cepodem,cepodem,149723.0,cepodem 50mg/5ml syrup 30ml,cepodem,cepodem 50/5 syrup 30,syrup,cepodem 50mg/5ml syrup 30ml ,0.8944271909999159,0.8944271909999159,0,cepodem syrup .50 30ml ,1.0,ml ,mg/5ml ,,SUN PHARMA=[ PHARMA ],,,96.0,0,,,1,0.8944271909999159
5440,chericof softgel 1*10,,others,chericof,chericof softgel 10s,0,chericof,chericof,chericof,chericof,150946.0,chericof capsule 10s,chericof,chericof 10s,capsule,chericof capsule 10s ,0.6666666666666667,0.6666666666666667,0,chericof softgel 10s ,2.0,,,,SUN PHARMA=[ OTC ],,,35.0,1,,,1,0.8164965809277259
