item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
5127,atemide tab 1*10,,tablet,atemide,atemide 10s,1.0,atemide,atemide,atemide,117145.0,atemide 50 mg/1.25 mg tablet 10s,atemide,atemide 50/1.25 10s,tablet,atemide 50mg/1.25mg tablet 10s,0.6324555320336759,0.6324555320336759,10,10,0.0,atemide tablet 10s,2.0,,mg ,2.0,,50,0,,ALKEM-(CARDIOLOGY-2),,,39.0,1,0.6324555320336759
5268,bromhexine tab 1*10,,tablet,bromhexine,bromhexine 10s,1.0,bromhexine,bromhexine,bromhexine,142039.0,bromhexine hydrochloride 8mg tablet 10s,bromhexine,bromhexine hydrochloride 8 10s,tablet,bromhexine hydrochloride 8mg tablet 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,bromhexine tablet 10s,2.0,,mg ,2.0,,8,0,,IPCA=( DYNAMIX ),,,61.1,1,0.7071067811865475
5680,diser tab 1*10,,tablet,diser,diser 10s,1.0,diser,diser,diser,167504.0,diser 50 mg/10 mg tablet 10s,diser,diser 50/10 10s,tablet,diser 50mg/10mg tablet 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,diser tablet 10s,2.0,,mg ,2.0,,50,0,,KEE PHARMA,,,67.75,1,0.7071067811865475
6270,magadol tab 1*10,,tablet,magadol,magadol 10s,1.0,magadol,magadol,magadol,233595.0,magadol ac tablet 10s,magadol,magadol ac 10s,tablet,magadol ac tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,magadol tablet 10s,2.0,,,2.0,,,0,,ALEMBIC-( MEGACARE ),,,72.05,1,0.8164965809277259
6343,malirid tab 1*7,,tablet,malirid,malirid 7s,1.0,malirid,malirid,malirid,234214.0,malirid ds tablet 7s,malirid,malirid ds 7s,tablet,malirid ds tablet 7s,0.8164965809277259,0.8164965809277259,7,7,0.0,malirid tablet 7s,2.0,,,2.0,,,0,,IPCA=( INTIMA ),,,18.41,1,0.8164965809277259
6454,normet tab 400mg 1*10,,tablet,normet,normet 400 10s,1.0,normet,normet,normet,255853.0,normet tablet 10s,normet,normet 10s,tablet,normet tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,normet tablet 400mg 10s,2.0,mg ,,2.0,400,,0,,ZUVENTUS-( LASOR ),,,84.7,1,0.8164965809277259
6468,noworm 400mg tab 1^s,,tablet,noworm,noworm 400 1 s,1.0,noworm,noworm,noworm,256854.0,noworm tablet 1s,noworm,noworm 1s,tablet,noworm tablet 1s,0.35355339059327373,0.35355339059327373,,1,1.0,noworm 400mg tablet 1 s,2.0,mg ,,2.0,400,,0,,ALKEM-(ARISE),,,8.62,1,0.35355339059327373
6552,pacimol tab 1000 1000^s,,tablet,pacimol,pacimol 1000 s,1.0,pacimol,pacimol,pacimol,269376.0,pacimol 1000mg tablet 6s,pacimol,pacimol 1000 6s,tablet,pacimol 1000mg tablet 6s,0.6666666666666667,0.6666666666666667,,6,1.0,pacimol tablet 1000 1000 s,2.0,,mg ,2.0,,1000,0,,IPCA=( INTIMA ),,,305.0,1,0.6666666666666667
6792,roxeptin 150mg tab 10^s,,tablet,roxeptin,roxeptin 150 10 s,1.0,roxeptin,roxeptin,roxeptin,293946.0,roxeptin 150mg tablet 10s,roxeptin,roxeptin 150 10s,tablet,roxeptin 150mg tablet 10s,0.5773502691896258,0.5773502691896258,,10,1.0,roxeptin 150mg tablet 10 s,0.0,mg ,mg ,0.0,150,150,0,,IPCA=( DYNAMIX ),,,79.0,1,0.5773502691896258
6806,rubizox tab 1*10,,tablet,rubizox,rubizox 10s,1.0,rubizox,rubizox,rubizox,294821.0,rubizox 250 mg/50 mg/325 mg tablet 10s,rubizox,rubizox 250/50/325 10s,tablet,rubizox 250mg/50mg/325mg tablet 10s,0.6324555320336759,0.6324555320336759,10,10,0.0,rubizox tablet 10s,2.0,,mg ,2.0,,250,0,,PROCHEM BIOTECH,,,49.0,1,0.6324555320336759
