item_code,brand_x,brand_y,id,mrp,Apollo code,Apollo brand,manufacturer
ACT0071,actide 50mcg 1ml inj,actide 50mcg injection 1ml,378690,225,ACT0071,actide 50mcg 1ml inj,SAMARTH LIFESCIENCES PVT LTD
ACU0111,acunus 20ml gel,acunus gel 20ml,379124,260,ACU0111,acunus 20ml gel,STRENUOUS HEALTHCARE PVT LTD
ADP0015,adpaxil 260mg 43.4ml inj,adpaxil 260mg injection 43.4ml,378534,10100,ADP0015,adpaxil 260mg 43.4ml inj,ONCARE LIFE SCIENCES CANC
ADP0016,adpaxil inj - 30mg / 5ml,adpaxil 30mg injection 5ml,378535,2000,ADP0016,adpaxil inj - 30mg / 5ml,ADLEY PHARMACEUTICALS LTD
ADR0050,adren 1ml inj,adren injection 1ml,382199,16.45,ADR0050,adren 1ml inj,HARSON LABORATORIES
ADV0109,advin 50mg/5ml inj,advin 50mg injection 5ml,380763,16850,ADV0109,advin 50mg/5ml inj,ADLEY PHARMACEUTICALS LTD
ALO0086,alosil 30gm cream,alosil cream 30gm,109256,90,ALO0086,alosil 30gm cream,3M INDIA LTD
AMF0013,amflor 100gm paste,amflor toothpaste 100gm,110619,165,AMF0013,amflor 100gm paste,GROUP PHAMRACEUTICALS LTD
AMF0015,amflor 50gm paste,amflor toothpaste 50gm,110617,94,AMF0015,amflor 50gm paste,GROUP PHAMRACEUTICALS LTD
AQU0036,aquabact  75gm soap,aquabact soap 75gm,114365,72,AQU0036,aquabact  75gm soap,AJANTA PHARMA LTD
BAV0001,bavencio 200mg/10ml inj,bavencio 200mg injection 10ml,380525,146800,BAV0001,bavencio 200mg/10ml inj,MERCK LTD
BEV0036,bevacizab 400mg/16ml inj,bevacizab 400mg injection 16ml,379548,48990,BEV0036,bevacizab 400mg/16ml inj,ABBOTT INDIA LIMITED
BON0046,bonliv  225ml syp,bonliv syrup 225ml,141181,82,BON0046,bonliv  225ml syp,ADONIS LABORATORIES PVT LTD
BOT0019,botropase 2ml inj,botropase injection 2ml,141373,100.8,BOT0019,botropase 2ml inj,JUGGAT PHARMA LTD
BRO0311,bromviz 5ml eye drops,bromviz eye drop 5ml,382427,85,BRO0311,bromviz 5ml eye drops,ALERCON PHARMA PVT LTD
BRY0086,bryxta 300mg/12ml inj,bryxta 300mg injection 12ml,380557,27990,BRY0086,bryxta 300mg/12ml inj,ZYDUS CADILA HEALTHCARE LTD
CAL0292,calacare 50 ml lotion,calacare lotion 50ml,143577,30,CAL0292,calacare 50 ml lotion,INTAS PHARMACEUTICALS LTD
CAL0474,calderm 100ml lotion,calderm lotion 100ml,144054,97,CAL0474,calderm 100ml lotion,DERMO CARE LABORATORIES
CAN0212,candid 50gm soap,candid soap 50gm,144892,71.5,CAN0212,candid 50gm soap,GLENMARK PHARMACEUTICAL LTD
CAR0347,carmozyme 100 ml liq,carmozyme liquid 100ml,145838,62.6,CAR0347,carmozyme 100 ml liq,MENDEL PHARMA
CAS0007,castor 100ml oil,castor oil 100ml,380844,72,CAS0007,castor 100ml oil,GARY PHARMACEUTICALS PVT LTD
CAS0008,castor 200ml oil,castor oil 200ml,381290,90,CAS0008,castor 200ml oil,GARY PHARMACEUTICALS PVT LTD
CHE0200,cherrymint 100ml  syp,cherrymint syrup 100ml,150970,65,CHE0200,cherrymint 100ml  syp,MINT PHARMACEUTICALS PVT LTD
CIT0028,citinova 250mg/2ml inj.,citinova 250mg injection 2ml,153369,95.75,CIT0028,citinova 250mg/2ml inj.,IPCA LABORATORIES PVT LTD
CLE0024,clearasil 75gm soap,clearasil soap 75gm,154187,19,CLE0024,clearasil 75gm soap,RECKITT BENCKISERINDIALTD
CRE0075,cresp inj - 25mcg/1ml,cresp 25 injection 1,159198,1599,CRE0075,cresp inj - 25mcg/1ml,DR REDDY'S LABORATORIES
CUR0040,curosurf 1.5ml/80mg inj,curosurf 80mg injection 1.5ml,378323,12280,CUR0040,curosurf 1.5ml/80mg inj,PAVIOUR PHARMA PVT.LTD.
CUT0062,cutinorm 75gm soap,cutinorm soap 75gm,376769,120,CUT0062,cutinorm 75gm soap,ADONIS LABORATORIES PVT LTD
CUT0167,cutimax 125gm  cream,cutimax cream 125gm,159985,270,CUT0167,cutimax 125gm  cream,IPCA LABORATORIES PVT LTD
DEC0269,decmax 4mg/1ml inj,decmax 4mg injection 1ml,381533,6.5,DEC0269,decmax 4mg/1ml inj,GLS PHARMA PVT LTD
DIA0228,diapepsin 200ml syp,diapepsin syrup 200ml,165742,72.7,DIA0228,diapepsin 200ml syp,UNICORN BIOSCIENCES PRIVATE LIMITED
DOB0027,dobustat 5ml inj ***,dobustat injection 5ml,384624,287.5,DOB0027,dobustat 5ml inj ***,SAMARTH LIFESCIENCES PVT LTD
DRE0021,drez 100gm oint,drez ointment 100gm,181312,150,DRE0021,drez 100gm oint,LEVIN LIFESCIENCES PVT LTD
ECO0074,ecoket 20gm cream,ecoket cream 20gm,183734,60,ECO0074,ecoket 20gm cream,ALBATROSS HEALTHCARE PVT LTD
EMB0049,embremma 0.5mg/2ml inj,embremma 0.5mg injection 2ml,380390,19500,EMB0049,embremma 0.5mg/2ml inj,EMCURE PHARMACEUTICALS LTD
